category_key,category_product_order,abstract_sku,name.de_DE,url.de_DE,is_featured,description.de_DE,tax_set_name,meta_title.de_DE,meta_keywords.de_DE,meta_description.de_DE,new_from,new_to,name.en_US,url.en_US,description.en_US,meta_title.en_US,meta_description.en_US,color_code,meta_keywords.en_US,attribute_key_1,value_1,attribute_key_2,value_2,attribute_key_3,value_3,attribute_key_4,value_4,attribute_key_5,value_5,attribute_key_6,value_6,attribute_key_7,value_7,attribute_key_8,value_8
308-cer,2,M21206,"BIC Mehrfarbkugelschreiber 4 Colours 889969 0,4mm bl/sw/r/gn",/de/bic-mehrfarbkugelschreiber-4-colours-889969-0-4mm-bl-sw-r-gn-M21206,0,"Farbige Drücker für eine einfache Farbauswahl. Schreiblänge nach SGS-Schreiblängentest durchschnittlich 8 km. Dokumentenecht sind die Schreibfarben rot, schwarz und blau.<p>* Strichstärke: 0,4 mm * rot, blau, grün, schwarz * Typbezeichnung der Mine: 4 Colours Mine * Mine auswechselbar * Druckmechanik * Material des Schaftes: Kunststoff * Farbe des Schaftes: schwarz * 4 Minen",Tax Exempt,,,"Farbige Drücker zur einfachen Farbauswahl. Schreiblänge 'durchschnittlich 8 km nach SGS-Test'. Die Farben rot<br> blau und schwarz sind dokumentecht.<p>* Strichstärke: 0,4 mm * rot, blau, grün, schwarz * Typbezeichnung der Mine: Standardmine * Mine auswechselbar * Druckmechanik * Material des Schaftes: Kunststoff * Farbe des Schaftes: hellblau/weiß * 4 Minen",2018-08-01 00:00:00.000000,2018-08-31 00:00:00.000000,,/en/bic-mehrfarbkugelschreiber-4-colours-889969-0-4mm-bl-sw-r-gn-M21206,,,,,,,,,,,,,,,,,,,,,
308-cer,2,M21646,"BIC Mehrfarbkugelschreiber 4 Colours 831253 0,4mm bl/sw/r/gn",/de/bic-mehrfarbkugelschreiber-4-colours-831253-0-4mm-bl-sw-r-gn-M21646,0,Mit Touchpen Funktion zur Anwendung auf Smartphones und Tablet PCs. Mit Konturrillen.<p>* Schreibfarbe des Kugelschreibers: schwarz * 2 Schreibfunktionen * Ausführung der Griffzone: rund * Werkstoff: ABS/Carbon/Aluminium,Tax Exempt,,,"Farbige Drücker für eine einfache Farbauswahl. Schreiblänge nach SGS-Schreiblängentest durchschnittlich 8 km. Dokumentenecht sind die Schreibfarben rot, schwarz und blau.<p>* Strichstärke: 0,4 mm * rot, blau, grün, schwarz * Typbezeichnung der Mine: 4 Colours Mine * Mine auswechselbar * Druckmechanik * Material des Schaftes: Kunststoff * Farbe des Schaftes: schwarz * 4 Minen",2018-08-01 00:00:00.000000,2018-08-31 00:00:00.000000,,/en/bic-mehrfarbkugelschreiber-4-colours-831253-0-4mm-bl-sw-r-gn-M21646,,,,,,,,,,,,,,,,,,,,,
308-cer,2,M21648,"BIC Kugelschreiber 2in1 Stylus 919378 0,4mm schwarz",/de/bic-kugelschreiber-2in1-stylus-919378-0-4mm-schwarz-M21648,0,"Touchpen und 4-Farb-Kugelschreiber in einem Stift mit farbigen Drückern zur einfachen Minenauswahl. Ergiebige Schreiblänge von bis zu 1,5 km je Mine. Tinte dokumentenecht außer grün.<p>* Strichstärke: 0,4 mm * schwarz, rot, blau, grün * Typbezeichnung der Mine: 4 Colurs Mine * Mine auswechselbar * Druckmechanik * dokumentenecht * Material des Schaftes: Kunststoff * Farbe des Schaftes: silber/schwarz * 4 Minen",Tax Exempt,,,Mit Touchpen Funktion zur Anwendung auf Smartphones und Tablet PCs. Mit Konturrillen.<p>* Schreibfarbe des Kugelschreibers: schwarz * 2 Schreibfunktionen * Ausführung der Griffzone: rund * Werkstoff: ABS/Carbon/Aluminium,2018-08-01 00:00:00.000000,2018-08-31 00:00:00.000000,,/en/bic-kugelschreiber-2in1-stylus-919378-0-4mm-schwarz-M21648,,,,,,,,,,,,,,,,,,,,,
308-cer,2,M21650,BIC Mehrfarbkugelschreiber 4 Colours STYLUS 926404 Touchpen,/de/bic-mehrfarbkugelschreiber-4-colours-stylus-926404-touchpen-M21650,0,"Modernes Design. Für Schalter und Büros mit Publikumsverkehr, in Banken und Behörden. Sicherer Stand. Dokumentenechte Mine. Aufschrauben auf Tischplatten möglich.<p>* Maße: 10,8 x 4 x 11,2 cm (B x H x T) * mit Anbindung für Stift * Länge der Anbindung: 40 cm * dokumentenecht * 1 Stifthalterung * Werkstoff: Kunststoff * Material der Anbindung: Metall",Tax Exempt,,,"Touchpen und 4-Farb-Kugelschreiber in einem Stift mit farbigen Drückern zur einfachen Minenauswahl. Ergiebige Schreiblänge von bis zu 1,5 km je Mine. Tinte dokumentenecht außer grün.<p>* Strichstärke: 0,4 mm * schwarz, rot, blau, grün * Typbezeichnung der Mine: 4 Colurs Mine * Mine auswechselbar * Druckmechanik * dokumentenecht * Material des Schaftes: Kunststoff * Farbe des Schaftes: silber/schwarz * 4 Minen",2018-08-01 00:00:00.000000,2018-08-31 00:00:00.000000,,/en/bic-mehrfarbkugelschreiber-4-colours-stylus-926404-touchpen-M21650,,,,,,,,,,,,,,,,,,,,,
308-cer,2,M21744,rotring Kugelschreiber Tikky Redesign  M,/de/rotring-kugelschreiber-tikky-redesign-m-M21744,0,,Tax Exempt,,,,2018-08-01 00:00:00.000000,2018-08-31 00:00:00.000000,,/en/rotring-kugelschreiber-tikky-redesign-m-M21744,,,,,,,,,,,,,,,,,,,,,
308-cer,2,M21759,Parker Kugelschreiber URBAN Premium  M Mine blau,/de/parker-kugelschreiber-urban-premium-m-mine-blau-M21759,0,,Tax Exempt,,,,2018-08-01 00:00:00.000000,2018-08-31 00:00:00.000000,,/en/parker-kugelschreiber-urban-premium-m-mine-blau-M21759,,,,,,,,,,,,,,,,,,,,,
308-cer,2,M21766,Papermate Kugelschreiber InkJoy 700 RT M Druckmechanik,/de/papermate-kugelschreiber-inkjoy-700-rt-m-druckmechanik-M21766,0,,Tax Exempt,,,,2018-08-01 00:00:00.000000,2018-08-31 00:00:00.000000,,/en/papermate-kugelschreiber-inkjoy-700-rt-m-druckmechanik-M21766,,,,,,,,,,,,,,,,,,,,,
308-cer,2,M21771,Papermate Kugelschreiber InkJoy 550 RT M Druckmechanik,/de/papermate-kugelschreiber-inkjoy-550-rt-m-druckmechanik-M21771,0,,Tax Exempt,,,,2018-08-01 00:00:00.000000,2018-08-31 00:00:00.000000,,/en/papermate-kugelschreiber-inkjoy-550-rt-m-druckmechanik-M21771,,,,,,,,,,,,,,,,,,,,,
308-cer,2,M21774,rotring Multifunktionsstift Tikky,/de/rotring-multifunktionsstift-tikky-M21774,0,,Tax Exempt,,,,2018-08-01 00:00:00.000000,2018-08-31 00:00:00.000000,,/en/rotring-multifunktionsstift-tikky-M21774,,,,,,,,,,,,,,,,,,,,,
308-cer,2,M21903,"MAUL Kugelschreiberständer 10,6x13,8x11,2cm Kunststoff",/de/maul-kugelschreiberstaender-10-6x13-8x11-2cm-kunststoff-M21903,0,"Modernes Design. Für Schalter und Büros mit Publikumsverkehr, in Banken und Behörden. Sicherer Stand. Dokumentenechte Mine. Aufschrauben auf Tischplatten möglich.<p>* Maße: 10,8 x 4 x 11,2 cm (B x H x T) * mit Anbindung für Stift * Länge der Anbindung: 40 cm * dokumentenecht * 1 Stifthalterung * Werkstoff: Kunststoff * Material der Anbindung: Metall",Tax Exempt,,,"Modernes Design. Für Schalter und Büros mit Publikumsverkehr, in Banken und Behörden. Sicherer Stand. Dokumentenechte Mine. Aufschrauben auf Tischplatten möglich.<p>* Maße: 10,8 x 4 x 11,2 cm (B x H x T) * mit Anbindung für Stift * Länge der Anbindung: 40 cm * dokumentenecht * 1 Stifthalterung * Werkstoff: Kunststoff * Material der Anbindung: Metall",2018-08-01 00:00:00.000000,2018-08-31 00:00:00.000000,,/en/maul-kugelschreiberstaender-10-6x13-8x11-2cm-kunststoff-M21903,,,,,,garantie_dauer,3 Jahre,produkttypbezeichnung,Modern,,,,,,,,,,,,
