abstract_sku,old_sku,concrete_sku,name.de_DE,name.en_US,description.de_DE,description.en_US,is_searchable.de_DE,is_searchable.en_US,bundled,is_quantity_splittable,attribute_key_1,value_1,attribute_key_1.de_DE,value_1.de_DE,attribute_key_1.en_US,value_1.en_US,attribute_key_2,value_2,attribute_key_2.de_DE,value_2.de_DE,attribute_key_2.en_US,value_2.en_US,attribute_key_3,value_3,attribute_key_3.de_DE,value_3.de_DE,attribute_key_3.en_US,value_3.en_US,attribute_key_4,value_4,attribute_key_4.de_DE,value_4.de_DE,attribute_key_4.en_US,value_4.en_US,attribute_key_5,value_5,attribute_key_5.de_DE,value_5.de_DE,attribute_key_5.en_US,value_5.en_US,attribute_key_6,value_6,attribute_key_6.de_DE,value_6.de_DE,attribute_key_6.en_US,value_6.en_US,attribute_key_7,value_7,attribute_key_7.de_DE,value_7.de_DE,attribute_key_7.en_US,value_7.en_US,attribute_key_8,value_8,attribute_key_8.de_DE,value_8.de_DE,attribute_key_8.en_US,value_8.en_US,attribute_key_9,value_9,attribute_key_9.de_DE,value_9.de_DE,attribute_key_9.en_US,value_9.en_US,attribute_key_10,value_10,attribute_key_10.de_DE,value_10.de_DE,attribute_key_10.en_US,value_10.en_US,attribute_key_11,value_11,attribute_key_11.de_DE,value_11.de_DE,attribute_key_11.en_US,value_11.en_US,attribute_key_12,value_12,attribute_key_12.de_DE,value_12.de_DE,attribute_key_12.en_US,value_12.en_US,attribute_key_13,value_13,attribute_key_13.de_DE,value_13.de_DE,attribute_key_13.en_US,value_13.en_US,attribute_key_14,value_14,attribute_key_14.de_DE,value_14.de_DE,attribute_key_14.en_US,value_14.en_US,attribute_key_15,value_15,attribute_key_15.de_DE,value_15.de_DE,attribute_key_15.en_US,value_15.en_US,attribute_key_16,value_16,attribute_key_16.de_DE,value_16.de_DE,attribute_key_16.en_US,value_16.en_US,attribute_key_17,value_17,attribute_key_17.de_DE,value_17.de_DE,attribute_key_17.en_US,value_17.en_US,attribute_key_18,value_18,attribute_key_18.de_DE,value_18.de_DE,attribute_key_18.en_US,value_18.en_US,attribute_key_19,value_19,attribute_key_19.de_DE,value_19.de_DE,attribute_key_19.en_US,value_19.en_US,attribute_key_20,value_20,attribute_key_20.de_DE,value_20.de_DE,attribute_key_20.en_US,value_20.en_US,attribute_key_21,value_21,attribute_key_21.de_DE,value_21.de_DE,attribute_key_21.en_US,value_21.en_US,attribute_key_22,value_22,attribute_key_22.de_DE,value_22.de_DE,attribute_key_22.en_US,value_22.en_US,attribute_key_23,value_23,attribute_key_23.de_DE,value_23.de_DE,attribute_key_23.en_US,value_23.en_US,attribute_key_24,value_24,attribute_key_24.de_DE,value_24.de_DE,attribute_key_24.en_US,value_24.en_US,attribute_key_25,value_25,attribute_key_25.de_DE,value_25.de_DE,attribute_key_25.en_US,value_25.en_US,attribute_key_26,value_26,attribute_key_26.de_DE,value_26.de_DE,attribute_key_26.en_US,value_26.en_US,attribute_key_27,value_27,attribute_key_27.de_DE,value_27.de_DE,attribute_key_27.en_US,value_27.en_US,attribute_key_28,value_28,attribute_key_28.de_DE,value_28.de_DE,attribute_key_28.en_US,value_28.en_US,attribute_key_29,value_29,attribute_key_29.de_DE,value_29.de_DE,attribute_key_29.en_US,value_29.en_US,attribute_key_30,value_30,attribute_key_30.de_DE,value_30.de_DE,attribute_key_30.en_US,value_30.en_US,attribute_key_31,value_31,attribute_key_31.de_DE,value_31.de_DE,attribute_key_31.en_US,value_31.en_US,attribute_key_32,value_32,attribute_key_32.de_DE,value_32.de_DE,attribute_key_32.en_US,value_32.en_US,attribute_key_33,value_33,attribute_key_33.de_DE,value_33.de_DE,attribute_key_33.en_US,value_33.en_US,attribute_key_34,value_34,attribute_key_34.de_DE,value_34.de_DE,attribute_key_34.en_US,value_34.en_US,attribute_key_35,value_35,attribute_key_35.de_DE,value_35.de_DE,attribute_key_35.en_US,value_35.en_US,attribute_key_36,value_36,attribute_key_36.de_DE,value_36.de_DE,attribute_key_36.en_US,value_36.en_US,attribute_key_37,value_37,attribute_key_37.de_DE,value_37.de_DE,attribute_key_37.en_US,value_37.en_US
M54110,,508161,"Wolf Kleingefachschrank - 10 Fächer, HxB 965 x 600 mm - Türfarbe wasserblau RAL 5021","Wolf Kleingefachschrank - 10 Fächer, HxB 965 x 600 mm - Türfarbe wasserblau RAL 5021"," Punktgeschweißte Stahlblechkonstruktion, doppelt abgekantet, mit hochwertiger Einbrennlackierung.<p>Lichte Türöffnung HxB 145x210 mm<br/>  "," Punktgeschweißte Stahlblechkonstruktion, doppelt abgekantet, mit hochwertiger Einbrennlackierung.<p>Lichte Türöffnung HxB 145x210 mm<br/>  ",1,1,,,material,"Stahlblech, punktgeschweißt",material,"Stahlblech, punktgeschweißt",material,material,anlieferung,montiert,anlieferung,montiert,anlieferung,anlieferung,oberflaeche,beschichtet,oberflaeche,beschichtet,oberflaeche,oberflaeche,preiseinheit,Stück,preiseinheit,Stück,preiseinheit,preiseinheit,utensilienschub,Nein,utensilienschub,Nein,utensilienschub,utensilienschub,einzelauszugssperre,Nein,einzelauszugssperre,Nein,einzelauszugssperre,einzelauszugssperre,ausziehbare_mausplattev2,Nein,ausziehbare_mausplattev2,Nein,ausziehbare_mausplattev2,ausziehbare_mausplattev2,beschriftungsmoeglichkeit,Nein,beschriftungsmoeglichkeit,Nein,beschriftungsmoeglichkeit,beschriftungsmoeglichkeit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M74907,,101943,"Topstar Operator-Drehstuhl, belastbar bis 150 kg - Punktsynchron-Mechanik, Schiebesitz, Kopfstütze - rot","Topstar Operator-Drehstuhl, belastbar bis 150 kg - Punktsynchron-Mechanik, Schiebesitz, Kopfstütze - rot"," Pflegeleichter Stoffbezug. Fußkreuz aus poliertem Aluminium mit verchromter Schwerlastgasfeder.<br/>Entspricht der LGA-Richtlinie für Schwerlastdrehstühle auf Basis der DIN EN 1335 Teil 1 – 3, Rollen nach DIN EN 12527 + DIN EN 12529.<br/>Standardmäßig Rollen für weiche Böden.<br/><B>Höhen- und breitenverstellbare Armlehnen mit Softpad-Auflage als Zubehör.</B>  "," Pflegeleichter Stoffbezug. Fußkreuz aus poliertem Aluminium mit verchromter Schwerlastgasfeder.<br/>Entspricht der LGA-Richtlinie für Schwerlastdrehstühle auf Basis der DIN EN 1335 Teil 1 – 3, Rollen nach DIN EN 12527 + DIN EN 12529.<br/>Standardmäßig Rollen für weiche Böden.<br/><B>Höhen- und breitenverstellbare Armlehnen mit Softpad-Auflage als Zubehör.</B>  ",1,1,,,norm,"DIN EN 1335 Teil 1 – 3, DIN EN 12527 + DIN EN 12529",norm,"DIN EN 1335 Teil 1 – 3, DIN EN 12527 + DIN EN 12529",norm,norm,stapelbar,Nein,stapelbar,Nein,stapelbar,stapelbar,preiseinheit,Stück,preiseinheit,Stück,preiseinheit,preiseinheit,reihenverbinder,Nein,reihenverbinder,Nein,reihenverbinder,reihenverbinder,sitzschalenform,Schiebesitz,sitzschalenform,Schiebesitz,sitzschalenform,sitzschalenform,rollenausfuehrung,Rollen für weiche Böden,rollenausfuehrung,Rollen für weiche Böden,rollenausfuehrung,rollenausfuehrung,lendenwirbelstuetze,Ja,lendenwirbelstuetze,Ja,lendenwirbelstuetze,lendenwirbelstuetze,gegendruckeinstellung,Nein,gegendruckeinstellung,Nein,gegendruckeinstellung,gegendruckeinstellung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M54111,,508189,"Wolf – Kleingefachschrank - 10 Fächer, HxB 1800 x 300 mm - Türfarbe wasserblau RAL 5021","Wolf – Kleingefachschrank - 10 Fächer, HxB 1800 x 300 mm - Türfarbe wasserblau RAL 5021"," Punktgeschweißte Stahlblechkonstruktion, doppelt abgekantet, mit hochwertiger Einbrennlackierung.<p>Lichte Türöffnung HxB 145x210 mm<br/>  "," Punktgeschweißte Stahlblechkonstruktion, doppelt abgekantet, mit hochwertiger Einbrennlackierung.<p>Lichte Türöffnung HxB 145x210 mm<br/>  ",1,1,,,material,"Stahlblech, punktgeschweißt",material,"Stahlblech, punktgeschweißt",material,material,anlieferung,montiert,anlieferung,montiert,anlieferung,anlieferung,oberflaeche,beschichtet,oberflaeche,beschichtet,oberflaeche,oberflaeche,preiseinheit,Stück,preiseinheit,Stück,preiseinheit,preiseinheit,utensilienschub,Nein,utensilienschub,Nein,utensilienschub,utensilienschub,einzelauszugssperre,Nein,einzelauszugssperre,Nein,einzelauszugssperre,einzelauszugssperre,ausziehbare_mausplattev2,Nein,ausziehbare_mausplattev2,Nein,ausziehbare_mausplattev2,ausziehbare_mausplattev2,beschriftungsmoeglichkeit,Nein,beschriftungsmoeglichkeit,Nein,beschriftungsmoeglichkeit,beschriftungsmoeglichkeit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M55937,,509126,"Wolf Garderobenschrank, Fachhöhe 540 mm - 2 Abteile à 300 mm Breite - Korpus- / Türfarbe sepiabraun / graubeige","Wolf Garderobenschrank, Fachhöhe 540 mm - 2 Abteile à 300 mm Breite - Korpus- / Türfarbe sepiabraun / graubeige"," Widerstandsfähige Stahlblechkonstruktion mit Sicherheitsabkantungen. Hochwertige Einbrennlackierung.<br/>Glatte Türfronten mit geschlossen gekantetem Versteifungsprofil. Geräuscharmer Türanschlag durch Gummipuffer.<br/>Problemlose Reinigung durch randlose Innenfächer. Belüftungsöffnungen in der Rückwand.<br/>Serienmäßig mit Sicherheitszylinderschloss, verschiedenschließend, 2 Schlüssel und Türschutz aus Kunststoff. Sockelhöhe 100 mm.  "," Widerstandsfähige Stahlblechkonstruktion mit Sicherheitsabkantungen. Hochwertige Einbrennlackierung.<br/>Glatte Türfronten mit geschlossen gekantetem Versteifungsprofil. Geräuscharmer Türanschlag durch Gummipuffer.<br/>Problemlose Reinigung durch randlose Innenfächer. Belüftungsöffnungen in der Rückwand.<br/>Serienmäßig mit Sicherheitszylinderschloss, verschiedenschließend, 2 Schlüssel und Türschutz aus Kunststoff. Sockelhöhe 100 mm.  ",1,1,,,material,Stahlblech,material,Stahlblech,material,material,anlieferung,montiert,anlieferung,montiert,anlieferung,anlieferung,oberflaeche,beschichtet,oberflaeche,beschichtet,oberflaeche,oberflaeche,preiseinheit,Stück,preiseinheit,Stück,preiseinheit,preiseinheit,utensilienschub,Nein,utensilienschub,Nein,utensilienschub,utensilienschub,einzelauszugssperre,Nein,einzelauszugssperre,Nein,einzelauszugssperre,einzelauszugssperre,ausziehbare_mausplattev2,Nein,ausziehbare_mausplattev2,Nein,ausziehbare_mausplattev2,ausziehbare_mausplattev2,beschriftungsmoeglichkeit,Nein,beschriftungsmoeglichkeit,Nein,beschriftungsmoeglichkeit,beschriftungsmoeglichkeit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M55937,,509127,"Wolf Garderobenschrank, Fachhöhe 540 mm - 2 Abteile à 300 mm Breite - lichtgrau / resedagrün","Wolf Garderobenschrank, Fachhöhe 540 mm - 2 Abteile à 300 mm Breite - lichtgrau / resedagrün"," Widerstandsfähige Stahlblechkonstruktion mit Sicherheitsabkantungen. Hochwertige Einbrennlackierung.<br/>Glatte Türfronten mit geschlossen gekantetem Versteifungsprofil. Geräuscharmer Türanschlag durch Gummipuffer.<br/>Problemlose Reinigung durch randlose Innenfächer. Belüftungsöffnungen in der Rückwand.<br/>Serienmäßig mit Sicherheitszylinderschloss, verschiedenschließend, 2 Schlüssel und Türschutz aus Kunststoff. Sockelhöhe 100 mm.  "," Widerstandsfähige Stahlblechkonstruktion mit Sicherheitsabkantungen. Hochwertige Einbrennlackierung.<br/>Glatte Türfronten mit geschlossen gekantetem Versteifungsprofil. Geräuscharmer Türanschlag durch Gummipuffer.<br/>Problemlose Reinigung durch randlose Innenfächer. Belüftungsöffnungen in der Rückwand.<br/>Serienmäßig mit Sicherheitszylinderschloss, verschiedenschließend, 2 Schlüssel und Türschutz aus Kunststoff. Sockelhöhe 100 mm.  ",1,1,,,material,Stahlblech,material,Stahlblech,material,material,anlieferung,montiert,anlieferung,montiert,anlieferung,anlieferung,oberflaeche,beschichtet,oberflaeche,beschichtet,oberflaeche,oberflaeche,preiseinheit,Stück,preiseinheit,Stück,preiseinheit,preiseinheit,utensilienschub,Nein,utensilienschub,Nein,utensilienschub,utensilienschub,einzelauszugssperre,Nein,einzelauszugssperre,Nein,einzelauszugssperre,einzelauszugssperre,ausziehbare_mausplattev2,Nein,ausziehbare_mausplattev2,Nein,ausziehbare_mausplattev2,ausziehbare_mausplattev2,beschriftungsmoeglichkeit,Nein,beschriftungsmoeglichkeit,Nein,beschriftungsmoeglichkeit,beschriftungsmoeglichkeit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M58227,,500961,"Wolf Stahlspind, zerlegt - 1 Abteil, Höhe 1700 mm, Breite 300 mm, 1 Hutboden, 1 Kleiderstange - Grundelement, sepiabraun / graubeige","Wolf Stahlspind, zerlegt - 1 Abteil, Höhe 1700 mm, Breite 300 mm, 1 Hutboden, 1 Kleiderstange - Grundelement, sepiabraun / graubeige"," Einfache, schraubenlose Steckmontage. Einbrennlackiertes Stahlblech. Belüftung durch leicht zu reinigendes Lochbild in den Türen und der Rückwand.<br/>Innenliegende Scharniere. Abschließbar mit Sicherheits-Drehriegelverschlüssen für Vorhängeschlösser (geeignet für Bügelstärke 6 mm).<br/>Optional mit Sicherheitszylinderschloss mit 2 Schlüsseln, auch als Schließanlage möglich (Zubehör).<br/>Integrierter Sockel ca. 60 mm hoch.  "," Einfache, schraubenlose Steckmontage. Einbrennlackiertes Stahlblech. Belüftung durch leicht zu reinigendes Lochbild in den Türen und der Rückwand.<br/>Innenliegende Scharniere. Abschließbar mit Sicherheits-Drehriegelverschlüssen für Vorhängeschlösser (geeignet für Bügelstärke 6 mm).<br/>Optional mit Sicherheitszylinderschloss mit 2 Schlüsseln, auch als Schließanlage möglich (Zubehör).<br/>Integrierter Sockel ca. 60 mm hoch.  ",1,1,,,material,Stahl,material,Stahl,material,material,anlieferung,zerlegt,anlieferung,zerlegt,anlieferung,anlieferung,konstruktion,Stecksystem,konstruktion,Stecksystem,konstruktion,konstruktion,preiseinheit,Stück,preiseinheit,Stück,preiseinheit,preiseinheit,utensilienschub,Nein,utensilienschub,Nein,utensilienschub,utensilienschub,einzelauszugssperre,Nein,einzelauszugssperre,Nein,einzelauszugssperre,einzelauszugssperre,ausziehbare_mausplattev2,Nein,ausziehbare_mausplattev2,Nein,ausziehbare_mausplattev2,ausziehbare_mausplattev2,beschriftungsmoeglichkeit,Nein,beschriftungsmoeglichkeit,Nein,beschriftungsmoeglichkeit,beschriftungsmoeglichkeit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M58227,,500962,"Wolf Stahlspind, zerlegt - 1 Abteil, Höhe 1700 mm, Breite 300 mm, 1 Hutboden, 1 Kleiderstange - Anbauelement, sepiabraun / graubeige","Wolf Stahlspind, zerlegt - 1 Abteil, Höhe 1700 mm, Breite 300 mm, 1 Hutboden, 1 Kleiderstange - Anbauelement, sepiabraun / graubeige"," Einfache, schraubenlose Steckmontage. Einbrennlackiertes Stahlblech. Belüftung durch leicht zu reinigendes Lochbild in den Türen und der Rückwand.<br/>Innenliegende Scharniere. Abschließbar mit Sicherheits-Drehriegelverschlüssen für Vorhängeschlösser (geeignet für Bügelstärke 6 mm).<br/>Optional mit Sicherheitszylinderschloss mit 2 Schlüsseln, auch als Schließanlage möglich (Zubehör).<br/>Integrierter Sockel ca. 60 mm hoch.  "," Einfache, schraubenlose Steckmontage. Einbrennlackiertes Stahlblech. Belüftung durch leicht zu reinigendes Lochbild in den Türen und der Rückwand.<br/>Innenliegende Scharniere. Abschließbar mit Sicherheits-Drehriegelverschlüssen für Vorhängeschlösser (geeignet für Bügelstärke 6 mm).<br/>Optional mit Sicherheitszylinderschloss mit 2 Schlüsseln, auch als Schließanlage möglich (Zubehör).<br/>Integrierter Sockel ca. 60 mm hoch.  ",1,1,,,material,Stahl,material,Stahl,material,material,anlieferung,zerlegt,anlieferung,zerlegt,anlieferung,anlieferung,konstruktion,Stecksystem,konstruktion,Stecksystem,konstruktion,konstruktion,preiseinheit,Stück,preiseinheit,Stück,preiseinheit,preiseinheit,utensilienschub,Nein,utensilienschub,Nein,utensilienschub,utensilienschub,einzelauszugssperre,Nein,einzelauszugssperre,Nein,einzelauszugssperre,einzelauszugssperre,ausziehbare_mausplattev2,Nein,ausziehbare_mausplattev2,Nein,ausziehbare_mausplattev2,ausziehbare_mausplattev2,beschriftungsmoeglichkeit,Nein,beschriftungsmoeglichkeit,Nein,beschriftungsmoeglichkeit,beschriftungsmoeglichkeit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M58228,,500967,"Wolf Stahlspind, zerlegt - 1 Abteil, Höhe 1700 mm, Breite 400 mm, 1 Hutboden, 1 Kleiderstange - Grundelement, sepiabraun / graubeige","Wolf Stahlspind, zerlegt - 1 Abteil, Höhe 1700 mm, Breite 400 mm, 1 Hutboden, 1 Kleiderstange - Grundelement, sepiabraun / graubeige"," Einfache, schraubenlose Steckmontage. Einbrennlackiertes Stahlblech. Belüftung durch leicht zu reinigendes Lochbild in den Türen und der Rückwand.<br/>Innenliegende Scharniere. Abschließbar mit Sicherheits-Drehriegelverschlüssen für Vorhängeschlösser (geeignet für Bügelstärke 6 mm).<br/>Optional mit Sicherheitszylinderschloss mit 2 Schlüsseln, auch als Schließanlage möglich (Zubehör).<br/>Integrierter Sockel ca. 60 mm hoch.  "," Einfache, schraubenlose Steckmontage. Einbrennlackiertes Stahlblech. Belüftung durch leicht zu reinigendes Lochbild in den Türen und der Rückwand.<br/>Innenliegende Scharniere. Abschließbar mit Sicherheits-Drehriegelverschlüssen für Vorhängeschlösser (geeignet für Bügelstärke 6 mm).<br/>Optional mit Sicherheitszylinderschloss mit 2 Schlüsseln, auch als Schließanlage möglich (Zubehör).<br/>Integrierter Sockel ca. 60 mm hoch.  ",1,1,,,material,Stahl,material,Stahl,material,material,anlieferung,zerlegt,anlieferung,zerlegt,anlieferung,anlieferung,konstruktion,Stecksystem,konstruktion,Stecksystem,konstruktion,konstruktion,preiseinheit,Stück,preiseinheit,Stück,preiseinheit,preiseinheit,utensilienschub,Nein,utensilienschub,Nein,utensilienschub,utensilienschub,einzelauszugssperre,Nein,einzelauszugssperre,Nein,einzelauszugssperre,einzelauszugssperre,ausziehbare_mausplattev2,Nein,ausziehbare_mausplattev2,Nein,ausziehbare_mausplattev2,ausziehbare_mausplattev2,beschriftungsmoeglichkeit,Nein,beschriftungsmoeglichkeit,Nein,beschriftungsmoeglichkeit,beschriftungsmoeglichkeit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M58228,,500968,"Wolf Stahlspind, zerlegt - 1 Abteil, Höhe 1700 mm, Breite 400 mm, 1 Hutboden, 1 Kleiderstange - Anbauelement, sepiabraun / graubeige","Wolf Stahlspind, zerlegt - 1 Abteil, Höhe 1700 mm, Breite 400 mm, 1 Hutboden, 1 Kleiderstange - Anbauelement, sepiabraun / graubeige"," Einfache, schraubenlose Steckmontage. Einbrennlackiertes Stahlblech. Belüftung durch leicht zu reinigendes Lochbild in den Türen und der Rückwand.<br/>Innenliegende Scharniere. Abschließbar mit Sicherheits-Drehriegelverschlüssen für Vorhängeschlösser (geeignet für Bügelstärke 6 mm).<br/>Optional mit Sicherheitszylinderschloss mit 2 Schlüsseln, auch als Schließanlage möglich (Zubehör).<br/>Integrierter Sockel ca. 60 mm hoch.  "," Einfache, schraubenlose Steckmontage. Einbrennlackiertes Stahlblech. Belüftung durch leicht zu reinigendes Lochbild in den Türen und der Rückwand.<br/>Innenliegende Scharniere. Abschließbar mit Sicherheits-Drehriegelverschlüssen für Vorhängeschlösser (geeignet für Bügelstärke 6 mm).<br/>Optional mit Sicherheitszylinderschloss mit 2 Schlüsseln, auch als Schließanlage möglich (Zubehör).<br/>Integrierter Sockel ca. 60 mm hoch.  ",1,1,,,material,Stahl,material,Stahl,material,material,anlieferung,zerlegt,anlieferung,zerlegt,anlieferung,anlieferung,konstruktion,Stecksystem,konstruktion,Stecksystem,konstruktion,konstruktion,preiseinheit,Stück,preiseinheit,Stück,preiseinheit,preiseinheit,utensilienschub,Nein,utensilienschub,Nein,utensilienschub,utensilienschub,einzelauszugssperre,Nein,einzelauszugssperre,Nein,einzelauszugssperre,einzelauszugssperre,ausziehbare_mausplattev2,Nein,ausziehbare_mausplattev2,Nein,ausziehbare_mausplattev2,ausziehbare_mausplattev2,beschriftungsmoeglichkeit,Nein,beschriftungsmoeglichkeit,Nein,beschriftungsmoeglichkeit,beschriftungsmoeglichkeit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M58230,,500979,"Wolf Stahlspind, zerlegt - 2 Abteile, Höhe 840 mm, Breite 400 mm, 1 Kleiderstange - Grundelement, sepiabraun / graubeige","Wolf Stahlspind, zerlegt - 2 Abteile, Höhe 840 mm, Breite 400 mm, 1 Kleiderstange - Grundelement, sepiabraun / graubeige"," Einfache, schraubenlose Steckmontage. Einbrennlackiertes Stahlblech. Belüftung durch leicht zu reinigendes Lochbild in den Türen und der Rückwand.<br/>Innenliegende Scharniere. Abschließbar mit Sicherheits-Drehriegelverschlüssen für Vorhängeschlösser (geeignet für Bügelstärke 6 mm).<br/>Optional mit Sicherheitszylinderschloss mit 2 Schlüsseln, auch als Schließanlage möglich (Zubehör).<br/>Integrierter Sockel ca. 60 mm hoch.  "," Einfache, schraubenlose Steckmontage. Einbrennlackiertes Stahlblech. Belüftung durch leicht zu reinigendes Lochbild in den Türen und der Rückwand.<br/>Innenliegende Scharniere. Abschließbar mit Sicherheits-Drehriegelverschlüssen für Vorhängeschlösser (geeignet für Bügelstärke 6 mm).<br/>Optional mit Sicherheitszylinderschloss mit 2 Schlüsseln, auch als Schließanlage möglich (Zubehör).<br/>Integrierter Sockel ca. 60 mm hoch.  ",1,1,,,material,Stahl,material,Stahl,material,material,anlieferung,zerlegt,anlieferung,zerlegt,anlieferung,anlieferung,konstruktion,Stecksystem,konstruktion,Stecksystem,konstruktion,konstruktion,preiseinheit,Stück,preiseinheit,Stück,preiseinheit,preiseinheit,utensilienschub,Nein,utensilienschub,Nein,utensilienschub,utensilienschub,einzelauszugssperre,Nein,einzelauszugssperre,Nein,einzelauszugssperre,einzelauszugssperre,ausziehbare_mausplattev2,Nein,ausziehbare_mausplattev2,Nein,ausziehbare_mausplattev2,ausziehbare_mausplattev2,beschriftungsmoeglichkeit,Nein,beschriftungsmoeglichkeit,Nein,beschriftungsmoeglichkeit,beschriftungsmoeglichkeit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
