key,input_type,allow_input,is_multiple,values,key_translation.en_US,key_translation.de_DE,value_translation.en_US,value_translation.de_DE
farbe,number,yes,no,"verkehrsweiß RAL 9016,lichtgrau,Edelstahl,verzinkt,signalblau RAL 5005,gelb,melonengelb RAL 1028,lichtblau,schwarz,grau,Buche Samerberg,weiß,Buche natur,1 x neongrün,  1 x neonorange, 1 x ultrapink, 1 x ultragelb,blau, grün, rot, gelb,1 x rot, 1 x orange, 1 x gelb,metallic,rot,pink,violett,blau,hellblau,hellgrün,grün,orange,hochweiß,grün transparent,anthrazit,schwarz auf weiß,schwarzgrau,elfenbein,lichtblau RAL 5012,türkis,1 x rot, 1 x gelb, 1 x blau,1 x weiß/blau, 1 x weiß/grün, 1 x weiß/rot,1 x weiß/pink, 1 x weiß/grün, 1 x weiß/orange,1 x gelb, 1 x ultragelb, 1 x neonorange, 1 x ultrapink,2 x neonorange, 2 x ultrapink, 2 x ultrablau,pink, grün, orange, gelb,2 x mohnrot, 2 x neongrün, 2 x ultrablau,alusilber,1 x zitronengelb, 1 x lila, 1 x pink, 1 x türkis,1 x rot, 1 x gelb, 1 x grün, 1 x blau,lila,1 x pink, 1 x grün, 1 x orange,4 x neonorange, 4 x ultrapink, 4 x ultrablau,schwarz auf rot,rosa,silber,transparent",farbe,farbe,"verkehrsweiß RAL 9016,lichtgrau,Edelstahl,verzinkt,signalblau RAL 5005,gelb,melonengelb RAL 1028,lichtblau,schwarz,grau,Buche Samerberg,weiß,Buche natur,1 x neongrün,  1 x neonorange, 1 x ultrapink, 1 x ultragelb,blau, grün, rot, gelb,1 x rot, 1 x orange, 1 x gelb,metallic,rot,pink,violett,blau,hellblau,hellgrün,grün,orange,hochweiß,grün transparent,anthrazit,schwarz auf weiß,schwarzgrau,elfenbein,lichtblau RAL 5012,türkis,1 x rot, 1 x gelb, 1 x blau,1 x weiß/blau, 1 x weiß/grün, 1 x weiß/rot,1 x weiß/pink, 1 x weiß/grün, 1 x weiß/orange,1 x gelb, 1 x ultragelb, 1 x neonorange, 1 x ultrapink,2 x neonorange, 2 x ultrapink, 2 x ultrablau,pink, grün, orange, gelb,2 x mohnrot, 2 x neongrün, 2 x ultrablau,alusilber,1 x zitronengelb, 1 x lila, 1 x pink, 1 x türkis,1 x rot, 1 x gelb, 1 x grün, 1 x blau,lila,1 x pink, 1 x grün, 1 x orange,4 x neonorange, 4 x ultrapink, 4 x ultrablau,schwarz auf rot,rosa,silber,transparent","verkehrsweiß RAL 9016,lichtgrau,Edelstahl,verzinkt,signalblau RAL 5005,gelb,melonengelb RAL 1028,lichtblau,schwarz,grau,Buche Samerberg,weiß,Buche natur,1 x neongrün,  1 x neonorange, 1 x ultrapink, 1 x ultragelb,blau, grün, rot, gelb,1 x rot, 1 x orange, 1 x gelb,metallic,rot,pink,violett,blau,hellblau,hellgrün,grün,orange,hochweiß,grün transparent,anthrazit,schwarz auf weiß,schwarzgrau,elfenbein,lichtblau RAL 5012,türkis,1 x rot, 1 x gelb, 1 x blau,1 x weiß/blau, 1 x weiß/grün, 1 x weiß/rot,1 x weiß/pink, 1 x weiß/grün, 1 x weiß/orange,1 x gelb, 1 x ultragelb, 1 x neonorange, 1 x ultrapink,2 x neonorange, 2 x ultrapink, 2 x ultrablau,pink, grün, orange, gelb,2 x mohnrot, 2 x neongrün, 2 x ultrablau,alusilber,1 x zitronengelb, 1 x lila, 1 x pink, 1 x türkis,1 x rot, 1 x gelb, 1 x grün, 1 x blau,lila,1 x pink, 1 x grün, 1 x orange,4 x neonorange, 4 x ultrapink, 4 x ultrablau,schwarz auf rot,rosa,silber,transparent"
fahrbar,number,yes,no,"Nein,Ja",fahrbar,fahrbar,"Nein,Ja","Nein,Ja"
preiseinheit,number,yes,no,"Stück,VE",preiseinheit,preiseinheit,"Stück,VE","Stück,VE"
ablageleiste,number,yes,no,"Ja,Nein",ablageleiste,ablageleiste,"Ja,Nein","Ja,Nein"
material,number,yes,no,"Stahlblech, einbrennlackiert,Stahl, pulverbeschichtet,Spanplatte, melaminharzbeschichtet,Stahlblech,Stahlblech, punktgeschweißt,Stahl,Stahlblech, pulverbeschichtet,Stahl, einbrennlackiert,Stahlrohrkonstruktion,Aluminium,Möbelplatte, melaminharzbeschichtet,Stahlblech, geschweißt,Edelstahl V2A,Stahl, verzinkt,Edelstahl,Stahlblech, lackiert,Kunststoff,Carbon,Metall",material,material,"Stahlblech, einbrennlackiert,Stahl, pulverbeschichtet,Spanplatte, melaminharzbeschichtet,Stahlblech,Stahlblech, punktgeschweißt,Stahl,Stahlblech, pulverbeschichtet,Stahl, einbrennlackiert,Stahlrohrkonstruktion,Aluminium,Möbelplatte, melaminharzbeschichtet,Stahlblech, geschweißt,Edelstahl V2A,Stahl, verzinkt,Edelstahl,Stahlblech, lackiert,Kunststoff,Carbon,Metall","Stahlblech, einbrennlackiert,Stahl, pulverbeschichtet,Spanplatte, melaminharzbeschichtet,Stahlblech,Stahlblech, punktgeschweißt,Stahl,Stahlblech, pulverbeschichtet,Stahl, einbrennlackiert,Stahlrohrkonstruktion,Aluminium,Möbelplatte, melaminharzbeschichtet,Stahlblech, geschweißt,Edelstahl V2A,Stahl, verzinkt,Edelstahl,Stahlblech, lackiert,Kunststoff,Carbon,Metall"
utensilienschub,number,yes,no,Nein,utensilienschub,utensilienschub,Nein,Nein
einzelauszugssperre,number,yes,no,Nein,einzelauszugssperre,einzelauszugssperre,Nein,Nein
anlieferung,number,yes,no,"zerlegt,montiert",anlieferung,anlieferung,"zerlegt,montiert","zerlegt,montiert"
konstruktion,number,yes,no,"geschweißt,Stecksystem",konstruktion,konstruktion,"geschweißt,Stecksystem","geschweißt,Stecksystem"
verriegelung,number,yes,no,3fach,verriegelung,verriegelung,3fach,3fach
