abstract_sku,concrete_sku,price_type,store,currency,value_net,value_gross
,101864,DEFAULT,DE,EUR,42000,42000
,101863,DEFAULT,DE,EUR,38000,38000
,101866,DEFAULT,DE,EUR,60000,60000
,101865,DEFAULT,DE,EUR,53000,53000
,212440,DEFAULT,DE,EUR,15998,15998
,212441,DEFAULT,DE,EUR,18000,18000
,212443,DEFAULT,DE,EUR,211509,211509
,212442,DEFAULT,DE,EUR,186112,186112
,212445,DEFAULT,DE,EUR,251415,251415
,212444,DEFAULT,DE,EUR,221184,221184
,212447,DEFAULT,DE,EUR,350579,350579
,212446,DEFAULT,DE,EUR,314299,314299
,100682,DEFAULT,DE,EUR,12602,12602
,100683,DEFAULT,DE,EUR,15149,15149
,100684,DEFAULT,DE,EUR,23423,23423
,100430,DEFAULT,DE,EUR,13685,13685
,100428,DEFAULT,DE,EUR,9114,9114
,100429,DEFAULT,DE,EUR,8675,8675
,506666,DEFAULT,DE,EUR,38404,38404
,506669,DEFAULT,DE,EUR,59918,59918
,506670,DEFAULT,DE,EUR,67095,67095
,107247,DEFAULT,DE,EUR,22503,22503
,107253,DEFAULT,DE,EUR,22503,22503
,500344,DEFAULT,DE,EUR,30050,30050
,508166,DEFAULT,DE,EUR,30050,30050
,508167,DEFAULT,DE,EUR,30050,30050
,500345,DEFAULT,DE,EUR,28769,28769
,508164,DEFAULT,DE,EUR,28769,28769
,508165,DEFAULT,DE,EUR,28769,28769
,506719,DEFAULT,DE,EUR,50210,50210
,506720,DEFAULT,DE,EUR,50210,50210
,507870,DEFAULT,DE,EUR,50210,50210
,506721,DEFAULT,DE,EUR,55778,55778
,506722,DEFAULT,DE,EUR,55778,55778
,507871,DEFAULT,DE,EUR,55778,55778
,508152,DEFAULT,DE,EUR,35435,35435
,505529,DEFAULT,DE,EUR,35435,35435
,508153,DEFAULT,DE,EUR,35435,35435
,505530,DEFAULT,DE,EUR,35435,35435
,508154,DEFAULT,DE,EUR,35435,35435
,508156,DEFAULT,DE,EUR,35435,35435
,508157,DEFAULT,DE,EUR,35435,35435
,573887,DEFAULT,DE,EUR,35435,35435
,508158,DEFAULT,DE,EUR,66991,66991
,508159,DEFAULT,DE,EUR,66991,66991
,508160,DEFAULT,DE,EUR,66991,66991
,508162,DEFAULT,DE,EUR,66991,66991
,508163,DEFAULT,DE,EUR,66991,66991
,505531,DEFAULT,DE,EUR,66991,66991
,505573,DEFAULT,DE,EUR,66991,66991
,573888,DEFAULT,DE,EUR,66991,66991
,508186,DEFAULT,DE,EUR,64959,64959
,508187,DEFAULT,DE,EUR,64959,64959
,508188,DEFAULT,DE,EUR,64959,64959
,508190,DEFAULT,DE,EUR,64959,64959
,508191,DEFAULT,DE,EUR,64959,64959
,505525,DEFAULT,DE,EUR,64959,64959
,505526,DEFAULT,DE,EUR,64959,64959
,573889,DEFAULT,DE,EUR,64959,64959
,508192,DEFAULT,DE,EUR,118881,118881
,508193,DEFAULT,DE,EUR,118881,118881
,508148,DEFAULT,DE,EUR,118881,118881
,508150,DEFAULT,DE,EUR,118881,118881
,508151,DEFAULT,DE,EUR,118881,118881
,505527,DEFAULT,DE,EUR,118881,118881
,505528,DEFAULT,DE,EUR,118881,118881
,573890,DEFAULT,DE,EUR,118881,118881
,509068,DEFAULT,DE,EUR,47481,47481
,509067,DEFAULT,DE,EUR,47481,47481
,509069,DEFAULT,DE,EUR,47481,47481
,509070,DEFAULT,DE,EUR,47481,47481
,509116,DEFAULT,DE,EUR,26393,26393
