"product","relation_type","rule"
"M1000785","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M75074""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1000785","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M10063,M10064,M2365,M2366,M2367,M2393,M11542,M11543,M1014863,M1014864,M1014865,M1014866,M1014867,M1014868,M1014869,M1014870,M1014872,M1014871,M1014873,M1014874,M1014875,M1014877,M1014876,M1014878,M1000784,M1028336""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1000786","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1006484,M302,M75601,M57966,M57968,M74972,M74974,M1000838,M1000839,M1000840""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1000838","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M75006""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1000838","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M74972,M74974,M1000786,M1000839,M1000840,M302,M75601,M57966,M57968,M1006484""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1000839","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M75006""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1000839","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M302,M75601,M57966,M57968,M74972,M74974,M1000786,M1000838,M1000840,M1006484""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1000840","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1000841""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1000840","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M74972,M74974,M1000838,M1000786,M1000839,M302,M75601,M57966,M57968,M1006484""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1002203","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1002205""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1002203","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M90737,M62584,M12655""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
