key,filter_type,position,key.en_US,key.de_DE
farbe,multi-select,19,farbe,farbe
fahrbar,multi-select,141,fahrbar,fahrbar
material,multi-select,44,material,material
einzelauszugssperre,multi-select,282,einzelauszugssperre,einzelauszugssperre
anlieferung,multi-select,71,anlieferung,anlieferung
konstruktion,multi-select,185,konstruktion,konstruktion
korpusmaterial,multi-select,232,korpusmaterial,korpusmaterial
norm,multi-select,364,norm,norm
stapelbar,multi-select,107,stapelbar,stapelbar
bezugsmaterial,multi-select,106,bezugsmaterial,bezugsmaterial
gestellfarbe,multi-select,30,gestellfarbe,gestellfarbe
kategorie,multi-select,108,kategorie,kategorie
sitzbreite_mm,multi-select,311,sitzbreite_mm,sitzbreite_mm
sitzmechanik,multi-select,110,sitzmechanik,sitzmechanik
sitzneigungsverstellung,multi-select,105,sitzneigungsverstellung,sitzneigungsverstellung
sitztiefe_mm,multi-select,260,sitztiefe_mm,sitztiefe_mm
gestellmaterial,multi-select,31,gestellmaterial,gestellmaterial
plattenform,multi-select,310,plattenform,plattenform
klappbar,multi-select,143,klappbar,klappbar
tragbreite_mm,multi-select,85,tragbreite_mm,tragbreite_mm
gabelbreite_mm,multi-select,172,gabelbreite_mm,gabelbreite_mm
hubbereich_mm,multi-select,84,hubbereich_mm,hubbereich_mm
gewicht_kg,multi-select,211,gewicht_kg,gewicht_kg
ziffernschritt_kg,multi-select,391,ziffernschritt_kg,ziffernschritt_kg
tafelmaterial,multi-select,372,tafelmaterial,tafelmaterial
batterie,multi-select,315,batterie,batterie
deckel,multi-select,269,deckel,deckel
baa351,multi-select,19,baa351,baa351
magnethaftend,multi-select,202,magnethaftend,magnethaftend
polsterung,multi-select,137,polsterung,polsterung
bezugsfarbe,multi-select,69,bezugsfarbe,bezugsfarbe
gesamtbreite_mm,multi-select,41,gesamtbreite_mm,gesamtbreite_mm
gesamttiefe_mm,multi-select,48,gesamttiefe_mm,gesamttiefe_mm
korpusfarbe,multi-select,74,korpusfarbe,korpusfarbe
innenausstattung,multi-select,132,innenausstattung,innenausstattung
tischplattenmaterial,multi-select,392,tischplattenmaterial,tischplattenmaterial
papierformat,multi-select,94,papierformat,papierformat
form,multi-select,20,form,form
frontfarbe,multi-select,183,frontfarbe,frontfarbe
ausstattung,multi-select,281,ausstattung,ausstattung
tretmechanismus,multi-select,267,tretmechanismus,tretmechanismus
