attribute_key,target_field
farbe,full-text
fahrbar,full-text
preiseinheit,full-text
ablageleiste,full-text
material,full-text
utensilienschub,full-text
einzelauszugssperre,full-text
anlieferung,full-text
konstruktion,full-text
verriegelung,full-text
korpusmaterial,full-text
norm,full-text
stapelbar,full-text
reihenverbinder,full-text
gegendruckeinstellung,full-text
sitzschalenform,full-text
armlehnenausfuhrung,full-text
bezugsmaterial,full-text
gegendruckeistellung,full-text
gestellausfuhrung,full-text
gestellfarbe,full-text
hohenverstellbereich_mm,full-text
kategorie,full-text
lendenwirbelstutze,full-text
rollenausfuhrung,full-text
ruckenlehnenhohe_mm,full-text
sitzbreite_mm,full-text
sitzmechanik,full-text
sitzneigungsverstellung,full-text
sitztiefe_mm,full-text
unterbau,full-text
gestellmaterial,full-text
plattenform,full-text
radlagerung,full-text
klappbar,full-text
gabellange_mm,full-text
lastrollenausfuhrung,full-text
lastrollenmaterial,full-text
lenkraddurchmesser_mm,full-text
lenkradmaterial,full-text
tragbreite_mm,full-text
tragfahigkeit_kg,full-text
gabelbreite_mm,full-text
gesamtlange_mm,full-text
hubbereich_mm,full-text
lastrollendurchmesser_mm,full-text
mindestbestellmenge_pces,full-text
oberflache,full-text
ausstattung_waagen,full-text
gewicht_kg,full-text
lastrollenbreite_mm,full-text
lenkeinschlag_grad,full-text
lenkradbreite_mm,full-text
schutzart,full-text
ziffernschritt_kg,full-text
tafelmaterial,full-text
radausstattung,full-text
batterie,full-text
deckel,full-text
auszugsperre,full-text
aao963,full-text
baa351,full-text
baf505,full-text
ablagebrett,full-text
magnethaftend,full-text
aaf631,full-text
aao847,full-text
verschlussart,full-text
sitzflachen-_u_lehnenmaterial,full-text
ve_pces,full-text
ausfuhrung_sitzschale,full-text
polsterung,full-text
bezugsfarbe,full-text
gesamtbreite_mm,full-text
gesamthohe_mm,full-text
gesamttiefe_mm,full-text
sitzflachen-u_lehnenfarbe,full-text
mindestbestellmenge,full-text
korpusfarbe,full-text
fachbodenfarbe,full-text
innenausstattung,full-text
zerkleinerungsart,full-text
sicherheitsstufe_nach_din_66399,full-text
geeignet_zur_vernichtung_von_cds,full-text
geeignet_zur_vernichtung_von_kreditkarten,full-text
tafelfarbe,full-text
plattenfarbe,full-text
tischplattenmaterial,full-text
papierformat,full-text
form,full-text
schnittart,full-text
fachbodenmaterial,full-text
aac868,full-text
ablagenfarbe,full-text
frontfarbe,full-text
ausstattung,full-text
ablagenmaterial,full-text
tretmechanismus,full-text
