"concrete_sku","name","quantity","is_never_out_of_stock","is_bundle"
"508161","Warehouse2",50,0,0
"508161","Warehouse1",50,1,0
"508161","Warehouse2",50,0,0
"101943","Warehouse1",50,1,0
"508189","Warehouse2",50,0,0
"508189","Warehouse1",50,1,0
"508189","Warehouse2",50,0,0
"509126","Warehouse2",50,0,0
"509126","Warehouse1",50,1,0
"509126","Warehouse2",50,0,0
"509127","Warehouse2",50,0,0
"509127","Warehouse1",50,1,0
"509127","Warehouse2",50,0,0
"500961","Warehouse1",50,1,0
"500962","Warehouse1",50,1,0
"500967","Warehouse1",50,1,0
"500968","Warehouse1",50,1,0
"500979","Warehouse2",50,0,0
"500979","Warehouse1",50,1,0
"500979","Warehouse2",50,0,0
"500980","Warehouse2",50,0,0
"500980","Warehouse1",50,1,0
"500980","Warehouse2",50,0,0
"500985","Warehouse2",50,0,0
"500985","Warehouse1",50,1,0
"500985","Warehouse2",50,0,0
"500986","Warehouse2",50,0,0
"500986","Warehouse1",50,1,0
"500986","Warehouse2",50,0,0
"500991","Warehouse2",50,0,0
"500991","Warehouse1",50,1,0
"500991","Warehouse2",50,0,0
"501001","Warehouse2",50,0,0
"501001","Warehouse1",50,1,0
"501001","Warehouse2",50,0,0
"500997","Warehouse2",50,0,0
"500997","Warehouse1",50,1,0
"500997","Warehouse2",50,0,0
"500998","Warehouse2",50,0,0
"500998","Warehouse1",50,1,0
"500998","Warehouse2",50,0,0
"501516","Warehouse2",50,1,0
"501516","Warehouse2",50,1,0
"501516","Warehouse2",50,1,0
"501516","Warehouse2",50,1,0
"501516","Warehouse1",50,1,0
"508149","Warehouse2",50,0,0
"508149","Warehouse1",50,1,0
"508149","Warehouse2",50,0,0
"509119","Warehouse2",50,0,0
"509119","Warehouse1",50,1,0
"509119","Warehouse2",50,0,0
"509120","Warehouse2",50,0,0
"509120","Warehouse1",50,1,0
"509120","Warehouse2",50,0,0
"100292","Warehouse2",50,0,0
"100292","Warehouse1",50,1,0
"100292","Warehouse2",50,0,0
"100295","Warehouse2",50,0,0
"100295","Warehouse1",50,1,0
"100295","Warehouse2",50,0,0
"101767","Warehouse2",50,0,0
"101767","Warehouse1",50,1,0
"101767","Warehouse2",50,0,0
"100618","Warehouse2",50,0,0
"100618","Warehouse1",50,1,0
"100618","Warehouse2",50,0,0
"100543","Warehouse2",50,0,0
"100543","Warehouse1",50,1,0
"100543","Warehouse2",50,0,0
"100615","Warehouse2",50,0,0
"100615","Warehouse1",50,1,0
"100615","Warehouse2",50,0,0
"100545","Warehouse2",50,0,0
"100545","Warehouse1",50,1,0
"100545","Warehouse2",50,0,0
"100547","Warehouse2",50,0,0
"100547","Warehouse1",50,1,0
"100547","Warehouse2",50,0,0
"100273","Warehouse2",50,0,0
"100273","Warehouse1",50,1,0
"100273","Warehouse2",50,0,0
"100204","Warehouse2",50,0,0
"100204","Warehouse1",50,1,0
"100204","Warehouse2",50,0,0
"100220","Warehouse2",50,0,0
"100220","Warehouse1",50,1,0
"100220","Warehouse2",50,0,0
"100236","Warehouse2",50,0,0
"100236","Warehouse1",50,1,0
"100236","Warehouse2",50,0,0
"100252","Warehouse2",50,0,0
"100252","Warehouse1",50,1,0
"100252","Warehouse2",50,0,0
"101941","Warehouse1",50,1,0
"100286","Warehouse2",50,0,0
"100286","Warehouse1",50,1,0
