block_key,category_key,template_name,cms_block_category_position_name
blck-12,100-cer,Catalog + CMS Block,bottom
blck-12,300-cer,Catalog + CMS Block,bottom
blck-12,308-cer,Catalog + CMS Block,bottom
blck-12,310-cer,Catalog + CMS Block,bottom
blck-12,301-cer,Catalog + CMS Block,bottom
blck-12,400-cer,Catalog + CMS Block,bottom
blck-12,401-cer,Catalog + CMS Block,bottom
blck-12,406-cer,Catalog + CMS Block,bottom
blck-12,403-cer,Catalog + CMS Block,bottom
blck-12,200-cer,Catalog + CMS Block,bottom
blck-12,1002577-cer,Catalog + CMS Block,bottom
blck-12,1005254-cer,Catalog + CMS Block,bottom
blck-12,74045-cer,Catalog + CMS Block,bottom
blck-12,1002760-cer,Catalog + CMS Block,bottom
blck-12,1005251-cer,Catalog + CMS Block,bottom
blck-12,63685-cer,Catalog + CMS Block,bottom
blck-12,1005263-cer,Catalog + CMS Block,bottom
blck-12,100267-cer,Catalog + CMS Block,bottom
blck-12,1005271-cer,Catalog + CMS Block,bottom
blck-12,74043-cer,Catalog + CMS Block,bottom
blck-12,1002772-cer,Catalog + CMS Block,bottom
blck-12,1002574-cer,Catalog + CMS Block,bottom
blck-12,1002666-cer,Catalog + CMS Block,bottom
blck-12,1207565-cer,Catalog + CMS Block,bottom
blck-12,1002660-cer,Catalog + CMS Block,bottom
blck-12,800-cer,Catalog + CMS Block,bottom
blck-12,808-cer,Catalog + CMS Block,bottom
blck-12,810-cer,Catalog + CMS Block,bottom
blck-12,803-cer,Catalog + CMS Block,bottom
blck-12,1002576-cer,Catalog + CMS Block,bottom
blck-12,1002752-cer,Catalog + CMS Block,bottom
blck-12,1002745-cer,Catalog + CMS Block,bottom
blck-12,product-bundles,Catalog + CMS Block,bottom
blck-13,100-cer,Catalog + CMS Block,middle
blck-13,300-cer,Catalog + CMS Block,middle
blck-13,308-cer,Catalog + CMS Block,middle
blck-13,310-cer,Catalog + CMS Block,middle
blck-13,301-cer,Catalog + CMS Block,middle
blck-13,400-cer,Catalog + CMS Block,middle
blck-13,401-cer,Catalog + CMS Block,middle
blck-13,406-cer,Catalog + CMS Block,middle
blck-13,403-cer,Catalog + CMS Block,middle
blck-13,200-cer,Catalog + CMS Block,middle
blck-13,1002577-cer,Catalog + CMS Block,middle
blck-13,1005254-cer,Catalog + CMS Block,middle
blck-13,74045-cer,Catalog + CMS Block,middle
blck-13,1002760-cer,Catalog + CMS Block,middle
blck-13,1005251-cer,Catalog + CMS Block,middle
blck-13,63685-cer,Catalog + CMS Block,middle
blck-13,1005263-cer,Catalog + CMS Block,middle
blck-13,100267-cer,Catalog + CMS Block,middle
blck-13,1005271-cer,Catalog + CMS Block,middle
blck-13,74043-cer,Catalog + CMS Block,middle
blck-13,1002772-cer,Catalog + CMS Block,middle
blck-13,1002574-cer,Catalog + CMS Block,middle
blck-13,1002666-cer,Catalog + CMS Block,middle
blck-13,1207565-cer,Catalog + CMS Block,middle
blck-13,1002660-cer,Catalog + CMS Block,middle
blck-13,800-cer,Catalog + CMS Block,middle
blck-13,808-cer,Catalog + CMS Block,middle
blck-13,810-cer,Catalog + CMS Block,middle
blck-13,803-cer,Catalog + CMS Block,middle
blck-13,1002576-cer,Catalog + CMS Block,middle
blck-13,1002752-cer,Catalog + CMS Block,middle
blck-13,1002745-cer,Catalog + CMS Block,middle
blck-13,product-bundles,Catalog + CMS Block,middle
