block_key,store_name
blck-1,DE
blck-1,AT
blck-1,US
blck-2,DE
blck-2,AT
blck-2,US
blck-3,DE
blck-3,AT
blck-3,US
blck-4,DE
blck-4,AT
blck-4,US
blck-5,DE
blck-5,AT
blck-5,US
blck-6,DE
blck-6,AT
blck-6,US
blck-7,DE
blck-7,US
blck-7,AT
blck-8,DE
blck-8,AT
blck-8,US
blck-9,DE
blck-9,AT
blck-9,US
blck-10,DE
blck-10,AT
blck-10,US
blck-11,DE
blck-11,AT
blck-11,US
blck-nav-desktop,DE
blck-nav-mobile,DE
blck-nav-footer-1,DE
blck-nav-footer-2,DE
blck-nav-footer-3,DE
blck-nav-footer-4,DE
blck-nav-desktop,AT
blck-nav-mobile,AT
blck-nav-footer-1,AT
blck-nav-footer-2,AT
blck-nav-footer-3,AT
blck-nav-footer-4,AT
blck-nav-desktop,US
blck-nav-mobile,US
blck-nav-footer-1,US
blck-nav-footer-2,US
blck-nav-footer-3,US
blck-nav-footer-4,US
