merchant_relation_key,abstract_sku,concrete_sku,price_type,store,currency,price_net,price_gross
mr-004,M61240,,DEFAULT,AT,EUR,12394,14750
mr-004,M61240,,ORIGINAL,AT,EUR,13771,16388
mr-004,,100107,DEFAULT,AT,EUR,12394,14750
mr-004,,100107,ORIGINAL,AT,EUR,13771,16388
mr-004,C2235,,DEFAULT,AT,EUR,6378,7590
mr-004,C2235,,ORIGINAL,AT,EUR,7086,8433
mr-004,,1001454,DEFAULT,AT,EUR,6378,7590
mr-004,,1001454,ORIGINAL,AT,EUR,7086,8433
mr-004,,100223,DEFAULT,AT,EUR,14193,16890
mr-004,,100223,ORIGINAL,AT,EUR,15770,18766
mr-004,M770,,DEFAULT,AT,EUR,20982,24970
mr-004,M770,,ORIGINAL,AT,EUR,23314,27744
mr-004,,100266,DEFAULT,AT,EUR,20982,24970
mr-004,,100266,ORIGINAL,AT,EUR,23314,27744
mr-004,M634,,DEFAULT,AT,EUR,106687,126958
mr-004,M634,,ORIGINAL,AT,EUR,118541,141064
mr-004,,100288,DEFAULT,AT,EUR,106687,126958
mr-004,,100288,ORIGINAL,AT,EUR,118541,141064
mr-004,M10569,,DEFAULT,AT,EUR,22530,26810
mr-004,M10569,,ORIGINAL,AT,EUR,25033,29789
mr-004,,100414,DEFAULT,AT,EUR,22530,26810
mr-004,,100414,ORIGINAL,AT,EUR,25033,29789
mr-004,M39654,,DEFAULT,AT,EUR,5622,6691
mr-004,M39654,,ORIGINAL,AT,EUR,6246,7434
mr-004,,100429,DEFAULT,AT,EUR,5622,6691
mr-004,,100429,ORIGINAL,AT,EUR,6246,7434
mr-004,M11222,,DEFAULT,AT,EUR,9198,10946
mr-004,M11222,,ORIGINAL,AT,EUR,10219,12162
mr-004,,100430,DEFAULT,AT,EUR,9198,10946
mr-004,,100430,ORIGINAL,AT,EUR,10219,12162
mr-004,M2393,,DEFAULT,AT,EUR,8250,9818
mr-004,M2393,,ORIGINAL,AT,EUR,9166,10908
mr-004,,100588,DEFAULT,AT,EUR,8250,9818
mr-004,,100588,ORIGINAL,AT,EUR,9166,10908
mr-004,M45050,,DEFAULT,AT,EUR,19396,23082
mr-004,M45050,,ORIGINAL,AT,EUR,21550,25646
mr-004,,100666,DEFAULT,AT,EUR,19396,23082
mr-004,,100666,ORIGINAL,AT,EUR,21550,25646
mr-004,M302,,DEFAULT,AT,EUR,8357,9945
mr-004,M302,,ORIGINAL,AT,EUR,9285,11050
mr-004,,100682,DEFAULT,AT,EUR,8357,9945
mr-004,,100682,ORIGINAL,AT,EUR,9285,11050
mr-004,M75601,,DEFAULT,AT,EUR,10382,12355
mr-004,M75601,,ORIGINAL,AT,EUR,11536,13728
mr-004,,100683,DEFAULT,AT,EUR,10382,12355
mr-004,,100683,ORIGINAL,AT,EUR,11536,13728
mr-004,M53238,,DEFAULT,AT,EUR,15294,18200
mr-004,M53238,,ORIGINAL,AT,EUR,16993,20222
mr-004,,100907,DEFAULT,AT,EUR,15294,18200
mr-004,,100907,ORIGINAL,AT,EUR,16993,20222
mr-004,M53331,,DEFAULT,AT,EUR,12593,14985
mr-004,M53331,,ORIGINAL,AT,EUR,13992,16650
mr-004,,100949,DEFAULT,AT,EUR,12593,14985
mr-004,,100949,ORIGINAL,AT,EUR,13992,16650
mr-004,M49344,,DEFAULT,AT,EUR,11254,13393
mr-004,M49344,,ORIGINAL,AT,EUR,12505,14881
mr-004,,100999,DEFAULT,AT,EUR,11254,13393
mr-004,,100999,ORIGINAL,AT,EUR,12505,14881
mr-004,M49207,,DEFAULT,AT,EUR,30269,36019
mr-004,M49207,,ORIGINAL,AT,EUR,33632,40021
mr-004,,101007,DEFAULT,AT,EUR,30269,36019
mr-004,,101007,ORIGINAL,AT,EUR,33632,40021
mr-004,M53235,,DEFAULT,AT,EUR,26972,32096
mr-004,M53235,,ORIGINAL,AT,EUR,29969,35662
mr-004,,101102,DEFAULT,AT,EUR,26972,32096
mr-004,,101102,ORIGINAL,AT,EUR,29969,35662
mr-004,M731,,DEFAULT,AT,EUR,24382,29014
mr-004,M731,,ORIGINAL,AT,EUR,27090,32237
mr-004,,101171,DEFAULT,AT,EUR,24382,29014
mr-004,,101171,ORIGINAL,AT,EUR,27090,32237
mr-004,M1028038,,DEFAULT,AT,EUR,13483,16046
mr-004,M1028038,,ORIGINAL,AT,EUR,14981,17828
mr-004,,101172,DEFAULT,AT,EUR,13483,16046
mr-004,,101172,ORIGINAL,AT,EUR,14981,17828
mr-004,M2495,,DEFAULT,AT,EUR,12917,15371
mr-004,M2495,,ORIGINAL,AT,EUR,14352,17078
mr-004,,101226,DEFAULT,AT,EUR,12917,15371
mr-004,,101226,ORIGINAL,AT,EUR,14352,17078
mr-004,M11480,,DEFAULT,AT,EUR,15314,18224
mr-004,M11480,,ORIGINAL,AT,EUR,17016,20249
mr-004,,101441,DEFAULT,AT,EUR,15314,18224
mr-004,,101441,ORIGINAL,AT,EUR,17016,20249
mr-004,M1014948,,DEFAULT,AT,EUR,14786,17594
mr-004,M1014948,,ORIGINAL,AT,EUR,16428,19549
mr-004,,101509,DEFAULT,AT,EUR,14786,17594
mr-004,,101509,ORIGINAL,AT,EUR,16428,19549
mr-004,M64933,,DEFAULT,AT,EUR,9202,10951
mr-004,M64933,,ORIGINAL,AT,EUR,10225,12168
mr-004,,101515,DEFAULT,AT,EUR,9202,10951
mr-004,,101515,ORIGINAL,AT,EUR,10225,12168
mr-004,M39658,,DEFAULT,AT,EUR,15350,18267
mr-004,M39658,,ORIGINAL,AT,EUR,17056,20297
mr-004,,101560,DEFAULT,AT,EUR,15350,18267
mr-004,,101560,ORIGINAL,AT,EUR,17056,20297
mr-004,M15226,,DEFAULT,AT,EUR,17158,20418
mr-004,M15226,,ORIGINAL,AT,EUR,19065,22686
mr-004,,101759,DEFAULT,AT,EUR,17158,20418
mr-004,,101759,ORIGINAL,AT,EUR,19065,22686
mr-004,M79890,,DEFAULT,AT,EUR,8790,10461
mr-004,M79890,,ORIGINAL,AT,EUR,9766,11622
mr-004,,101828,DEFAULT,AT,EUR,8790,10461
mr-004,,101828,ORIGINAL,AT,EUR,9766,11622
mr-004,M74972,,DEFAULT,AT,EUR,26414,31434
mr-004,M74972,,ORIGINAL,AT,EUR,29349,34926
mr-004,,101863,DEFAULT,AT,EUR,26414,31434
mr-004,,101863,ORIGINAL,AT,EUR,29349,34926
mr-004,M74974,,DEFAULT,AT,EUR,34582,41153
mr-004,M74974,,ORIGINAL,AT,EUR,38425,45725
mr-004,,101865,DEFAULT,AT,EUR,34582,41153
mr-004,,101865,ORIGINAL,AT,EUR,38425,45725
mr-004,M74907,,DEFAULT,AT,EUR,47783,56862
mr-004,M74907,,ORIGINAL,AT,EUR,53092,63179
mr-004,,101940,DEFAULT,AT,EUR,47783,56862
mr-004,,101940,ORIGINAL,AT,EUR,53092,63179
mr-004,M1018212,,DEFAULT,AT,EUR,34410,40948
mr-004,M1018212,,ORIGINAL,AT,EUR,38233,45498
mr-004,,102121,DEFAULT,AT,EUR,34410,40948
mr-004,,102121,ORIGINAL,AT,EUR,38233,45498
mr-004,M58035,,DEFAULT,AT,EUR,21842,25993
mr-004,M58035,,ORIGINAL,AT,EUR,24269,28881
mr-004,,102124,DEFAULT,AT,EUR,21842,25993
mr-004,,102124,ORIGINAL,AT,EUR,24269,28881
mr-004,,102126,DEFAULT,AT,EUR,21282,25326
mr-004,,102126,ORIGINAL,AT,EUR,23646,28139
mr-004,,102128,DEFAULT,AT,EUR,25295,30102
mr-004,,102128,ORIGINAL,AT,EUR,28106,33446
mr-004,,102130,DEFAULT,AT,EUR,26039,30986
mr-004,,102130,ORIGINAL,AT,EUR,28932,34429
mr-004,M58100,,DEFAULT,AT,EUR,21181,25205
mr-004,M58100,,ORIGINAL,AT,EUR,23534,28005
mr-004,,102169,DEFAULT,AT,EUR,21181,25205
mr-004,,102169,ORIGINAL,AT,EUR,23534,28005
mr-004,M58095,,DEFAULT,AT,EUR,12288,14623
mr-004,M58095,,ORIGINAL,AT,EUR,13653,16248
mr-004,,102177,DEFAULT,AT,EUR,12288,14623
mr-004,,102177,ORIGINAL,AT,EUR,13653,16248
mr-004,M58102,,DEFAULT,AT,EUR,13472,16032
mr-004,,102180,DEFAULT,AT,EUR,13472,16032
mr-004,M58103,,DEFAULT,AT,EUR,13472,16032
mr-004,,102181,DEFAULT,AT,EUR,13472,16032
mr-004,M58104,,DEFAULT,AT,EUR,13472,16032
mr-004,,102182,DEFAULT,AT,EUR,13472,16032
mr-004,M58105,,DEFAULT,AT,EUR,13472,16032
mr-004,,102183,DEFAULT,AT,EUR,13472,16032
mr-004,M61124,,DEFAULT,AT,EUR,12378,14729
mr-004,,102708,DEFAULT,AT,EUR,12378,14729
mr-004,M61125,,DEFAULT,AT,EUR,14628,17407
mr-004,,102712,DEFAULT,AT,EUR,14628,17407
mr-004,M53287,,DEFAULT,AT,EUR,10126,12051
mr-004,,102775,DEFAULT,AT,EUR,10126,12051
mr-004,M53288,,DEFAULT,AT,EUR,10427,12408
mr-004,,102779,DEFAULT,AT,EUR,10427,12408
mr-004,M226,,DEFAULT,AT,EUR,31282,37225
mr-004,,102809,DEFAULT,AT,EUR,31282,37225
mr-004,M62584,,DEFAULT,AT,EUR,13427,15978
mr-004,,102841,DEFAULT,AT,EUR,13427,15978
mr-004,M766,,DEFAULT,AT,EUR,15378,18300
mr-004,,102917,DEFAULT,AT,EUR,15378,18300
mr-004,M767,,DEFAULT,AT,EUR,15866,18880
mr-004,,102918,DEFAULT,AT,EUR,15866,18880
mr-004,M768,,DEFAULT,AT,EUR,17328,20621
mr-004,,102919,DEFAULT,AT,EUR,17328,20621
mr-004,M769,,DEFAULT,AT,EUR,18529,22049
mr-004,,102920,DEFAULT,AT,EUR,18529,22049
mr-004,M771,,DEFAULT,AT,EUR,20029,23834
mr-004,,102922,DEFAULT,AT,EUR,20029,23834
mr-004,M787,,DEFAULT,AT,EUR,18603,22138
mr-004,,102923,DEFAULT,AT,EUR,18603,22138
mr-004,M788,,DEFAULT,AT,EUR,19879,23656
mr-004,,102924,DEFAULT,AT,EUR,19879,23656
mr-004,M789,,DEFAULT,AT,EUR,20329,24191
mr-004,,102925,DEFAULT,AT,EUR,20329,24191
mr-004,,102935,DEFAULT,AT,EUR,10291,12246
mr-004,,102936,DEFAULT,AT,EUR,11740,13970
mr-004,,102938,DEFAULT,AT,EUR,13953,16604
mr-004,,102939,DEFAULT,AT,EUR,14778,17586
mr-004,M719,,DEFAULT,AT,EUR,15416,18345
mr-004,,102940,DEFAULT,AT,EUR,15416,18345
mr-004,M72878,,DEFAULT,AT,EUR,15129,18003
mr-004,,102972,DEFAULT,AT,EUR,15129,18003
