abstract_sku,store_name
M74972,AT
M74974,AT
M1000786,AT
M1000838,AT
M1000839,AT
M1000840,AT
M302,AT
M75601,AT
M11222,AT
M39654,AT
M1896,AT
M62305,AT
M80392,AT
M857,AT
M856,AT
M858,AT
M859,AT
M54107,AT
M54110,AT
M54111,AT
M54113,AT
M55895,AT
M55936,AT
M55937,AT
M58227,AT
M58228,AT
M58230,AT
M58312,AT
M58313,AT
M58315,AT
M58314,AT
M58335,AT
M58336,AT
M68854,AT
M62301,AT
M62306,AT
M68726,AT
M68727,AT
M852,AT
M75685,AT
M75686,AT
M75727,AT
M75700,AT
M75730,AT
M40490,AT
M40491,AT
M213,AT
M226,AT
M229,AT
M14054,AT
M15127,AT
M87464,AT
M87416,AT
M731,AT
M12655,AT
M12656,AT
M58035,AT
M62584,AT
M634,AT
M635,AT
M636,AT
M74966,AT
M90806,AT
M10569,AT
M10577,AT
M11473,AT
M11306,AT
M75071,AT
M11480,AT
M526,AT
M527,AT
M528,AT
M529,AT
M45050,AT
M49207,AT
M49344,AT
M58100,AT
M58102,AT
M58103,AT
M58104,AT
M58105,AT
M61124,AT
M61125,AT
M66923,AT
M64947,AT
M69408,AT
M58095,AT
M72878,AT
M74907,AT
M53331,AT
M10871,AT
M10872,AT
M2365,AT
M2366,AT
M2393,AT
M64933,AT
M64934,AT
M86938,AT
M86939,AT
M1000785,AT
M53238,AT
M74815,AT
M719,AT
M766,AT
M767,AT
M768,AT
M769,AT
M770,AT
M771,AT
M787,AT
M788,AT
M789,AT
M53288,AT
M53287,AT
M2495,AT
M61240,AT
M79890,AT
M79892,AT
M79932,AT
M72933,AT
M72935,AT
M72937,AT
M72938,AT
M72939,AT
M72940,AT
M72942,AT
M72943,AT
M72944,AT
M72945,AT
M5022,AT
M5043,AT
M5044,AT
M70208,AT
M5154,AT
M5155,AT
M5108,AT
M5113,AT
M5148,AT
M5147,AT
M1006484,AT
M65062,AT
M88181,AT
M88182,AT
M72843,AT
M72844,AT
M1006871,AT
M43347,AT
M90737,AT
M90802,AT
M90799,AT
M90800,AT
M90804,AT
M90805,AT
M1006811,AT
M78380,AT
M49320,AT
M90850,AT
M90851,AT
M1014646,AT
M1014645,AT
M1014629,AT
M1014642,AT
M1014643,AT
M1014644,AT
M1014653,AT
M1015355,AT
M1015356,AT
M1014656,AT
M88184,AT
M1014948,AT
M90810,AT
M432,AT
M87599,AT
M1014496,AT
M1014502,AT
M1002203,AT
M39658,AT
M15226,AT
M1014866,AT
M1014871,AT
M1014870,AT
M1014874,AT
M1017945,AT
M1018212,AT
M1018211,AT
M1017902,AT
M1017905,AT
M1022640,AT
M1022643,AT
M1022632,AT
M1024601,AT
M1024684,AT
M1024689,AT
M1028483,AT
M1028095,AT
M1028702,AT
M1030133,AT
M1028049,AT
M1028061,AT
M1028062,AT
M1028038,AT
M1031236,AT
M1031238,AT
M1028375,AT
M1028376,AT
M21062,AT
M21066,AT
M21067,AT
M21073,AT
M21090,AT
M21091,AT
M21092,AT
M21093,AT
M21094,AT
M21097,AT
M21099,AT
M21100,AT
M21101,AT
M21103,AT
M21104,AT
M21105,AT
M21189,AT
M21190,AT
M21191,AT
M21193,AT
M21194,AT
M21195,AT
M21196,AT
M21197,AT
M21200,AT
M21201,AT
M21202,AT
M21203,AT
M21205,AT
M21296,AT
M21299,AT
M21635,AT
M21636,AT
M21637,AT
M21638,AT
M21646,AT
M21648,AT
M21650,AT
M21679,AT
M21680,AT
M21681,AT
M21684,AT
M21690,AT
M21691,AT
M21692,AT
M21693,AT
M21694,AT
M21703,AT
M21704,AT
M21705,AT
M21708,AT
M21711,AT
M21713,AT
M21714,AT
M21715,AT
M21716,AT
M21717,AT
M21740,AT
M21741,AT
M21742,AT
M21743,AT
M21744,AT
M21745,AT
M21759,AT
M21766,AT
M21771,AT
M21772,AT
M21773,AT
M21774,AT
M21777,AT
M21778,AT
M21779,AT
M21903,AT
M22230,AT
M22232,AT
M22269,AT
M22293,AT
M22397,AT
M22398,AT
M22410,AT
M22411,AT
M22412,AT
M22432,AT
M22484,AT
M22613,AT
M22660,AT
M22661,AT
M22662,AT
M22663,AT
M22664,AT
M22682,AT
M22796,AT
M22797,AT
M23067,AT
M23340,AT
M23343,AT
M23345,AT
M23432,AT
M23436,AT
M23438,AT
M23440,AT
M23441,AT
M23444,AT
M23450,AT
M23451,AT
M23454,AT
M23455,AT
M23456,AT
M23457,AT
M23459,AT
M23460,AT
M23461,AT
M23462,AT
M23463,AT
M23467,AT
M23468,AT
M23469,AT
M23470,AT
M23471,AT
M23472,AT
M23473,AT
M23475,AT
M23476,AT
M23477,AT
M23478,AT
M23479,AT
M23482,AT
M23484,AT
M23486,AT
M23487,AT
M23488,AT
M23510,AT
M23512,AT
M23513,AT
M23720,AT
M23721,AT
M23722,AT
M23723,AT
M23724,AT
M23725,AT
M23726,AT
M23727,AT
M23729,AT
M23730,AT
M23731,AT
M23732,AT
M23751,AT
M23764,AT
M23766,AT
M23770,AT
M23771,AT
M23777,AT
M24143,AT
M24416,AT
M24417,AT
M24418,AT
M24563,AT
M24605,AT
M24606,AT
M24609,AT
M24610,AT
M24612,AT
M24613,AT
M24632,AT
M24637,AT
M25598,AT
M25599,AT
M25600,AT
M1013168,AT
M1013287,AT
M1013541,AT
M1016129,AT
M26415,AT
M26416,AT
M26417,AT
M26418,AT
M26419,AT
M26420,AT
M1079219,AT
M1079221,AT
M1079222,AT
M1079243,AT
M1080190,AT
M83,AT
M84,AT
M85,AT
M86,AT
M87,AT
M26831,AT
M29455,AT
M29456,AT
M29468,AT
M29499,AT
M29501,AT
M29502,AT
M29503,AT
M29504,AT
M29507,AT
M29523,AT
M29524,AT
M29525,AT
M29526,AT
M29529,AT
M29530,AT
M29929,AT
