abstract_sku,concrete_sku,price_type,store,currency,value_net,value_gross,price_data.volume_prices
M61240,,DEFAULT,AT,EUR,15593,18537,
M61240,,DEFAULT,AT,CHF,17762,21118,
M61240,,ORIGINAL,AT,EUR,17314,20585,
M61240,,ORIGINAL,AT,CHF,19724,23453,
,100107,DEFAULT,AT,EUR,15593,18537,
,100107,DEFAULT,AT,CHF,17762,21118,
,100107,ORIGINAL,AT,EUR,17314,20585,
,100107,ORIGINAL,AT,CHF,19724,23453,
C2235,,DEFAULT,AT,EUR,8072,9587,
C2235,,DEFAULT,AT,CHF,9188,10915,
C2235,,ORIGINAL,AT,EUR,8957,10641,
C2235,,ORIGINAL,AT,CHF,10197,12116,
,1001454,DEFAULT,AT,EUR,8072,9587,
,1001454,DEFAULT,AT,CHF,9188,10915,
,1001454,ORIGINAL,AT,EUR,8957,10641,
,1001454,ORIGINAL,AT,CHF,10197,12116,
,100223,DEFAULT,AT,EUR,17841,21212,
,100223,DEFAULT,AT,CHF,20324,24167,
,100223,ORIGINAL,AT,EUR,19812,23557,
,100223,ORIGINAL,AT,CHF,22571,26841,
M770,,DEFAULT,AT,EUR,26328,31312,
M770,,DEFAULT,AT,CHF,29999,35681,
M770,,ORIGINAL,AT,EUR,29242,34780,
M770,,ORIGINAL,AT,CHF,33321,39634,
,100266,DEFAULT,AT,EUR,26328,31312,
,100266,DEFAULT,AT,CHF,29999,35681,
,100266,ORIGINAL,AT,EUR,29242,34780,
,100266,ORIGINAL,AT,CHF,33321,39634,
M634,,DEFAULT,AT,EUR,133459,158797,
M634,,DEFAULT,AT,CHF,152129,181014,
M634,,ORIGINAL,AT,EUR,148276,176430,
M634,,ORIGINAL,AT,CHF,169021,201115,
,100288,DEFAULT,AT,EUR,133459,158797,
,100288,DEFAULT,AT,CHF,152129,181014,
,100288,ORIGINAL,AT,EUR,148276,176430,
,100288,ORIGINAL,AT,CHF,169021,201115,
M10569,,DEFAULT,AT,EUR,28262,33613,
M10569,,DEFAULT,AT,CHF,32204,38304,
M10569,,ORIGINAL,AT,EUR,31391,37336,
M10569,,ORIGINAL,AT,CHF,35771,42548,
,100414,DEFAULT,AT,EUR,28262,33613,
,100414,DEFAULT,AT,CHF,32204,38304,
,100414,ORIGINAL,AT,EUR,31391,37336,
,100414,ORIGINAL,AT,CHF,35771,42548,
M39654,,DEFAULT,AT,EUR,7128,8464,
M39654,,DEFAULT,AT,CHF,8111,9634,
M39654,,ORIGINAL,AT,EUR,7908,9393,
M39654,,ORIGINAL,AT,CHF,9001,10693,
,100429,DEFAULT,AT,EUR,7128,8464,
,100429,DEFAULT,AT,CHF,8111,9634,
,100429,ORIGINAL,AT,EUR,7908,9393,
,100429,ORIGINAL,AT,CHF,9001,10693,
M11222,,DEFAULT,AT,EUR,11597,13782,
M11222,,DEFAULT,AT,CHF,13206,15697,
M11222,,ORIGINAL,AT,EUR,12874,15302,
M11222,,ORIGINAL,AT,CHF,14662,17430,
,100430,DEFAULT,AT,EUR,11597,13782,
,100430,DEFAULT,AT,CHF,13206,15697,
,100430,ORIGINAL,AT,EUR,12874,15302,
,100430,ORIGINAL,AT,CHF,14662,17430,
M2393,,DEFAULT,AT,EUR,10412,12372,
M2393,,DEFAULT,AT,CHF,11855,14090,
M2393,,ORIGINAL,AT,EUR,11557,13735,
M2393,,ORIGINAL,AT,CHF,13161,15644,
,100588,DEFAULT,AT,EUR,10412,12372,
,100588,DEFAULT,AT,CHF,11855,14090,
,100588,ORIGINAL,AT,EUR,11557,13735,
,100588,ORIGINAL,AT,CHF,13161,15644,
M45050,,DEFAULT,AT,EUR,24345,28952,
M45050,,DEFAULT,AT,CHF,27739,32991,
M45050,,ORIGINAL,AT,EUR,27038,32157,
M45050,,ORIGINAL,AT,CHF,30810,36645,
,100666,DEFAULT,AT,EUR,24345,28952,
,100666,DEFAULT,AT,CHF,27739,32991,
,100666,ORIGINAL,AT,EUR,27038,32157,
,100666,ORIGINAL,AT,CHF,30810,36645,
M302,,DEFAULT,AT,EUR,10546,12531,
M302,,DEFAULT,AT,CHF,12008,14271,
M302,,ORIGINAL,AT,EUR,11706,13912,
M302,,ORIGINAL,AT,CHF,13331,15845,
,100682,DEFAULT,AT,EUR,10546,12531,
,100682,DEFAULT,AT,CHF,12008,14271,
,100682,ORIGINAL,AT,EUR,11706,13912,
,100682,ORIGINAL,AT,CHF,13331,15845,
M75601,,DEFAULT,AT,EUR,13078,15544,
M75601,,DEFAULT,AT,CHF,14894,17706,
M75601,,ORIGINAL,AT,EUR,14520,17260,
M75601,,ORIGINAL,AT,CHF,16537,19662,
,100683,DEFAULT,AT,EUR,13078,15544,
,100683,DEFAULT,AT,CHF,14894,17706,
,100683,ORIGINAL,AT,EUR,14520,17260,
,100683,ORIGINAL,AT,CHF,16537,19662,
M53238,,DEFAULT,AT,EUR,19217,22850,
M53238,,DEFAULT,AT,CHF,21893,26034,
M53238,,ORIGINAL,AT,EUR,21341,25377,
M53238,,ORIGINAL,AT,CHF,24314,28915,
,100907,DEFAULT,AT,EUR,19217,22850,
,100907,DEFAULT,AT,CHF,21893,26034,
,100907,ORIGINAL,AT,EUR,21341,25377,
,100907,ORIGINAL,AT,CHF,24314,28915,
M53331,,DEFAULT,AT,EUR,15841,18831,
M53331,,DEFAULT,AT,CHF,18044,21453,
M53331,,ORIGINAL,AT,EUR,17590,20912,
M53331,,ORIGINAL,AT,CHF,20037,23825,
,100949,DEFAULT,AT,EUR,15841,18831,
,100949,DEFAULT,AT,CHF,18044,21453,
,100949,ORIGINAL,AT,EUR,17590,20912,
,100949,ORIGINAL,AT,CHF,20037,23825,
M49344,,DEFAULT,AT,EUR,14168,16841,
M49344,,DEFAULT,AT,CHF,16137,19184,
M49344,,ORIGINAL,AT,EUR,15731,18701,
M49344,,ORIGINAL,AT,CHF,17918,21304,
,100999,DEFAULT,AT,EUR,14168,16841,
,100999,DEFAULT,AT,CHF,16137,19184,
,100999,ORIGINAL,AT,EUR,15731,18701,
,100999,ORIGINAL,AT,CHF,17918,21304,
M49207,,DEFAULT,AT,EUR,37936,45124,
M49207,,DEFAULT,AT,CHF,43233,51427,
M49207,,ORIGINAL,AT,EUR,42140,50126,
M49207,,ORIGINAL,AT,CHF,48025,57130,
,101007,DEFAULT,AT,EUR,37936,45124,
,101007,DEFAULT,AT,CHF,43233,51427,
,101007,ORIGINAL,AT,EUR,42140,50126,
,101007,ORIGINAL,AT,CHF,48025,57130,
M53235,,DEFAULT,AT,EUR,33815,40220,
M53235,,DEFAULT,AT,CHF,38535,45836,
M53235,,ORIGINAL,AT,EUR,37561,44677,
M53235,,ORIGINAL,AT,CHF,42805,50917,
,101102,DEFAULT,AT,EUR,33815,40220,
,101102,DEFAULT,AT,CHF,38535,45836,
,101102,ORIGINAL,AT,EUR,37561,44677,
,101102,ORIGINAL,AT,CHF,42805,50917,
M731,,DEFAULT,AT,EUR,30577,36367,
M731,,DEFAULT,AT,CHF,34843,41444,
M731,,ORIGINAL,AT,EUR,33963,40396,
M731,,ORIGINAL,AT,CHF,38703,46037,
,101171,DEFAULT,AT,EUR,30577,36367,
,101171,DEFAULT,AT,CHF,34843,41444,
,101171,ORIGINAL,AT,EUR,33963,40396,
,101171,ORIGINAL,AT,CHF,38703,46037,
M1028038,,DEFAULT,AT,EUR,16954,20157,
M1028038,,DEFAULT,AT,CHF,19313,22964,
M1028038,,ORIGINAL,AT,EUR,18826,22385,
M1028038,,ORIGINAL,AT,CHF,21447,25504,
,101172,DEFAULT,AT,EUR,16954,20157,
,101172,DEFAULT,AT,CHF,19313,22964,
,101172,ORIGINAL,AT,EUR,18826,22385,
,101172,ORIGINAL,AT,CHF,21447,25504,
M2495,,DEFAULT,AT,EUR,16246,19314,
M2495,,DEFAULT,AT,CHF,18506,22003,
M2495,,ORIGINAL,AT,EUR,18040,21448,
M2495,,ORIGINAL,AT,CHF,20551,24436,
,101226,DEFAULT,AT,EUR,16246,19314,
,101226,DEFAULT,AT,CHF,18506,22003,
,101226,ORIGINAL,AT,EUR,18040,21448,
,101226,ORIGINAL,AT,CHF,20551,24436,
M11480,,DEFAULT,AT,EUR,19243,22880,
M11480,,DEFAULT,AT,CHF,21923,26069,
M11480,,ORIGINAL,AT,EUR,21370,25411,
M11480,,ORIGINAL,AT,CHF,24347,28954,
,101441,DEFAULT,AT,EUR,19243,22880,
,101441,DEFAULT,AT,CHF,21923,26069,
,101441,ORIGINAL,AT,EUR,21370,25411,
,101441,ORIGINAL,AT,CHF,24347,28954,
M1014948,,DEFAULT,AT,EUR,18582,22093,
M1014948,,DEFAULT,AT,CHF,21169,25172,
M1014948,,ORIGINAL,AT,EUR,20635,24536,
M1014948,,ORIGINAL,AT,CHF,23510,27957,
,101509,DEFAULT,AT,EUR,18582,22093,
