abstract_sku,concrete_sku,price_type,store,currency,value_net,value_gross,from_included,to_included
C2235,,DEFAULT,AT,EUR,4446,4940,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
C2235,,DEFAULT,AT,EUR,3510,3900,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
C2235,,DEFAULT,AT,EUR,1755,1950,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000785,,DEFAULT,AT,CHF,5506,6118,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000785,,DEFAULT,AT,CHF,4347,4830,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000785,,DEFAULT,AT,CHF,2174,2415,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000785,,DEFAULT,AT,EUR,4788,5320,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000785,,DEFAULT,AT,EUR,3780,4200,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000785,,DEFAULT,AT,EUR,1890,2100,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000786,,DEFAULT,AT,CHF,5506,6118,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000786,,DEFAULT,AT,CHF,4347,4830,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000786,,DEFAULT,AT,CHF,2174,2415,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000786,,DEFAULT,AT,EUR,4788,5320,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000786,,DEFAULT,AT,EUR,3780,4200,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000786,,DEFAULT,AT,EUR,1890,2100,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000838,,DEFAULT,AT,CHF,27138,30153,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000838,,DEFAULT,AT,CHF,21425,23805,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000838,,DEFAULT,AT,CHF,10713,11903,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000838,,DEFAULT,AT,EUR,23598,26220,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000838,,DEFAULT,AT,EUR,18630,20700,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000838,,DEFAULT,AT,EUR,9315,10350,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000839,,DEFAULT,AT,CHF,27138,30153,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000839,,DEFAULT,AT,CHF,21425,23805,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000839,,DEFAULT,AT,CHF,10713,11903,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000839,,DEFAULT,AT,EUR,23598,26220,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000839,,DEFAULT,AT,EUR,18630,20700,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000839,,DEFAULT,AT,EUR,9315,10350,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000840,,DEFAULT,AT,CHF,27138,30153,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000840,,DEFAULT,AT,CHF,21425,23805,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000840,,DEFAULT,AT,CHF,10713,11903,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000840,,DEFAULT,AT,EUR,23598,26220,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000840,,DEFAULT,AT,EUR,18630,20700,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000840,,DEFAULT,AT,EUR,9315,10350,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1002203,,DEFAULT,AT,CHF,7865,8739,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1002203,,DEFAULT,AT,CHF,6209,6899,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1002203,,DEFAULT,AT,CHF,3105,3450,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1002203,,DEFAULT,AT,EUR,6839,7599,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1002203,,DEFAULT,AT,EUR,5399,5999,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1002203,,DEFAULT,AT,EUR,2700,3000,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1006484,,DEFAULT,AT,CHF,27217,30240,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1006484,,DEFAULT,AT,CHF,21487,23874,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1006484,,DEFAULT,AT,CHF,10744,11937,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1006484,,DEFAULT,AT,EUR,23666,26296,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1006484,,DEFAULT,AT,EUR,18684,20760,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1006484,,DEFAULT,AT,EUR,9342,10380,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1006811,,DEFAULT,AT,CHF,28790,31988,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1006811,,DEFAULT,AT,CHF,22729,25254,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1006811,,DEFAULT,AT,CHF,11365,12627,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1006811,,DEFAULT,AT,EUR,25034,27816,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1006811,,DEFAULT,AT,EUR,19764,21960,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1006811,,DEFAULT,AT,EUR,9882,10980,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1013168,,DEFAULT,AT,CHF,28790,31988,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1013168,,DEFAULT,AT,CHF,22729,25254,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1013168,,DEFAULT,AT,CHF,11365,12627,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1013168,,DEFAULT,AT,EUR,25034,27816,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1013168,,DEFAULT,AT,EUR,19764,21960,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1013168,,DEFAULT,AT,EUR,9882,10980,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1013287,,DEFAULT,AT,CHF,4482,4981,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1013287,,DEFAULT,AT,CHF,3539,3932,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1013287,,DEFAULT,AT,CHF,1770,1966,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1013287,,DEFAULT,AT,EUR,3898,4331,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1013287,,DEFAULT,AT,EUR,3077,3419,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
