merchant_relation_key,abstract_sku,concrete_sku,price_type,store,currency,price_net,price_gross
mr-004,M61240,,DEFAULT,DE,EUR,12394,14750
mr-004,M61240,,ORIGINAL,DE,EUR,13771,16388
mr-004,,100107,DEFAULT,DE,EUR,12394,14750
mr-004,,100107,ORIGINAL,DE,EUR,13771,16388
mr-004,C2235,,DEFAULT,DE,EUR,6378,7590
mr-004,C2235,,ORIGINAL,DE,EUR,7086,8433
mr-004,,1001454,DEFAULT,DE,EUR,6378,7590
mr-004,,1001454,ORIGINAL,DE,EUR,7086,8433
mr-004,,100223,DEFAULT,DE,EUR,14193,16890
mr-004,,100223,ORIGINAL,DE,EUR,15770,18766
mr-004,M770,,DEFAULT,DE,EUR,20982,24970
mr-004,M770,,ORIGINAL,DE,EUR,23314,27744
mr-004,,100266,DEFAULT,DE,EUR,20982,24970
mr-004,,100266,ORIGINAL,DE,EUR,23314,27744
mr-004,M634,,DEFAULT,DE,EUR,106687,126958
mr-004,M634,,ORIGINAL,DE,EUR,118541,141064
mr-004,,100288,DEFAULT,DE,EUR,106687,126958
mr-004,,100288,ORIGINAL,DE,EUR,118541,141064
mr-004,M10569,,DEFAULT,DE,EUR,22530,26810
mr-004,M10569,,ORIGINAL,DE,EUR,25033,29789
mr-004,,100414,DEFAULT,DE,EUR,22530,26810
mr-004,,100414,ORIGINAL,DE,EUR,25033,29789
mr-004,M39654,,DEFAULT,DE,EUR,5622,6691
mr-004,M39654,,ORIGINAL,DE,EUR,6246,7434
mr-004,,100429,DEFAULT,DE,EUR,5622,6691
mr-004,,100429,ORIGINAL,DE,EUR,6246,7434
mr-004,M11222,,DEFAULT,DE,EUR,9198,10946
mr-004,M11222,,ORIGINAL,DE,EUR,10219,12162
mr-004,,100430,DEFAULT,DE,EUR,9198,10946
mr-004,,100430,ORIGINAL,DE,EUR,10219,12162
mr-004,M2393,,DEFAULT,DE,EUR,8250,9818
mr-004,M2393,,ORIGINAL,DE,EUR,9166,10908
mr-004,,100588,DEFAULT,DE,EUR,8250,9818
mr-004,,100588,ORIGINAL,DE,EUR,9166,10908
mr-004,M45050,,DEFAULT,DE,EUR,19396,23082
mr-004,M45050,,ORIGINAL,DE,EUR,21550,25646
mr-004,,100666,DEFAULT,DE,EUR,19396,23082
mr-004,,100666,ORIGINAL,DE,EUR,21550,25646
mr-004,M302,,DEFAULT,DE,EUR,8357,9945
mr-004,M302,,ORIGINAL,DE,EUR,9285,11050
mr-004,,100682,DEFAULT,DE,EUR,8357,9945
mr-004,,100682,ORIGINAL,DE,EUR,9285,11050
mr-004,M75601,,DEFAULT,DE,EUR,10382,12355
mr-004,M75601,,ORIGINAL,DE,EUR,11536,13728
mr-004,,100683,DEFAULT,DE,EUR,10382,12355
mr-004,,100683,ORIGINAL,DE,EUR,11536,13728
mr-004,M53238,,DEFAULT,DE,EUR,15294,18200
mr-004,M53238,,ORIGINAL,DE,EUR,16993,20222
mr-004,,100907,DEFAULT,DE,EUR,15294,18200
mr-004,,100907,ORIGINAL,DE,EUR,16993,20222
mr-004,M53331,,DEFAULT,DE,EUR,12593,14985
mr-004,M53331,,ORIGINAL,DE,EUR,13992,16650
mr-004,,100949,DEFAULT,DE,EUR,12593,14985
mr-004,,100949,ORIGINAL,DE,EUR,13992,16650
mr-004,M49344,,DEFAULT,DE,EUR,11254,13393
mr-004,M49344,,ORIGINAL,DE,EUR,12505,14881
mr-004,,100999,DEFAULT,DE,EUR,11254,13393
mr-004,,100999,ORIGINAL,DE,EUR,12505,14881
mr-004,M49207,,DEFAULT,DE,EUR,30269,36019
mr-004,M49207,,ORIGINAL,DE,EUR,33632,40021
mr-004,,101007,DEFAULT,DE,EUR,30269,36019
mr-004,,101007,ORIGINAL,DE,EUR,33632,40021
mr-004,M53235,,DEFAULT,DE,EUR,26972,32096
mr-004,M53235,,ORIGINAL,DE,EUR,29969,35662
mr-004,,101102,DEFAULT,DE,EUR,26972,32096
mr-004,,101102,ORIGINAL,DE,EUR,29969,35662
mr-004,M731,,DEFAULT,DE,EUR,24382,29014
mr-004,M731,,ORIGINAL,DE,EUR,27090,32237
mr-004,,101171,DEFAULT,DE,EUR,24382,29014
mr-004,,101171,ORIGINAL,DE,EUR,27090,32237
mr-004,M1028038,,DEFAULT,DE,EUR,13483,16046
mr-004,M1028038,,ORIGINAL,DE,EUR,14981,17828
mr-004,,101172,DEFAULT,DE,EUR,13483,16046
mr-004,,101172,ORIGINAL,DE,EUR,14981,17828
mr-004,M2495,,DEFAULT,DE,EUR,12917,15371
