merchant_relation_key,store,currency,threshold_type_key,threshold,fee,message_glossary_key
sugar-monster-spryker-hq-1,DE,EUR,hard-minimum-threshold,80000,,
sugar-monster-spryker-hq-1,DE,EUR,soft-minimum-threshold,120000,,
sugar-monster-spryker-hq-2,DE,EUR,hard-minimum-threshold,30000,,
sugar-monster-spryker-hq-2,DE,EUR,soft-minimum-threshold-flexible-fee,50000,12%,
sugar-monster-spryker-hq-3,DE,EUR,hard-minimum-threshold,50000,,
sugar-monster-spryker-hq-3,DE,EUR,soft-minimum-threshold-fixed-fee,65000,4500,
sugar-monster-spryker-hq-4,DE,EUR,soft-minimum-threshold-flexible-fee,65000,10%,
sugar-monster-spryker-hq-4,DE,EUR,hard-minimum-threshold,50000,,
sugar-monster-spryker-hq-5,DE,EUR,hard-minimum-threshold,50000,,
sugar-monster-spryker-hq-5,DE,EUR,soft-minimum-threshold-fixed-fee,65000,4500,
sugar-monster-spryker-hq-6,DE,EUR,soft-minimum-threshold-flexible-fee,25000,25%,
sugar-monster-spryker-hq-7,DE,EUR,soft-minimum-threshold-fixed-fee,40000,7700,
