block_key,store_name
blck-1,US
blck-2,US
blck-3,US
blck-4,US
blck-5,US
blck-6,US
blck-7,US
blck-8,US
blck-9,US
blck-10,US
blck-11,US
blck-nav-desktop,US
blck-nav-mobile,US
blck-nav-footer-1,US
blck-nav-footer-2,US
blck-nav-footer-3,US
blck-nav-footer-4,US
cms-block-email--customer-registration--html,US
cms-block-email--customer-registration--text,US
cms-block-email--customer-registration_token--html,US
cms-block-email--customer-registration_token--text,US
cms-block-email--customer-restore-password--html,US
cms-block-email--customer-restore-password--text,US
cms-block-email--customer-restored-password-confirmation--html,US
cms-block-email--customer-restored-password-confirmation--text,US
cms-block-email--restore-password--html,US
cms-block-email--restore-password--text,US
cms-block-email--availability-notification-subscription--html,US
cms-block-email--availability-notification-subscription--text,US
cms-block-email--availability-notification-unsubscribed--html,US
cms-block-email--availability-notification-unsubscribed--text,US
cms-block-email--availability-notification--html,US
cms-block-email--availability-notification--text,US
cms-block-email--newsletter-subscribed--html,US
cms-block-email--newsletter-subscribed--text,US
cms-block-email--newsletter-unsubscribed--html,US
cms-block-email--newsletter-unsubscribed--text,US
cms-block-email--order-confirmation--html,US
cms-block-email--order-confirmation--text,US
cms-block-email--order-shipped--html,US
cms-block-email--order-shipped--text,US
cms-block-email--company-user-invitation--html,US
cms-block-email--company-user-invitation--text,US
cms-block-email--company-status--html,US
cms-block-email--company-status--text,US
cms-block-email--merchant_relation_request_status_change--html,US
cms-block-email--merchant_relation_request_status_change--text,US
cms-block-email--merchant_relationship_delete--html,US
cms-block-email--merchant_relationship_delete--text,US
