abstract_sku,concrete_sku,price_type,store,currency,value_net,value_gross,price_data.volume_prices
M61240,,DEFAULT,US,EUR,15693,,
M61240,,ORIGINAL,US,EUR,17414,,
,100107,DEFAULT,US,EUR,15693,,
,100107,ORIGINAL,US,EUR,17414,,
C2235,,DEFAULT,US,EUR,8172,,
C2235,,ORIGINAL,US,EUR,9057,,
,1001454,DEFAULT,US,EUR,8172,,
,1001454,ORIGINAL,US,EUR,9057,,
,100223,DEFAULT,US,EUR,17941,,
,100223,ORIGINAL,US,EUR,19912,,
M770,,DEFAULT,US,EUR,26428,,
M770,,ORIGINAL,US,EUR,29342,,
,100266,DEFAULT,US,EUR,26428,,
,100266,ORIGINAL,US,EUR,29342,,
M634,,DEFAULT,US,EUR,133559,,
M634,,ORIGINAL,US,EUR,148376,,
,100288,DEFAULT,US,EUR,133559,,
,100288,ORIGINAL,US,EUR,148376,,
M10569,,DEFAULT,US,EUR,28362,,
M10569,,ORIGINAL,US,EUR,31491,,
,100414,DEFAULT,US,EUR,28362,,
,100414,ORIGINAL,US,EUR,31491,,
M39654,,DEFAULT,US,EUR,7228,,
M39654,,ORIGINAL,US,EUR,8008,,
,100429,DEFAULT,US,EUR,7228,,
,100429,ORIGINAL,US,EUR,8008,,
M11222,,DEFAULT,US,EUR,11697,,
M11222,,ORIGINAL,US,EUR,12974,,
,100430,DEFAULT,US,EUR,11697,,
,100430,ORIGINAL,US,EUR,12974,,
M2393,,DEFAULT,US,EUR,10512,,
M2393,,ORIGINAL,US,EUR,11657,,
,100588,DEFAULT,US,EUR,10512,,
,100588,ORIGINAL,US,EUR,11657,,
M45050,,DEFAULT,US,EUR,24445,,
M45050,,ORIGINAL,US,EUR,27138,,
,100666,DEFAULT,US,EUR,24445,,
,100666,ORIGINAL,US,EUR,27138,,
M302,,DEFAULT,US,EUR,10646,,
M302,,ORIGINAL,US,EUR,11806,,
,100682,DEFAULT,US,EUR,10646,,
,100682,ORIGINAL,US,EUR,11806,,
M75601,,DEFAULT,US,EUR,13178,,
M75601,,ORIGINAL,US,EUR,14620,,
,100683,DEFAULT,US,EUR,13178,,
,100683,ORIGINAL,US,EUR,14620,,
M53238,,DEFAULT,US,EUR,19317,,
M53238,,ORIGINAL,US,EUR,21441,,
,100907,DEFAULT,US,EUR,19317,,
,100907,ORIGINAL,US,EUR,21441,,
M53331,,DEFAULT,US,EUR,15941,,
M53331,,ORIGINAL,US,EUR,17690,,
,100949,DEFAULT,US,EUR,15941,,
,100949,ORIGINAL,US,EUR,17690,,
M49344,,DEFAULT,US,EUR,14268,,
M49344,,ORIGINAL,US,EUR,15831,,
,100999,DEFAULT,US,EUR,14268,,
,100999,ORIGINAL,US,EUR,15831,,
M49207,,DEFAULT,US,EUR,38036,,
M49207,,ORIGINAL,US,EUR,42240,,
,101007,DEFAULT,US,EUR,38036,,
,101007,ORIGINAL,US,EUR,42240,,
M53235,,DEFAULT,US,EUR,33915,,
M53235,,ORIGINAL,US,EUR,37661,,
,101102,DEFAULT,US,EUR,33915,,
,101102,ORIGINAL,US,EUR,37661,,
M731,,DEFAULT,US,EUR,30677,,
M731,,ORIGINAL,US,EUR,34063,,
,101171,DEFAULT,US,EUR,30677,,
,101171,ORIGINAL,US,EUR,34063,,
M1028038,,DEFAULT,US,EUR,17054,,
M1028038,,ORIGINAL,US,EUR,18926,,
,101172,DEFAULT,US,EUR,17054,,
,101172,ORIGINAL,US,EUR,18926,,
M2495,,DEFAULT,US,EUR,16346,,
M2495,,ORIGINAL,US,EUR,18140,,
,101226,DEFAULT,US,EUR,16346,,
,101226,ORIGINAL,US,EUR,18140,,
M11480,,DEFAULT,US,EUR,19343,,
M11480,,ORIGINAL,US,EUR,21470,,
,101441,DEFAULT,US,EUR,19343,,
,101441,ORIGINAL,US,EUR,21470,,
M1014948,,DEFAULT,US,EUR,18682,,
M1014948,,ORIGINAL,US,EUR,20735,,
