abstract_sku,concrete_sku,price_type,store,currency,value_net,value_gross,from_included,to_included
M1000785,,DEFAULT,US,USD,5506,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000785,,DEFAULT,US,USD,4347,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000785,,DEFAULT,US,USD,2174,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000786,,DEFAULT,US,USD,5506,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000786,,DEFAULT,US,USD,4347,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000786,,DEFAULT,US,USD,2174,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000838,,DEFAULT,US,USD,27138,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000838,,DEFAULT,US,USD,21425,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000838,,DEFAULT,US,USD,10713,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000839,,DEFAULT,US,USD,27138,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000839,,DEFAULT,US,USD,21425,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000839,,DEFAULT,US,USD,10713,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000840,,DEFAULT,US,USD,27138,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000840,,DEFAULT,US,USD,21425,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1000840,,DEFAULT,US,USD,10713,,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1002203,,DEFAULT,US,USD,7865,,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
M1002203,,DEFAULT,US,USD,6209,,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00
