business_unit_key,address_key
Ottom_HQ,Address-1
Sales_Department,Address-2
Supplier_Department,Address-3
Ottom_store_Berlin,Address-4
Ottom_store_Oslo,Address-5
Ottom_store_London,Address-6
spryker_systems_HQ,Address-7
spryker_systems_Barcelona,Address-8
spryker_systems_Zurich,Address-9
spryker_systems_Zurich_Sales,Address-10
spryker_systems_Zurich_Support,Address-11
spryker_systems_Berlin,Address-12
spryker_systems_HR,Address-13
spryker_systems_HQ,Address-14
spryker_systems_HQ,Address-15
business-unit-mitte-1,Address-16
business-unit-jim-1,Address-17
