company_user_key,business_unit_key
Test--1,test-business-unit-1
BoB--1,business-unit-regular-1
Ottom--1,Ottom_HQ
Ottom--2,Sales_Department
Ottom--3,Supplier_Department
Ottom--4,Ottom_store_Berlin
Ottom--5,Ottom_store_Oslo
Ottom--6,Ottom_store_London
Ottom--7,Ottom_HQ
Ottom--8,Ottom_HQ
Spryker--1,spryker_systems_HQ
Spryker--2,spryker_systems_Barcelona
Spryker--3,spryker_systems_Zurich
Spryker--4,spryker_systems_Zurich_Sales
Spryker--5,spryker_systems_Zurich_Support
Spryker--6,spryker_systems_Berlin
Spryker--7,spryker_systems_HR
Spryker--8,spryker_systems_HR
Spryker--9,spryker_systems_HQ
Spryker--10,spryker_systems_HQ
Spryker--11,spryker_systems_HQ
