key,translation,locale
cart.remove.items.success,Produkte wurden erfolgreich aus dem Warenkorb entfernt,de_DE
cart.remove.items.success,Products were removed successfully,en_US
cart.add.items.success,Produkte erfolgreich im Warenkorb,de_DE
cart.add.items.success,Items added successfully,en_US
cart.add.items.error.text,Something went wrong. Sorry.,en_US
cart.add.items.error.text,Leider ging etwas schief. Tut uns leid.,de_DE
cart.your-order,Deine Bestellung,de_DE
cart.your-order,Your Order,en_US
cart.price,Preis,de_DE
cart.price,Price,en_US
cart.shipping.order-item,+ Versand,de_DE
cart.shipping.order-item,+ Shipping,en_US
cart.shipping,Versand,de_DE
cart.shipping,Shipping,en_US
cart.total,Gesamt,de_DE
cart.total,Total,en_US
cart.checkout,Zur Kasse,de_DE
cart.checkout,Checkout,en_US
cart.empty,Der Warenkorb ist zur Zeit leer!,de_DE
cart.empty,Your shopping cart is empty!,en_US
cart.cart,Warenkorb,de_DE
cart.cart,Cart,en_US
cart.total.discount,Rabatt,de_DE
cart.total.discount,Discount,en_US
cart.vouchers,Gutscheine,de_DE
cart.vouchers,Vouchers,en_US
cart.discounts,Rabatte,de_DE
cart.discounts,Discounts,en_US
cart.item_quantity,Anzahl,de_DE
cart.item_quantity,Quantity,en_US
cart.item_attributes_needed,Please select more attributes,en_US
cart.item_attributes_needed,Bitte wählen Sie mindestens ein anderes Attribut,de_DE
cart.voucher.redeem,Einlösen,de_DE
cart.voucher.redeem,Redeem code,en_US
cart.price.subtotal,Zwischensumme,de_DE
cart.price.subtotal,Subtotal,en_US
cart.price.grand.total,Summe,de_DE
cart.price.grand.total,Grand Total,en_US
cart.total.tax_total,Mehrwertsteuer,de_DE
cart.total.tax_total,Tax,en_US
cart.delete.item,Delete,en_US
cart.delete.item,Löschen,de_DE
cart.sales-order-threshold,Mindestbestellwert,de_DE
cart.sales-order-threshold,Minimum Order Value,en_US
cart.title.available_discounts,Verfügbare Rabatte,de_DE
cart.title.available_discounts,Available discounts,en_US
checkout.sales-order-threshold,Mindestbestellwert,de_DE
checkout.sales-order-threshold,Minimum Order Value,en_US
sales-order-threshold.expense.name,Zuschlag,de_DE
sales-order-threshold.expense.name,Surcharge,en_US
sales-order-threshold.strategy.soft-minimum-threshold-fixed-fee,Zuschlag,de_DE
sales-order-threshold.strategy.soft-minimum-threshold-fixed-fee,Surcharge,en_US
sales-order-threshold.strategy.soft-minimum-threshold-flexible-fee,Zuschlag,de_DE
sales-order-threshold.strategy.soft-minimum-threshold-flexible-fee,Surcharge,en_US
auth.login,Anmelden,de_DE
auth.login,Sign up,en_US
auth.password,Passwort,de_DE
auth.password,Password,en_US
auth.password-forgot,Vergessen?,de_DE
auth.password-forgot,Forgotten?,en_US
auth.email,E-mail-Adresse,de_DE
auth.email,E-mail,en_US
auth.register,Registrieren,de_DE
auth.register,Register,en_US
auth.im-new-customer,Ich bin Neukunde,de_DE
auth.im-new-customer,New Customer,en_US
auth.im-already-customer,Ich habe bereits ein Konto,de_DE
auth.im-already-customer,I already have an account,en_US
navigation.menu.categories,Kategorien,de_DE
navigation.menu.categories,Categories,en_US
navigation.menu.have-a-look,Ein Blick lohnt sich,de_DE
navigation.menu.have-a-look,It is worth a look,en_US
page.checkout.errors,Bitte überprüfen Sie Ihre Eingabe.,de_DE
page.checkout.errors,Please check your entry.,en_US
page.checkout.client.existing,Ich bin bereits Kunde,de_DE
page.checkout.client.existing,Existing Customer,en_US
page.checkout.client.new,Ich bin Neukunde,de_DE
page.checkout.client.new,New Customer,en_US
customer.password,Passwort,de_DE
customer.password,Password,en_US
password.confirm,Passwort bestätigen,de_DE
password.confirm,Confirm passwort,en_US
page.checkout.address.heading,1. Adressangaben,de_DE
page.checkout.address.heading,1. Address Data,en_US
page.checkout.address.name,Name,de_DE
