product_offer_reference,stock_name,quantity,is_never_out_of_stock
offer425,Spryker Warehouse 1,10,1
offer426,Spryker Warehouse 1,10,1
offer427,Spryker Warehouse 1,10,1
offer428,Spryker Warehouse 1,10,1
offer429,Spryker Warehouse 1,10,1
offer430,Spryker Warehouse 1,10,1
offer431,Spryker Warehouse 1,10,1
offer432,Spryker Warehouse 1,10,1
offer433,Spryker Warehouse 1,10,1
offer434,Spryker Warehouse 1,10,1
offer435,Spryker Warehouse 1,10,1
offer436,Spryker Warehouse 1,10,1
offer437,Spryker Warehouse 1,10,1
offer438,Spryker Warehouse 1,10,1
offer439,Spryker Warehouse 1,10,1
offer440,Spryker Warehouse 1,10,1
