product_offer_reference,valid_from,valid_to
offer419,2020-07-01 00:00:00.000000,2027-12-01 00:00:00.000000
offer420,2020-07-01 00:00:00.000000,2027-12-01 00:00:00.000000
offer421,2020-07-01 00:00:00.000000,2027-12-01 00:00:00.000000
offer422,2020-07-01 00:00:00.000000,2027-12-01 00:00:00.000000
offer423,2020-07-01 00:00:00.000000,2027-12-01 00:00:00.000000
offer424,2020-07-01 00:00:00.000000,2027-12-01 00:00:00.000000
offer425,2020-07-01 00:00:00.000000,2027-12-01 00:00:00.000000
offer426,2020-07-01 00:00:00.000000,2027-12-01 00:00:00.000000
offer427,2020-07-01 00:00:00.000000,2027-12-01 00:00:00.000000
offer428,2020-07-01 00:00:00.000000,2027-12-01 00:00:00.000000
offer429,2020-07-01 00:00:00.000000,2027-12-01 00:00:00.000000
offer430,2020-07-01 00:00:00.000000,2027-12-01 00:00:00.000000
offer431,2020-07-01 00:00:00.000000,2027-12-01 00:00:00.000000
offer432,2020-07-01 00:00:00.000000,2027-12-01 00:00:00.000000
offer433,2020-07-01 00:00:00.000000,2027-12-01 00:00:00.000000
offer434,2020-07-01 00:00:00.000000,2027-12-01 00:00:00.000000
offer435,2020-07-01 00:00:00.000000,2027-12-01 00:00:00.000000
offer436,2020-07-01 00:00:00.000000,2027-12-01 00:00:00.000000
offer437,2020-07-01 00:00:00.000000,2027-12-01 00:00:00.000000
offer438,2020-07-01 00:00:00.000000,2027-12-01 00:00:00.000000
offer439,2020-07-01 00:00:00.000000,2027-12-01 00:00:00.000000
offer440,2020-07-01 00:00:00.000000,2027-12-01 00:00:00.000000
