abstract_sku,product_abstract_type_key
B0001,product
B0002,product
C2235,product
cable-hdmi-1,product
cable-vga-1,product
fish-1,product
M1000785,product
M1000786,product
M1000838,product
M1000839,product
M1000840,product
M1002203,product
M1006484,product
M1006811,product
M1006871,product
M1013168,product
M1013287,product
M1013541,product
M1014496,product
M1014502,product
M1014629,product
M1014642,product
M1014643,product
M1014644,product
M1014645,product
M1014646,product
M1014653,product
M1014656,product
M1014866,product
M1014870,product
M1014871,product
M1014874,product
M1014948,product
M1015355,product
M1015356,product
M1016129,product
M1017902,product
M1017905,product
M1017945,product
M1018211,product
M1018212,product
M1022632,product
M1022640,product
M1022643,product
M1024601,product
M1024684,product
M1024689,product
M1028038,product
M1028049,product
M1028061,product
M1028062,product
M1028095,product
M1028375,product
M1028376,product
M1028483,product
M1028702,product
M1030133,product
M1031236,product
M1031238,product
M10569,product
M10577,product
M1079219,product
M1079221,product
M1079222,product
M1079243,product
M1080190,product
M10871,product
M10872,product
M111,product
M11222,product
M11306,product
M11473,product
M11480,product
M11542,product
M12655,product
M12656,product
M14054,product
M15127,product
M15226,product
M1896,product
M21062,product
M21066,product
M21067,product
M21073,product
M21090,product
M21091,product
M21092,product
M21093,product
M21094,product
M21097,product
M21099,product
M21100,product
M21101,product
M21103,product
M21104,product
M21105,product
M21189,product
M21190,product
M21191,product
M21193,product
M21194,product
M21195,product
M21196,product
M21197,product
M21200,product
M21201,product
M21202,product
M21203,product
M21205,product
M21296,product
M21299,product
M213,product
M21635,product
M21636,product
M21637,product
M21638,product
M21646,product
M21648,product
M21650,product
M21679,product
M21680,product
M21681,product
M21684,product
M21690,product
M21691,product
M21692,product
M21693,product
M21694,product
M21703,product
M21704,product
M21705,product
M21708,product
M21711,product
M21713,product
M21714,product
M21715,product
M21716,product
M21717,product
M21740,product
M21741,product
M21742,product
M21743,product
M21744,product
M21745,product
M21759,product
M21766,product
M21771,product
M21772,product
M21773,product
M21774,product
M21777,product
M21778,product
M21779,product
M21903,product
M22230,product
M22232,product
M22269,product
M22293,product
M22397,product
M22398,product
M22410,product
M22411,product
M22412,product
M22432,product
M22484,product
M226,product
M22613,product
M22660,product
M22661,product
M22662,product
M22663,product
M22664,product
M22682,product
M22796,product
M22797,product
M229,product
M23067,product
M23340,product
M23343,product
M23345,product
M23432,product
M23436,product
M23438,product
M23440,product
M23441,product
M23444,product
M23450,product
M23451,product
M23454,product
M23455,product
M23456,product
M23457,product
M23459,product
M23460,product
M23461,product
M23462,product
M23463,product
M23467,product
M23468,product
M23469,product
M23470,product
M23471,product
M23472,product
M23473,product
M23475,product
M23476,product
M23477,product
M23478,product
M23479,product
M23482,product
M23484,product
M23486,product
M23487,product
M23488,product
M23510,product
M23512,product
M23513,product
M2365,product
M2366,product
M23720,product
M23721,product
M23722,product
M23723,product
M23724,product
M23725,product
M23726,product
M23727,product
M23729,product
M23730,product
M23731,product
M23732,product
M23751,product
M23764,product
M23766,product
M23770,product
M23771,product
M23777,product
M2393,product
M24143,product
M24416,product
M24417,product
M24418,product
M24563,product
M24605,product
M24606,product
M24609,product
M24610,product
M24612,product
M24613,product
M24632,product
M24637,product
M2495,product
M25598,product
M25599,product
M25600,product
M26415,product
M26416,product
M26417,product
M26418,product
M26419,product
M26420,product
M26831,product
M29455,product
M29456,product
M29468,product
M29499,product
M29501,product
M29502,product
M29503,product
M29504,product
M29507,product
M29523,product
M29524,product
M29525,product
M29526,product
M29529,product
M29530,product
M29929,product
M29930,product
M29931,product
M302,product
M39654,product
M39658,product
M40490,product
M40491,product
M432,product
M43347,product
M45050,product
M49207,product
M49320,product
M49344,product
M5022,product
M5043,product
M5044,product
M5108,product
M5113,product
M5147,product
M5148,product
M5154,product
M5155,product
M526,product
M527,product
M528,product
M529,product
M53235,product
M53238,product
M53287,product
M53288,product
M53331,product
M54107,product
M54110,product
M54111,product
M54113,product
M55895,product
M55936,product
M55937,product
M58035,product
M58095,product
M58100,product
M58102,product
M58103,product
M58104,product
M58105,product
M58227,product
M58228,product
M58230,product
M58312,product
M58313,product
M58314,product
M58315,product
M58335,product
M58336,product
M61124,product
M61125,product
M61240,product
M62301,product
M62305,product
M62306,product
M62584,product
M634,product
M635,product
M636,product
M64933,product
M64934,product
M64947,product
M65062,product
M66923,product
M68726,product
M68727,product
M68854,product
M69408,product
M70208,product
M719,product
M72843,product
M72844,product
M72878,product
M72933,product
M72935,product
M72937,product
M72938,product
M72939,product
M72940,product
M72942,product
M72943,product
M72944,product
M72945,product
M731,product
M74815,product
M74907,product
M74966,product
M74972,product
M74974,product
M75071,product
M75601,product
M75685,product
M75686,product
M75700,product
M75727,product
M75730,product
M766,product
M767,product
M768,product
M769,product
M770,product
M771,product
M78380,product
M787,product
M788,product
M789,product
M79890,product
M79892,product
M79932,product
M80392,product
M83,product
M84,product
M85,product
M852,product
M856,product
M857,product
M858,product
M859,product
M86,product
M86938,product
M86939,product
M87,product
M87416,product
M87464,product
M87599,product
M88181,product
M88182,product
M88184,product
M90737,product
M90799,product
M90800,product
M90802,product
M90804,product
M90805,product
M90806,product
M90810,product
M90850,product
M90851,product
potato-1,product
service-001,service
service-002,service
service-003,service
service-004,service
