abstract_sku,concrete_sku,name.de_DE,name.en_US,description.de_DE,description.en_US,is_searchable.de_DE,is_searchable.en_US,bundled,is_quantity_splittable,attribute_key_1,value_1,attribute_key_1.de_DE,value_1.de_DE,attribute_key_1.en_US,value_1.en_US,attribute_key_2,value_2,attribute_key_2.de_DE,value_2.de_DE,attribute_key_2.en_US,value_2.en_US
M23457,424453,"Schneider Kugelschreiber HAPTIFY 135323 M 0,5mm dunkelblau/hellblau","Schneider ballpoint pen HAPTIFY 135323 M 0.5 mm, dark blue/light blue","Für eine ideale Haltung der Hand. Sein modernes Design hebt sich vom Durchschnitt ab. Mit revolutionärer ViscoGlide®-Technology.<p>* Strichstärke: 0,5 mm * Typbezeichnung der Strichstärke: M * Schreibfarbe: blau * Typbezeichnung der Mine: Slider 757 * Mine auswechselbar * Druckmechanik * dokumentenecht * Ausführung der Griffzone: ergonomisch, dreikant, gummiert * Material der Spitze: Edelstahl","For ideal placement in the hand. Its modern design raises it above the average. With revolutionary ViscoGlide® technology.<p>* Line width: 0.5 mm * type designation of the line width: M * writing color: blue * type designation of the refill: Slider 757 * refill exchangeable * printing mechanism * waterproof * design of the grip zone: ergonomic, three-edged, rubberized * tip material: stainless steel",1,1,,,,,,,,,,,,,,
C2235,1001454,"Schomburg Stehpult - HxBxT 1094 x 600 x 500 mm, Buche ","Schomburg standing desk - HxWxD 1094 x 600 x 500 mm, beech ","<p>Das Stehpult von Schomburg ist im ganzen Büro einsetzbar. Dank der vier Doppelrollen, wovon zwei Stück <b>feststellbar</b> sind, kann das Pult problemlos im gesamten Büro bewegt werden. Die Schreibplatte ist in <b>vier Stufen höhenverstellbar</b> und kann somit an den Benutzer angepasst werden. Die Seitenteile, die Einlegeböden und die Rückwand sind aus 16 mm dickem Material. Die obere Platte sowie der Unterboden sind <b>22 mm stark</b>, um Stabilität zu gewährleisten und die Schnittkanten sind mit einer <b>ABS Dickkante</b> versehen worden. Der Schubkasten läuft auf Kugelauszügen aus Metall und wurde mit einem schicken Metallgriff in <b>Edelstahl-Optik</b> ausgestattet. Alle Oberflächen wurden mit <b>Melaminharz beschichtet</b>, um eine einheitlichem, widerstandsfähige Gestalt zu schaffen. </p><p>Das Stehpult wird zerlegt geliefert und kann einfach montiert werden.</p><ul><li>Feststellbare Rollen</li><li>Stehpult mit höhenverstellbarer Schreibplatte</li><li>ABS Dickkante</li><li> Metallgriff in Edelstahl-Optik</li><li>Melaminharzbeschichtung</li></ul>","<p>The standing desk from Schomburg can be used all over in the office. Thanks to its four double rollers, of which two pieces are <b>adjustable</b>, the desk can be easily moved throughout the entire office. The writing panel is <b>adjustable in four levels</b> and can thus be adjusted to the user. The side parts, the shelves, and the rear wall are made of 16-mm-thick material. The upper panel as well as the underbody are <b>22 mm thick</b>, so as to ensure stability, and the cut edges are provided with a <b>thick ABS rim</b>. The drawer runs on metal ball pull-outs and has been equipped with a spiffy metal grip in a <b>stainless steel look</b>. All surfaces have been <b>coated with melamine resin</b>, so as to create a unified, resistant design. </p><p>The standing desk is delivered disassembled and can be assembled easily.</p><ul><li>Adjustable rollers</li><li>Standing desk with height-adjustable writing surface</li><li>Thick ABS edge</li><li> Metal grip in stainless steel look</li><li>Melamine coating</li></ul>",1,1,,,,,,,,,,,,,,
M11542,104517,"Holz-Schalenstuhl - 4-Fuß-Gestell, Sitz gepolstert - Bezug anthrazit, Gestell beschichtet","Wood stackable chair - 4-foot substructure, upholstered seat - Cover anthracite, substructure coated","Der Dauphin Bandscheibendrehstuhl ist mit einem speziellen Bandscheibensitz sowie einer Permanentkontaktmechanik ausgestattet. Beides garantiert sowohl bequemes Sitzen als auch rückenschonendes Arbeiten. Zudem hat er eine leicht ansteigende Sitzfläche, wodurch die Beckenrotation begrenzt wird und so Bandscheibenproblemen vorgebeugt werden kann.<br/><br/>Pflegeleichter Stoffbezug. Gestell in Graphitschwarz RAL 9011. Standardmäßig Rollen für weiche Böden. Armlehnen können als Zubehör dazu gekauft werden.<br/><br/><B>Ihr Vorteil</B><br/>Preisknüller mit hohem Sitzkomfort. In 4 Farben verfügbar. Pflegeleichter Stoffbezug. Gestell in Graphitschwarz RAL 9011.<br/>Standardmäßig Rollen für weiche Böden.  ","The Dauphin spinal swivel chair is equipped with a special spine-friendly seat as well as a permanent contact mechanism. Both guarantee comfortable sitting as well as ergonomic work. In addition, it has a slightly increasing seat, whereby pelvic rotation is limited and thus problems with the spine can be avoided.<br/><br/>Easy-to-care-for fabric cover. Frame in graphite black RAL 9011. Standard rollers for soft floors Armrests can also be purchased as an accessory.<br/><br/><B>Your advantage</B><br/>Bargain price with high seating comfort. Available in 4 colors. Easy-to-care-for fabric cover. Design in graphite black RAL 9011.<br/>Standard rolling for soft floors.  ",1,1,,,gestellfarbe,schwarzgrau RAL 7021,gestellfarbe,schwarzgrau RAL 7021,gestellfarbe,"black-gray, RAL 7021",,,,,,
M74974,101865,"HSM Aktenvernichter SECURIO - für Mehrpersonen-Büro, 82 l - Streifen, 19 – 21 Blatt","HSM SECURIO document shredder - for multi-person office, 82 l - stripes, 19 – 21 sheets"," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste für Start, Stopp, Kurzzeit und Permanent-Modus<br/>– Bei Papierstau startet der automatische Rücklauf<br/>– Herausnehmbarer Auffangbehälter mit Sichtfenster zur Füllstandsanzeige "," HSM SECURIO in traffic white, RAL 9016. - multi-function button for start, stop, short-term and permanent mode<br/>– In case of paper jams the automatic return starts<br/>– Removable collecting vessel with viewing window for fill level display ",1,1,,,zerkleinerungsart,Streifen,zerkleinerungsart,Streifen,zerkleinerungsart,Stripes,,,,,,
M1000786,212440,"HSM Aktenvernichter SECURIO - für Schreibtisch, 25 l, 300 Watt - Streifen, 12 – 14 Blatt","HSM SECURIO document shredder - for desktop, 25 l, 300 watts - stripes, 12 – 14 sheets"," HSM Securio in Verkehrsweiß RAL 9016. – Automatische Start-/Stopp-Funktion<br/>– Multifunktionsbedientaste<br/>– Auto-Reversierung bei Papierstau<br/>– Auffangbehälter mit Sichtfenster zur Füllstandsanzeige<br/>Mit ZES (Zero Energy Stand-by), Null-Stromverbrauch im Stand-by-Betrieb.<br/>Abnehmbares Oberteil zum Entleeren. "," HSM SECURIO in traffic white, RAL 9016. – Automatic start-stop function<br/>–Multi-function operating button<br/>–Auto-reversal in case of paper jam<br/>–collecting vessel with viewing window for fill level display<br/>With ZES (Zero Energy Stand-by), zero power consumption in stand-by operation.<br/>Removable upper part for emptying. ",1,1,,,zerkleinerungsart,Streifen,zerkleinerungsart,Streifen,zerkleinerungsart,Stripes,,,,,,
M1000838,212442,"HSM Aktenvernichter SECURIO - für Großraumbüro, 145 l, 1800 Watt - Streifen, 31 – 33 Blatt","HSM SECURIO document shredder - for large offices, 145 l, 1800 watts - stripes, 31 – 33 sheets"," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste, Reversiertaste und eingebaute Tastensperre<br/>– Auto-Reversierung bei Papierstau<br/>– Füllstandsanzeige durch Sichtfenster<br/>– Automatischer Öler für die Schneidwerke bei Partikelschnittgeräten<br/>– Auf Rollen fahrbar<br/><B>Mit EMCS (Energy Management Control System)</B><br/>Bis zu 90% Energie sparen gegenüber herkömmlicher Stand-by-Schaltung.<br/><B>Abschalten in zwei Stufen:</B><br/>– 2 Minuten nach Gebrauch schaltet das Gerät automatisch in den energiesparenden Schlafmodus<br/>– 1 Stunde nach Gebrauch schaltet das Gerät automatisch komplett aus<br/>Über Nacht und an Wochenenden wird somit kein Strom verbraucht. "," HSM SECURIO in traffic white, RAL 9016. – Multi-function button, reverse button and installed key lock<br/>– Automatic reversing in case of paper jam<br/>– Fill level display through viewing window<br/>– Automatic oiler for the cutting system by particle cutting devices<br/>– Mobile on rollers<br/><B>With EMCS (Energy Management Control System)</B><br/>Up to 90% energy savings in comparison to usual stand-by switching.<br/><B>Switches off in two stages:</B><br/>– 2 minutes after use, the device automatically switches into energy-saving sleep mode<br/>– 1 hour after use, the device switches off completely<br/>Thus, at night and on weekends no power is used. ",1,1,,,zerkleinerungsart,Streifen,zerkleinerungsart,Streifen,zerkleinerungsart,Stripes,,,,,,
M302,100682,"HSM Aktenvernichter CLASSIC - HxBxT 410 x 305 x 200 mm - grau, 5 – 7 Blatt, 225 mm Arbeitsbreite","HSM document shredder - HxWxD 410 x 305 x 200 mm - gray, 5 – 7 sheets, 225 mm work width"," HSM Classic in Lichtgrau RAL 7035. – Start-/Stopp-Automatik und integrierte Rücklauffunktion<br/>– Null-Stromverbrauch im Stand-by-Betrieb "," HSM Classic in light gray, RAL 7035. – Automatic start/stop and integrated return function<br/>– Zero power consumption in stand-by operation ",1,1,,,zerkleinerungsart,Streifen,zerkleinerungsart,Streifen,zerkleinerungsart,Stripes,,,,,,
M26831,104074,"HSM Aktenvernichter CLASSIC - 125.2, Auffangvolumen 76 l, 17 - 19 Blatt","HSM Document shredder CLASSIC, 125.2, collecting volume 76 l, 17 - 19 sheets"," Aktenvernichter CLASSIC, 125.2, Auffangvolumen 76 l, Streifen, 17 - 19 Blatt. Zentralgerät für Mehrpersonen-Büros. Qualität Made in Germany. Hohe Schnittleistung. Spezialgehärtete Vollstahl-Schneidwellen, unempfindlich gegen Heft- und Büroklammern. Geringer Stromverbrauch. Anschlussspannung 230 V / 50 Hz. HSM CLASSIC in Lichtgrau RAL 7035. - Kraftvoller Antrieb für längere Einsatzzeiten - Bequem auf Rollen fahrbar - Automatische Start/Stopp-Steuerung über Fotozelle - Automatische Abschaltung bei vollem Behälter und geöffneter Tür - Je nach Sicherheitsstufe Zuführschlitz für die Vernichtung von CDs  "," Document shredder CLASSIC, 125.2, collecting volume 76 l, stripes, 17 - 19 sheets. Central device for multi-person offices. Quality Made in Germany. High cutting performance. Specially-hardened solid steel cutting shafts, resistant to staples and paperclips. Low power consumption. Connection voltage 230 V / 50 Hz. HSM CLASSIC in light gray, RAL 7035. - Powerful drive for longer usage times - Comfortably driven on rollers - Automatic start/stop control via photocells - Automatic switch-off with full container and open door - According to the safety level, feed slot for the destruction of CDs  ",1,1,,,,,,,,,,,,,,
M1014646,464004,Paletthubwagen - V2A-Edelstahl - Tragfähigkeit 2000 kg,Pallet lift truck - V2A stainless steel - Load capacity 2000 kg," Verwindungssteife Stahlkonstruktion. Rad-Ø der Lenkräder 200 mm. Hochwertig pulverbeschichtet, signalblau RAL 5005.<br/><B>Besonders flache Gabel für Güter mit geringer Unterfahrhöhe von nur 55 mm.</B> "," Torsion-resistant steel construction. Wheel Ø of the steering wheels 200 mm. High-quality powder-coated, signal blue RAL 5005.<br/><B>Particularly flat fork for goods with low ground clearance of only 55 mm.</B> ",1,1,,,,,,,,,,,,,,
M1014629,463994,"EUROKRAFT Paletthubwagen mit QuickLift, blau - Räder Polyurethan - Gabellänge 900 mm","EUROKRAFT pallet lift truck with QuickLift, blue - wheels polyurethane - fork length 900 mm"," Verwindungssteife Stahlkonstruktion. Rad-Ø der Lenkräder 200 mm. Hochwertig pulverbeschichtet, signalblau RAL 5005.<br/><B>Besonders flache Gabel für Güter mit geringer Unterfahrhöhe von nur 55 mm.</B> "," Torsion-resistant steel construction. Wheel Ø of the steering wheels 200 mm. High-quality powder-coated, signal blue RAL 5005.<br/><B>Particularly flat fork for goods with low ground clearance of only 55 mm.</B> ",1,1,,,gabellange_mm,900,gabellange_mm,900,gabellange_mm,900,,,,,,
