product_offer_reference,shipment_type_key
offer419,on-site-service
offer420,on-site-service
offer421,on-site-service
offer422,on-site-service
offer423,delivery
offer424,delivery
offer425,in-center-service
offer426,in-center-service
offer427,in-center-service
offer428,in-center-service
offer429,in-center-service
offer430,in-center-service
offer431,in-center-service
offer432,in-center-service
offer433,in-center-service
offer434,in-center-service
offer435,in-center-service
offer436,in-center-service
offer437,in-center-service
offer437,on-site-service
offer438,in-center-service
offer439,in-center-service
offer440,in-center-service
