product_relation_key,product,relation_type,rule,is_active,is_rebuild_scheduled
pr-1,M29524,up-selling,"{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M29525,M29507,M29503,M29502,M29499""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}",1,1
pr-2,M29525,up-selling,"{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M29524,M29507,M29503,M29502,M29499""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}",1,1
pr-3,M29503,up-selling,"{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M29524,M29507,M29525,M29502,M29499""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}",1,1
pr-4,M29502,up-selling,"{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M29524,M29507,M29503,M29525,M29499""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}",1,1
pr-5,M29499,up-selling,"{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M29524,M29507,M29503,M29502,M29525""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}",1,1
pr-6,M29507,up-selling,"{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M29524,M29525,M29503,M29502,M29499""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}",1,1
pr-7,M29530,related-products,"{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M29529,M29523,M29504,M29501""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}",1,1
pr-8,M29529,related-products,"{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M29530,M29523,M29504,M29501""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}",1,1
pr-9,M29523,related-products,"{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M29530,M29529,M29504,M29501""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}",1,1
pr-10,M29504,related-products,"{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M29530,M29523,M29529,M29501""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}",1,1
pr-11,M29501,related-products,"{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M29530,M29523,M29504,M29529""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}",1,1
