customer_reference,abstract_product_sku,locale_name,nickname,summary,description,rating,status
DE--1,M29524,en_US,Spencor,"To heavy, uncomfortable","YOu really feel there is tech on your wrist with this watch, it felt like a weight on my wrist and strap was very uncomfortable. Battery dies really fast.",1,approved
DE--2,M29524,en_US,Maria,Easy to set up and use!,Received this as a Birthday present. I love my GearS2!!,5,approved
DE--3,M29524,en_US,Maggie,Great product.,"I absolutely love it but why doesnt it have a built in speaker? Had it for 2 months now,  worn it every day and it's been very durable and responsive.",4,approved
DE--4,M29524,en_US,Bill,My boss loved it,Snazzy design and exactly what my kid wanted.,4,approved
DE--1,M29525,en_US,Spencor,Five Stars,Daughter is very happy with her new phone!,5,approved
DE--2,M29525,en_US,Maria,Good for the price,"I bought the phone a year ago, I could complain but what would be the point in that.",3,approved
DE--3,M29525,en_US,Maggie,Great but not amazing,I guess this is waht you get when you compromise. I wanted something I could use with one hand and mount on my belt. But the performance is crappyer than my old phone and so it the call clarity and speed. I was going to go for the Samsung A3 2017	but the specs are not much better and it is way bigger.,4,approved
DE--4,M29525,en_US,Bill,Works ok,"We used to have an S3 mini. We were expecting a phone about the same size or maybe a little bigger than thre S3 mini, however,to our surprise it is almost as big as an S4. Whats the deal with that?",4,approved
DE--1,M29525,en_US,Spencor,Like it,Accidently dropped it in the toilet and it worked fine afterwards.,4,approved
DE--1,M29526,en_US,Spencor,Five Stars,Daughter is very happy with her new phone!,5,approved
DE--2,M29526,en_US,Maria,Good for the price,"I bought the phone a year ago, I could complain but what would be the point in that.",3,approved
DE--3,M29526,en_US,Maggie,Great but not amazing,I guess this is waht you get when you compromise. I wanted something I could use with one hand and mount on my belt. But the performance is crappyer than my old phone and so it the call clarity and speed. I was going to go for the Samsung A3 2017	but the specs are not much better and it is way bigger.,4,approved
DE--4,M29526,en_US,Bill,Works ok,"We used to have an S3 mini. We were expecting a phone about the same size or maybe a little bigger than thre S3 mini, however,to our surprise it is almost as big as an S4. Whats the deal with that?",4,approved
DE--1,M29526,en_US,Spencor,Like it,Accidently dropped it in the toilet and it worked fine afterwards.,4,approved
DE--1,M29530,en_US,Spencor,Good quality,iOS may be fancy but there is nothing like the sweet price of Android phones. I mean my XPeria Z3 Compact was almost half the price of iPhone 6 with 64GB. The design and the way it fits easily in my hand make it super easy to use.,4,approved
DE--2,M29530,en_US,Maria,My girlfriend thinks I am cheap,"It looks so nice and it was supposed to have a great camera so I bought one a year ago for my girlfriend. Since then, both the front and rear glass broke even though I had a glass cover.",4,approved
DE--3,M29530,en_US,Maggie,Great so far.,"Great phone. No real negatives although, sometimes textng works and sometimes doesn't. Just living with it as it as I hate texting anyway. I love that is it smaller and compact.",4,approved
DE--1,M29529,de_DE,Spencor,"If you want cheap and dont care about looks, this is for you!",So the battery doesn't last very long and you will have to charge it more than once a day (but I do use it fall day long). I am a diabetic and I use cgms so it is a convenient way to send my blood sugar level readings.,4,approved
DE--2,M29529,de_DE,Maria,Meh!,What is the point if I have to charge it twice a day.,3,approved
DE--3,M29529,de_DE,Maggie,I like it very much,Very practical.,5,approved
DE--4,M29529,de_DE,Bill,Excellent Product!,I love my watch! I wish there were more apps for it.,5,approved
