concrete_sku,shipment_type_key
001_25904006,delivery
002_25904004,delivery
003_26138343,delivery
004_30663302,delivery
005_30663301,delivery
006_30692993,delivery
007_30691822,delivery
008_30692992,delivery
009_30692991,delivery
010_30692994,delivery
011_30775359,delivery
012_25904598,delivery
013_25904584,delivery
014_25919241,delivery
015_25904009,delivery
016_21748907,delivery
017_21748906,delivery
018_21081477,delivery
019_21081473,delivery
020_21081478,delivery
021_21081475,delivery
022_21994751,delivery
023_21758366,delivery
024_21987578,delivery
025_21764665,delivery
026_21748904,delivery
027_26976107,delivery
028_26976108,delivery
029_26976109,delivery
030_30021698,delivery
031_30021637,delivery
032_32125551,delivery
033_32125568,delivery
034_32125390,delivery
035_17360369,delivery
036_17360368,delivery
037_25904011,delivery
038_25905593,delivery
039_25904010,delivery
040_25904665,delivery
041_25904691,delivery
042_31040075,delivery
043_31040074,delivery
044_31040076,delivery
045_26408558,delivery
046_26408563,delivery
047_26408568,delivery
048_26403666,delivery
049_30395396,delivery
050_31080444,delivery
051_29567823,delivery
051_30107816,delivery
051_30614390,delivery
052_29567823,delivery
052_30107816,delivery
052_30614390,delivery
053_29567823,delivery
053_30107816,delivery
053_30614390,delivery
054_29406182,delivery
055_29406184,delivery
056_31714843,delivery
057_32007641,delivery
058_24245592,delivery
058_26175504,delivery
059_24245592,delivery
059_26175504,delivery
059_26027598,delivery
060_24245592,delivery
060_26175504,delivery
060_26027598,delivery
061_24752508,delivery
062_24752467,delivery
063_29231675,delivery
064_18404924,delivery
065_23294027,delivery
066_23294028,delivery
067_24241408,delivery
068_21927453,delivery
069_21919624,delivery
070_133745031,delivery
070_203704321,delivery
070_133913221,delivery
070_133745032,delivery
070_203704322,delivery
070_133913222,delivery
070_133745033,delivery
071_26974343,delivery
072_19618271,delivery
072_21927455,delivery
073_19618271,delivery
073_21927455,delivery
074_29641053,delivery
075_29401702,delivery
076_24394207,delivery
077_24584210,delivery
078_24602396,delivery
079_24394211,delivery
080_24394206,delivery
081_22196533,delivery
082_22196536,delivery
083_30964018,delivery
084_30964019,delivery
085_29901936,delivery
086_30521602,delivery
087_29901938,delivery
088_29634940,delivery
089_29634947,delivery
090_24495844,delivery
091_25873091,delivery
092_24495842,delivery
093_24495843,delivery
094_27033003,delivery
095_24235707,delivery
096_30856274,delivery
