shopping_list_item_key,shopping_list_key,product_sku,quantity
shopping-list-item-key-1,Newcomers,425751,1
shopping-list-item-key-2,Newcomers,419904,1
shopping-list-item-key-3,Newcomers,520561,3
shopping-list-item-key-4,Newcomers,421342,1
shopping-list-item-key-5,Newcomers,425159,1
shopping-list-item-key-6,Newcomers,419905,1
shopping-list-item-key-7,Newcomers,000201,1
shopping-list-item-key-8,Newcomers,423172,1
shopping-list-item-key-9,Newcomers,424529,1
shopping-list-item-key-10,Newcomers,421519_1,1
shopping-list-item-key-11,Newcomers,421481,1
shopping-list-item-key-12,Weekly_office,421475,1
shopping-list-item-key-13,Weekly_office,421476,1
shopping-list-item-key-14,Weekly_office,420712,1
shopping-list-item-key-15,Weekly_office,420527,1
shopping-list-item-key-16,Weekly_office,575065,1
shopping-list-item-key-17,Weekly_office,410083,1
shopping-list-item-key-18,Weekly_office,102925,5
shopping-list-item-key-19,Weekly_office,103296,1
shopping-list-item-key-20,Weekly_office,102182,5
shopping-list-item-key-21,Weekly_office,420555,2
shopping-list-item-key-22,Weekly_office,102130,1
shopping-list-item-key-23,Weekly_office,101171,1
shopping-list-item-key-24,Monthly_office,404108,1
shopping-list-item-key-25,Monthly_office,508378,1
shopping-list-item-key-26,Monthly_office,102918,1
shopping-list-item-key-27,Monthly_office,212837,1
shopping-list-item-key-28,Monthly_office,512086,1
shopping-list-item-key-29,Monthly_office,419781,1
shopping-list-item-key-30,Monthly_office,421539,1
shopping-list-item-key-31,Monthly_office,573890,1
shopping-list-item-key-32,Monthly_office,673327,1
