company_key,business_unit_key,name,email,phone,external_url,iban,bic,parent_business_unit_key
test-company,test-business-unit-1,Hotel Tommy Berlin,test+test-business-unit-1@spryker.com,1234567890,"",test iban,test bic,""
test-company,test-business-unit-2,Hotel Tommy London,test+test-business-unit-2@spryker.com,1234567890,"","","",""
test-company,test-business-unit-3,Hotel Tommy Zürich,test+test-business-unit-3@spryker.com,1234567890,"","","",""
trial-company,trial-bus-unit-1,Trial Management unit,trial-bus-unit-1@spryker.com,1234567890,"","","",""
trial-company,trial-bus-unit-2,Trial Buying unit,trial-bus-unit-2@spryker.com,1234567890,"","","",""
trial-company,trial-bus-unit-3,Trial Delivery unit,trial-bus-unit-3@spryker.com,1234567890,"","","",""
proof-company,proof-bus-unit-1,Proof Restaurant,proof-bus-unit-1@spryker.com,1234567890,"","","",""
proof-company,proof-bus-unit-2,Proof Bar,proof-bus-unit-2@spryker.com,1234567890,"","","",""
proof-company,proof-bus-unit-3,Proof Cleaning,proof-bus-unit-3@spryker.com,1234567890,"","","",""
BoB-Hotel-Jim,business-unit-jim-1,Restaurant Jim,Restaurant.Jim@spryker.com,12345617,"","","",""
BoB-Hotel-Jim,business-unit-jim-2,Bar Jim,Bar.Jim@spryker.com,12345617,"","","",
BoB-Hotel-Kudamm,business-unit-kudamm-1,Management Ku'damm,Management.Kudamm@spryker.com,12345617,"","","",
BoB-Hotel-Mitte,business-unit-mitte-1,Hotel Mitte,Hotel.Mitte@spryker.com,12345617,"","","",
BoB-Hotel-Mitte,business-unit-mitte-2,Service Mitte,Service.Mitte@spryker.com,12345617,"","","",
BoB-Hotel-Mitte,business-unit-mitte-3,Cleaning Mitte,Cleaning.Mitte@spryker.com,12345617,"","","",
BoB-Regular,business-unit-regular-1,Business unit Regular,Business.unit.Regular@spryker.com,12345617,"","","",
Ottom_ltd,Ottom_HQ,Ottom HQ,Ottom_HQ@ottom.com,4908892450,"","","",""
Ottom_ltd,Sales_Department,Sales department,Sales_Department@ottom.com,4908892455,"","","",Ottom_HQ
Ottom_ltd,Supplier_Department,Supplier deparment,Supplier_Department@ottom.com,4908892455,"","","",Ottom_HQ
Ottom_ltd,Ottom_store_Berlin,Ottom store Berlin,Ottom_store_Berlin@ottom.com,4908892452,"","","",Sales_Department
Ottom_ltd,Ottom_store_Oslo,Ottom store Oslo,Ottom_store_Oslo@ottom.com,4708892453,"","","",Sales_Department
Ottom_ltd,Ottom_store_London,Ottom store London,Ottom_store_London@ottom.com,4408892454,"","","",Sales_Department
spryker_systems,spryker_systems_HQ,Spryker Systems GmbH,HQ@spryker.com,4902890001,"","","",""
spryker_systems,spryker_systems_Barcelona,Spryker Systems Barcelona,Barcelona@spryker.com,3490284322,"","","",spryker_systems_HQ
spryker_systems,spryker_systems_Zurich,Spryker Systems Zurich,Zurich@spryker.com,4102890118,"","","",spryker_systems_HQ
spryker_systems,spryker_systems_Zurich_Sales,Spryker Systems Zurich Sales,Zurich_sales@spryker.com,4102890119,"","","",spryker_systems_Zurich
spryker_systems,spryker_systems_Zurich_Support,Spryker Systems Zurich Support ,Zurich_support@spryker.com,4102890120,"","","",spryker_systems_Zurich
spryker_systems,spryker_systems_Berlin,Spryker Systems Berlin,Berlin@spryker.com,4902890021,"","","",spryker_systems_HQ
spryker_systems,spryker_systems_HR,Spryker Systems HR department,HR@spryker.com,4902890031,"","","",spryker_systems_HQ
restricted-company-1,BU-IT-no-tablets,IT no tablets,notablets@spryker.com,1234567890,"","","",""
restricted-company-1,BU-IT-no-ASUS,IT no ASUS,noasus@spryker.com,1234567890,"","","",""
restricted-company-1,BU-IT-only-wearables,IT wearables,wearables@spryker.com,1234567890,"","","",""
restricted-company-2,Sales-under-400,Sales on a Budget,salesbudget@spryker.com,1234567890,"","","",""
restricted-company-2,Sales,Sales,sales@spryker.com,1234567890,"","","",""
