company_role_key,company_role_name,company_key,is_default
test-company_Admin,Admin,test-company,true
trial-company_Admin,Admin,trial-company,true
proof-company_Admin,Admin,proof-company,true
BoB-Hotel-Jim_Admin,Admin,BoB-Hotel-Jim,true
BoB-Hotel-Kudamm_Admin,Admin,BoB-Hotel-Kudamm,true
BoB-Hotel-Mitte_Admin,Admin,BoB-Hotel-Mitte,true
BoB-Regular_Admin,Admin,BoB-Regular,true
test-company_Admin,Admin,test-company,true
test-company-2_Admin,Admin,test-company-2,true
restricted-company-1_Admin,Admin,restricted-company-1,true
restricted-company-2_Admin,Admin,restricted-company-2,true
Ottom_Admin,Admin,Ottom_ltd,
Ottom_Buyer,Buyer,Ottom_ltd,true
Ottom_Buyer_With_Limit,Buyer With Limit,Ottom_ltd,
Ottom_Approver,Approver,Ottom_ltd,
Spryker_Admin,Admin,spryker_systems,
Spryker_Buyer,Buyer,spryker_systems,true
Spryker_Buyer_With_Limit,Buyer With Limit,spryker_systems,
Spryker_Approver,Approver,spryker_systems,
