company_role_key,permission_key,configuration
Ottom_Admin,AddCompanyUserPermissionPlugin,
Ottom_Admin,ManageCompanyUserInvitationPermissionPlugin,
Ottom_Admin,CompanyUserStatusChangePermissionPlugin,
Ottom_Admin,SeeCompanyMenuPermissionPlugin,
Ottom_Buyer,AddCartItemPermissionPlugin,
Ottom_Buyer,ChangeCartItemPermissionPlugin,
Ottom_Buyer,RemoveCartItemPermissionPlugin,
Ottom_Buyer,PlaceOrderWithAmountUpToPermissionPlugin,
Spryker_Admin,AddCompanyUserPermissionPlugin,
Spryker_Admin,ManageCompanyUserInvitationPermissionPlugin,
Spryker_Admin,CompanyUserStatusChangePermissionPlugin,
Spryker_Admin,SeeCompanyMenuPermissionPlugin,
Spryker_Buyer,AddCartItemPermissionPlugin,
Spryker_Buyer,ChangeCartItemPermissionPlugin,
Spryker_Buyer,RemoveCartItemPermissionPlugin,
Spryker_Buyer,PlaceOrderWithAmountUpToPermissionPlugin,
