company_user_key,customer_reference,company_key,is_default
Test--1,DE--1,test-company,true
BoB--1,DE--5,BoB-Regular,
Ottom--1,DE--8,Ottom_ltd,
Ottom--2,DE--9,Ottom_ltd,
Ottom--3,DE--10,Ottom_ltd,
Ottom--4,DE--11,Ottom_ltd,
Ottom--5,DE--12,Ottom_ltd,
Ottom--6,DE--13,Ottom_ltd,
Ottom--7,DE--30,Ottom_ltd,
Ottom--8,DE--32,Ottom_ltd,
Spryker--1,DE--14,spryker_systems,
Spryker--2,DE--15,spryker_systems,
Spryker--3,DE--16,spryker_systems,
Spryker--4,DE--17,spryker_systems,
Spryker--5,DE--18,spryker_systems,
Spryker--6,DE--19,spryker_systems,
Spryker--7,DE--20,spryker_systems,
Spryker--8,DE--21,spryker_systems,
Spryker--9,DE--31,spryker_systems,
Spryker--10,DE--33,spryker_systems,
Spryker--11,DE--34,spryker_systems,
