category_key,category_product_order,abstract_sku,tax_set_name,name.de_DE,name.en_US,description.de_DE,description.en_US,url.de_DE,url.en_US,meta_title.de_DE,meta_title.en_US,meta_keywords.de_DE,meta_keywords.en_US,meta_description.de_DE,meta_description.en_US,is_featured,attribute_key_1,value_1,attribute_key_1.de_DE,value_1.de_DE,attribute_key_1.en_US,value_1.en_US,attribute_key_2,value_2,attribute_key_2.de_DE,value_2.de_DE,attribute_key_2.en_US,value_2.en_US,attribute_key_3,value_3,attribute_key_3.de_DE,value_3.de_DE,attribute_key_3.en_US,value_3.en_US,attribute_key_4,value_4,attribute_key_4.de_DE,value_4.de_DE,attribute_key_4.en_US,value_4.en_US,attribute_key_5,value_5,attribute_key_5.de_DE,value_5.de_DE,attribute_key_5.en_US,value_5.en_US,attribute_key_6,value_6,attribute_key_6.de_DE,value_6.de_DE,attribute_key_6.en_US,value_6.en_US,color_code,new_from,new_to
1002666-cer,2,M74972,"Tax Exempt","HSM Aktenvernichter SECURIO - für Mehrpersonen-Büro, 34 l","HSM Aktenvernichter SECURIO - für Mehrpersonen-Büro, 34 l"," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste für Start, Stopp, Kurzzeit und Permanent-Modus<br/>– Bei Papierstau startet der automatische Rücklauf<br/>– Herausnehmbarer Auffangbehälter mit Sichtfenster zur Füllstandsanzeige "," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste für Start, Stopp, Kurzzeit und Permanent-Modus<br/>– Bei Papierstau startet der automatische Rücklauf<br/>– Herausnehmbarer Auffangbehälter mit Sichtfenster zur Füllstandsanzeige ",/de/hsm-aktenvernichter-securio-fuer-mehrpersonen-buero-34-l-M74972,/en/hsm-aktenvernichter-securio-fuer-mehrpersonen-buero-34-l-M74972,,,"Häcksler,Reißwolf,Schredder","Häcksler,Reißwolf,Schredder"," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste für Start, Stopp, Kurzzeit und Permanent-Modus<br/>– Bei Papierstau startet der automatische Rücklauf<br/>– Herausnehmbarer Auffangbehälter mit Sichtfenster zur Füllstandsanzeige "," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste für Start, Stopp, Kurzzeit und Permanent-Modus<br/>– Bei Papierstau startet der automatische Rücklauf<br/>– Herausnehmbarer Auffangbehälter mit Sichtfenster zur Füllstandsanzeige ",0,farbe,"verkehrsweiß RAL 9016",farbe,"verkehrsweiß RAL 9016",farbe,"verkehrsweiß RAL 9016",fahrbar,Nein,fahrbar,Nein,fahrbar,Nein,preiseinheit,Stück,preiseinheit,Stück,preiseinheit,Stück,,,,,,,,,,,,,,,,,,,,,
1002666-cer,2,M74974,"Tax Exempt","HSM Aktenvernichter SECURIO - für Mehrpersonen-Büro, 82 l","HSM Aktenvernichter SECURIO - für Mehrpersonen-Büro, 82 l"," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste für Start, Stopp, Kurzzeit und Permanent-Modus<br/>– Bei Papierstau startet der automatische Rücklauf<br/>– Herausnehmbarer Auffangbehälter mit Sichtfenster zur Füllstandsanzeige "," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste für Start, Stopp, Kurzzeit und Permanent-Modus<br/>– Bei Papierstau startet der automatische Rücklauf<br/>– Herausnehmbarer Auffangbehälter mit Sichtfenster zur Füllstandsanzeige ",/de/hsm-aktenvernichter-securio-fuer-mehrpersonen-buero-82-l-M74974,/en/hsm-aktenvernichter-securio-fuer-mehrpersonen-buero-82-l-M74974,,,"Häcksler,Reißwolf,Schredder","Häcksler,Reißwolf,Schredder"," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste für Start, Stopp, Kurzzeit und Permanent-Modus<br/>– Bei Papierstau startet der automatische Rücklauf<br/>– Herausnehmbarer Auffangbehälter mit Sichtfenster zur Füllstandsanzeige "," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste für Start, Stopp, Kurzzeit und Permanent-Modus<br/>– Bei Papierstau startet der automatische Rücklauf<br/>– Herausnehmbarer Auffangbehälter mit Sichtfenster zur Füllstandsanzeige ",0,farbe,"verkehrsweiß RAL 9016",farbe,"verkehrsweiß RAL 9016",farbe,"verkehrsweiß RAL 9016",fahrbar,Nein,fahrbar,Nein,fahrbar,Nein,preiseinheit,Stück,preiseinheit,Stück,preiseinheit,Stück,,,,,,,,,,,,,,,,,,,,,
1002666-cer,2,M1000786,"Tax Exempt","HSM Aktenvernichter SECURIO - für Schreibtisch, 25 l, 300 Watt","HSM Aktenvernichter SECURIO - für Schreibtisch, 25 l, 300 Watt"," HSM Securio in Verkehrsweiß RAL 9016. – Automatische Start-/Stopp-Funktion<br/>– Multifunktionsbedientaste<br/>– Auto-Reversierung bei Papierstau<br/>– Auffangbehälter mit Sichtfenster zur Füllstandsanzeige<br/>Mit ZES (Zero Energy Stand-by), Null-Stromverbrauch im Stand-by-Betrieb.<br/>Abnehmbares Oberteil zum Entleeren. "," HSM Securio in Verkehrsweiß RAL 9016. – Automatische Start-/Stopp-Funktion<br/>– Multifunktionsbedientaste<br/>– Auto-Reversierung bei Papierstau<br/>– Auffangbehälter mit Sichtfenster zur Füllstandsanzeige<br/>Mit ZES (Zero Energy Stand-by), Null-Stromverbrauch im Stand-by-Betrieb.<br/>Abnehmbares Oberteil zum Entleeren. ",/de/hsm-aktenvernichter-securio-fuer-schreibtisch-25-l-300-watt-M1000786,/en/hsm-aktenvernichter-securio-fuer-schreibtisch-25-l-300-watt-M1000786,,,"Häcksler,Reißwolf,Schredder","Häcksler,Reißwolf,Schredder"," HSM Securio in Verkehrsweiß RAL 9016. – Automatische Start-/Stopp-Funktion<br/>– Multifunktionsbedientaste<br/>– Auto-Reversierung bei Papierstau<br/>– Auffangbehälter mit Sichtfenster zur Füllstandsanzeige<br/>Mit ZES (Zero Energy Stand-by), Null-Stromverbrauch im Stand-by-Betrieb.<br/>Abnehmbares Oberteil zum Entleeren. "," HSM Securio in Verkehrsweiß RAL 9016. – Automatische Start-/Stopp-Funktion<br/>– Multifunktionsbedientaste<br/>– Auto-Reversierung bei Papierstau<br/>– Auffangbehälter mit Sichtfenster zur Füllstandsanzeige<br/>Mit ZES (Zero Energy Stand-by), Null-Stromverbrauch im Stand-by-Betrieb.<br/>Abnehmbares Oberteil zum Entleeren. ",0,farbe,"verkehrsweiß RAL 9016",farbe,"verkehrsweiß RAL 9016",farbe,"verkehrsweiß RAL 9016",fahrbar,Nein,fahrbar,Nein,fahrbar,Nein,preiseinheit,Stück,preiseinheit,Stück,preiseinheit,Stück,,,,,,,,,,,,,,,,,,,,,
1002666-cer,2,M1000838,"Tax Exempt","HSM Aktenvernichter SECURIO - für Großraumbüro, 145 l, 1800 Watt","HSM Aktenvernichter SECURIO - für Großraumbüro, 145 l, 1800 Watt"," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste, Reversiertaste und eingebaute Tastensperre<br/>– Auto-Reversierung bei Papierstau<br/>– Füllstandsanzeige durch Sichtfenster<br/>– Automatischer Öler für die Schneidwerke bei Partikelschnittgeräten<br/>– Auf Rollen fahrbar<br/><B>Mit EMCS (Energy Management Control System)</B><br/>Bis zu 90% Energie sparen gegenüber herkömmlicher Stand-by-Schaltung.<br/><B>Abschalten in zwei Stufen:</B><br/>– 2 Minuten nach Gebrauch schaltet das Gerät automatisch in den energiesparenden Schlafmodus<br/>– 1 Stunde nach Gebrauch schaltet das Gerät automatisch komplett aus<br/>Über Nacht und an Wochenenden wird somit kein Strom verbraucht. "," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste, Reversiertaste und eingebaute Tastensperre<br/>– Auto-Reversierung bei Papierstau<br/>– Füllstandsanzeige durch Sichtfenster<br/>– Automatischer Öler für die Schneidwerke bei Partikelschnittgeräten<br/>– Auf Rollen fahrbar<br/><B>Mit EMCS (Energy Management Control System)</B><br/>Bis zu 90% Energie sparen gegenüber herkömmlicher Stand-by-Schaltung.<br/><B>Abschalten in zwei Stufen:</B><br/>– 2 Minuten nach Gebrauch schaltet das Gerät automatisch in den energiesparenden Schlafmodus<br/>– 1 Stunde nach Gebrauch schaltet das Gerät automatisch komplett aus<br/>Über Nacht und an Wochenenden wird somit kein Strom verbraucht. ",/de/hsm-aktenvernichter-securio-fuer-grossraumbuero-145-l-1800-watt-M1000838,/en/hsm-aktenvernichter-securio-fuer-grossraumbuero-145-l-1800-watt-M1000838,,,"Häcksler,Reißwolf,Schredder","Häcksler,Reißwolf,Schredder"," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste, Reversiertaste und eingebaute Tastensperre<br/>– Auto-Reversierung bei Papierstau<br/>– Füllstandsanzeige durch Sichtfenster<br/>– Automatischer Öler für die Schneidwerke bei Partikelschnittgeräten<br/>– Auf Rollen fahrbar<br/><B>Mit EMCS (Energy Management Control System)</B><br/>Bis zu 90% Energie sparen gegenüber herkömmlicher Stand-by-Schaltung.<br/><B>Abschalten in zwei Stufen:</B><br/>– 2 Minuten nach Gebrauch schaltet das Gerät automatisch in den energiesparenden Schlafmodus<br/>– 1 Stunde nach Gebrauch schaltet das Gerät automatisch komplett aus<br/>Über Nacht und an Wochenenden wird somit kein Strom verbraucht. "," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste, Reversiertaste und eingebaute Tastensperre<br/>– Auto-Reversierung bei Papierstau<br/>– Füllstandsanzeige durch Sichtfenster<br/>– Automatischer Öler für die Schneidwerke bei Partikelschnittgeräten<br/>– Auf Rollen fahrbar<br/><B>Mit EMCS (Energy Management Control System)</B><br/>Bis zu 90% Energie sparen gegenüber herkömmlicher Stand-by-Schaltung.<br/><B>Abschalten in zwei Stufen:</B><br/>– 2 Minuten nach Gebrauch schaltet das Gerät automatisch in den energiesparenden Schlafmodus<br/>– 1 Stunde nach Gebrauch schaltet das Gerät automatisch komplett aus<br/>Über Nacht und an Wochenenden wird somit kein Strom verbraucht. ",0,farbe,"verkehrsweiß RAL 9016",farbe,"verkehrsweiß RAL 9016",farbe,"verkehrsweiß RAL 9016",fahrbar,Nein,fahrbar,Nein,fahrbar,Nein,preiseinheit,Stück,preiseinheit,Stück,preiseinheit,Stück,,,,,,,,,,,,,,,,,,,,,
1002666-cer,2,M1000839,"Tax Exempt","HSM Aktenvernichter SECURIO - für Großraumbüro, 145 l, 2100 Watt","HSM Aktenvernichter SECURIO - für Großraumbüro, 145 l, 2100 Watt"," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste, Reversiertaste und eingebaute Tastensperre<br/>– Auto-Reversierung bei Papierstau<br/>– Füllstandsanzeige durch Sichtfenster<br/>– Automatischer Öler für die Schneidwerke bei Partikelschnittgeräten<br/>– Auf Rollen fahrbar<br/><B>Mit EMCS (Energy Management Control System)</B><br/>Bis zu 90% Energie sparen gegenüber herkömmlicher Stand-by-Schaltung.<br/><B>Abschalten in zwei Stufen:</B><br/>– 2 Minuten nach Gebrauch schaltet das Gerät automatisch in den energiesparenden Schlafmodus<br/>– 1 Stunde nach Gebrauch schaltet das Gerät automatisch komplett aus<br/>Über Nacht und an Wochenenden wird somit kein Strom verbraucht. "," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste, Reversiertaste und eingebaute Tastensperre<br/>– Auto-Reversierung bei Papierstau<br/>– Füllstandsanzeige durch Sichtfenster<br/>– Automatischer Öler für die Schneidwerke bei Partikelschnittgeräten<br/>– Auf Rollen fahrbar<br/><B>Mit EMCS (Energy Management Control System)</B><br/>Bis zu 90% Energie sparen gegenüber herkömmlicher Stand-by-Schaltung.<br/><B>Abschalten in zwei Stufen:</B><br/>– 2 Minuten nach Gebrauch schaltet das Gerät automatisch in den energiesparenden Schlafmodus<br/>– 1 Stunde nach Gebrauch schaltet das Gerät automatisch komplett aus<br/>Über Nacht und an Wochenenden wird somit kein Strom verbraucht. ",/de/hsm-aktenvernichter-securio-fuer-grossraumbuero-145-l-2100-watt-M1000839,/en/hsm-aktenvernichter-securio-fuer-grossraumbuero-145-l-2100-watt-M1000839,,,"Häcksler,Reißwolf,Schredder","Häcksler,Reißwolf,Schredder"," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste, Reversiertaste und eingebaute Tastensperre<br/>– Auto-Reversierung bei Papierstau<br/>– Füllstandsanzeige durch Sichtfenster<br/>– Automatischer Öler für die Schneidwerke bei Partikelschnittgeräten<br/>– Auf Rollen fahrbar<br/><B>Mit EMCS (Energy Management Control System)</B><br/>Bis zu 90% Energie sparen gegenüber herkömmlicher Stand-by-Schaltung.<br/><B>Abschalten in zwei Stufen:</B><br/>– 2 Minuten nach Gebrauch schaltet das Gerät automatisch in den energiesparenden Schlafmodus<br/>– 1 Stunde nach Gebrauch schaltet das Gerät automatisch komplett aus<br/>Über Nacht und an Wochenenden wird somit kein Strom verbraucht. "," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste, Reversiertaste und eingebaute Tastensperre<br/>– Auto-Reversierung bei Papierstau<br/>– Füllstandsanzeige durch Sichtfenster<br/>– Automatischer Öler für die Schneidwerke bei Partikelschnittgeräten<br/>– Auf Rollen fahrbar<br/><B>Mit EMCS (Energy Management Control System)</B><br/>Bis zu 90% Energie sparen gegenüber herkömmlicher Stand-by-Schaltung.<br/><B>Abschalten in zwei Stufen:</B><br/>– 2 Minuten nach Gebrauch schaltet das Gerät automatisch in den energiesparenden Schlafmodus<br/>– 1 Stunde nach Gebrauch schaltet das Gerät automatisch komplett aus<br/>Über Nacht und an Wochenenden wird somit kein Strom verbraucht. ",0,farbe,"verkehrsweiß RAL 9016",farbe,"verkehrsweiß RAL 9016",farbe,"verkehrsweiß RAL 9016",fahrbar,Nein,fahrbar,Nein,fahrbar,Nein,preiseinheit,Stück,preiseinheit,Stück,preiseinheit,Stück,,,,,,,,,,,,,,,,,,,,2018-08-01 00:00:00.000000,2018-12-31 00:00:00.000000
1002666-cer,2,M1000840,"Tax Exempt","HSM Aktenvernichter SECURIO - für Großraumbüro, 205 l","HSM Aktenvernichter SECURIO - für Großraumbüro, 205 l"," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste, Reversiertaste und eingebaute Tastensperre<br/>– Auto-Reversierung bei Papierstau<br/>– Füllstandsanzeige durch Sichtfenster<br/>– Automatischer Öler für die Schneidwerke bei Partikelschnittgeräten<br/><B>Mit EMCS (Energy Management Control System)</B><br/>Bis zu 90% Energie sparen gegenüber herkömmlicher Stand-by-Schaltung.<br/><B>Abschalten in zwei Stufen:</B><br/>– 2 Minuten nach Gebrauch schaltet das Gerät automatisch in den energiesparenden Schlafmodus<br/>– 1 Stunde nach Gebrauch schaltet das Gerät automatisch komplett aus<br/>Über Nacht und an Wochenenden wird somit kein Strom verbraucht.<br/>Mit <B>PAPERcontrol</B> zur Prüfung der maximalen Papiermenge und Vermeidung von Papierstaus. "," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste, Reversiertaste und eingebaute Tastensperre<br/>– Auto-Reversierung bei Papierstau<br/>– Füllstandsanzeige durch Sichtfenster<br/>– Automatischer Öler für die Schneidwerke bei Partikelschnittgeräten<br/><B>Mit EMCS (Energy Management Control System)</B><br/>Bis zu 90% Energie sparen gegenüber herkömmlicher Stand-by-Schaltung.<br/><B>Abschalten in zwei Stufen:</B><br/>– 2 Minuten nach Gebrauch schaltet das Gerät automatisch in den energiesparenden Schlafmodus<br/>– 1 Stunde nach Gebrauch schaltet das Gerät automatisch komplett aus<br/>Über Nacht und an Wochenenden wird somit kein Strom verbraucht.<br/>Mit <B>PAPERcontrol</B> zur Prüfung der maximalen Papiermenge und Vermeidung von Papierstaus. ",/de/hsm-aktenvernichter-securio-fuer-grossraumbuero-205-l-M1000840,/en/hsm-aktenvernichter-securio-fuer-grossraumbuero-205-l-M1000840,,,"Häcksler,Reißwolf,Schredder","Häcksler,Reißwolf,Schredder"," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste, Reversiertaste und eingebaute Tastensperre<br/>– Auto-Reversierung bei Papierstau<br/>– Füllstandsanzeige durch Sichtfenster<br/>– Automatischer Öler für die Schneidwerke bei Partikelschnittgeräten<br/><B>Mit EMCS (Energy Management Control System)</B><br/>Bis zu 90% Energie sparen gegenüber herkömmlicher Stand-by-Schaltung.<br/><B>Abschalten in zwei Stufen:</B><br/>– 2 Minuten nach Gebrauch schaltet das Gerät automatisch in den energiesparenden Schlafmodus<br/>– 1 Stunde nach Gebrauch schaltet das Gerät automatisch komplett aus<br/>Über Nacht und an Wochenenden wird somit kein Strom verbraucht.<br/>Mit <B>PAPERcontrol</B> zur Prüfung der maximalen Papiermenge und Vermeidung von Papierstaus. "," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste, Reversiertaste und eingebaute Tastensperre<br/>– Auto-Reversierung bei Papierstau<br/>– Füllstandsanzeige durch Sichtfenster<br/>– Automatischer Öler für die Schneidwerke bei Partikelschnittgeräten<br/><B>Mit EMCS (Energy Management Control System)</B><br/>Bis zu 90% Energie sparen gegenüber herkömmlicher Stand-by-Schaltung.<br/><B>Abschalten in zwei Stufen:</B><br/>– 2 Minuten nach Gebrauch schaltet das Gerät automatisch in den energiesparenden Schlafmodus<br/>– 1 Stunde nach Gebrauch schaltet das Gerät automatisch komplett aus<br/>Über Nacht und an Wochenenden wird somit kein Strom verbraucht.<br/>Mit <B>PAPERcontrol</B> zur Prüfung der maximalen Papiermenge und Vermeidung von Papierstaus. ",0,farbe,"verkehrsweiß RAL 9016",farbe,"verkehrsweiß RAL 9016",farbe,"verkehrsweiß RAL 9016",fahrbar,Nein,fahrbar,Nein,fahrbar,Nein,preiseinheit,Stück,preiseinheit,Stück,preiseinheit,Stück,,,,,,,,,,,,,,,,,,,,,
1002666-cer,2,M302,"Tax Exempt","HSM Aktenvernichter CLASSIC - HxBxT 410 x 305 x 200 mm","HSM Aktenvernichter CLASSIC - HxBxT 410 x 305 x 200 mm"," HSM Classic in Lichtgrau RAL 7035. – Start-/Stopp-Automatik und integrierte Rücklauffunktion<br/>– Null-Stromverbrauch im Stand-by-Betrieb "," HSM Classic in Lichtgrau RAL 7035. – Start-/Stopp-Automatik und integrierte Rücklauffunktion<br/>– Null-Stromverbrauch im Stand-by-Betrieb ",/de/hsm-aktenvernichter-classic-hxbxt-410-x-305-x-200-mm-M302,/en/hsm-aktenvernichter-classic-hxbxt-410-x-305-x-200-mm-M302,,,"Häcksler,Reißwolf,Schredder","Häcksler,Reißwolf,Schredder"," HSM Classic in Lichtgrau RAL 7035. – Start-/Stopp-Automatik und integrierte Rücklauffunktion<br/>– Null-Stromverbrauch im Stand-by-Betrieb "," HSM Classic in Lichtgrau RAL 7035. – Start-/Stopp-Automatik und integrierte Rücklauffunktion<br/>– Null-Stromverbrauch im Stand-by-Betrieb ",0,farbe,lichtgrau,farbe,lichtgrau,farbe,lichtgrau,fahrbar,Nein,fahrbar,Nein,fahrbar,Nein,preiseinheit,Stück,preiseinheit,Stück,preiseinheit,Stück,,,,,,,,,,,,,,,,,,,,,
1002666-cer,2,M75601,"Tax Exempt","HSM Aktenvernichter CLASSIC - HxBxT 423 x 326 x 240 mm","HSM Aktenvernichter CLASSIC - HxBxT 423 x 326 x 240 mm"," HSM Classic in Lichtgrau RAL 7035. – Start-/Stopp-Automatik und integrierte Rücklauffunktion<br/>– Null-Stromverbrauch im Stand-by-Betrieb "," HSM Classic in Lichtgrau RAL 7035. – Start-/Stopp-Automatik und integrierte Rücklauffunktion<br/>– Null-Stromverbrauch im Stand-by-Betrieb ",/de/hsm-aktenvernichter-classic-hxbxt-423-x-326-x-240-mm-M75601,/en/hsm-aktenvernichter-classic-hxbxt-423-x-326-x-240-mm-M75601,,,"Häcksler,Reißwolf,Schredder","Häcksler,Reißwolf,Schredder"," HSM Classic in Lichtgrau RAL 7035. – Start-/Stopp-Automatik und integrierte Rücklauffunktion<br/>– Null-Stromverbrauch im Stand-by-Betrieb "," HSM Classic in Lichtgrau RAL 7035. – Start-/Stopp-Automatik und integrierte Rücklauffunktion<br/>– Null-Stromverbrauch im Stand-by-Betrieb ",0,farbe,lichtgrau,farbe,lichtgrau,farbe,lichtgrau,fahrbar,Nein,fahrbar,Nein,fahrbar,Nein,preiseinheit,Stück,preiseinheit,Stück,preiseinheit,Stück,,,,,,,,,,,,,,,,,,,,,
1002660-cer,2,M11222,"Tax Exempt","Smit Visual Flip-Chart - Standmodell mit Seitenarmen","Smit Visual Flip-Chart - Standmodell mit Seitenarmen"," Für Präsentationen, Besprechungen und Moderation das ideale Hilfsmittel für einen effizienten Verlauf. Rückplatte magnethaftend, beschriftbar mit trocken abwischbaren Boardmarkern, BxH 700 x 1050 mm, eingebaute Stiftablage. Mit Teleskopbeinen bis 1800 mm höhenverstellbar. Schnellklemme mit flexiblen Papieraufhängepunkten. 2 magnethaftende ausklappbare Seitenarme. "," Für Präsentationen, Besprechungen und Moderation das ideale Hilfsmittel für einen effizienten Verlauf. Rückplatte magnethaftend, beschriftbar mit trocken abwischbaren Boardmarkern, BxH 700 x 1050 mm, eingebaute Stiftablage. Mit Teleskopbeinen bis 1800 mm höhenverstellbar. Schnellklemme mit flexiblen Papieraufhängepunkten. 2 magnethaftende ausklappbare Seitenarme. ",/de/flip-chart-standmodell-mit-seitenarmen-M11222,/en/flip-chart-standmodell-mit-seitenarmen-M11222,,,"Fahrbare Flipcharts,Fahrbarer Flipchart,Flipchart,Infotafel,Lichtbildwand,Präsentationstafel,Schreibtafel","Fahrbare Flipcharts,Fahrbarer Flipchart,Flipchart,Infotafel,Lichtbildwand,Präsentationstafel,Schreibtafel"," Für Präsentationen, Besprechungen und Moderation das ideale Hilfsmittel für einen effizienten Verlauf. Rückplatte magnethaftend, beschriftbar mit trocken abwischbaren Boardmarkern, BxH 700 x 1050 mm, eingebaute Stiftablage. Mit Teleskopbeinen bis 1800 mm höhenverstellbar. Schnellklemme mit flexiblen Papieraufhängepunkten. 2 magnethaftende ausklappbare Seitenarme. "," Für Präsentationen, Besprechungen und Moderation das ideale Hilfsmittel für einen effizienten Verlauf. Rückplatte magnethaftend, beschriftbar mit trocken abwischbaren Boardmarkern, BxH 700 x 1050 mm, eingebaute Stiftablage. Mit Teleskopbeinen bis 1800 mm höhenverstellbar. Schnellklemme mit flexiblen Papieraufhängepunkten. 2 magnethaftende ausklappbare Seitenarme. ",0,ausfuehrung,magnethaftend,ausfuehrung,magnethaftend,ausfuehrung,magnethaftend,ablageleiste,Ja,ablageleiste,Ja,ablageleiste,Ja,preiseinheit,Stück,preiseinheit,Stück,preiseinheit,Stück,gestellausfuehrung,Teleskopbeine,gestellausfuehrung,Teleskopbeine,gestellausfuehrung,Teleskopbeine,,,,,,,,,,,,,,,
1002660-cer,2,M39654,"Tax Exempt","Smit Visual Flip-Chart - höhenverstellbar mit Teleskopbeinen","Smit Visual Flip-Chart - höhenverstellbar mit Teleskopbeinen"," Für Präsentationen, Besprechungen und Moderation das ideale Hilfsmittel für einen effizienten Verlauf. Rückplatte magnethaftend, BxH 700 x 1000 mm. Höhenverstellbar mit Teleskopbeinen bis 1900 mm. Ablageleiste. Schraubbarer Blockhalter. "," Für Präsentationen, Besprechungen und Moderation das ideale Hilfsmittel für einen effizienten Verlauf. Rückplatte magnethaftend, BxH 700 x 1000 mm. Höhenverstellbar mit Teleskopbeinen bis 1900 mm. Ablageleiste. Schraubbarer Blockhalter. ",/de/flip-chart-hoehenverstellbar-mit-teleskopbeinen-M39654,/en/flip-chart-hoehenverstellbar-mit-teleskopbeinen-M39654,,,"Fahrbare Flipcharts,Fahrbarer Flipchart,Flipchart,Infotafel,Lichtbildwand,Präsentationstafel,Schreibtafel","Fahrbare Flipcharts,Fahrbarer Flipchart,Flipchart,Infotafel,Lichtbildwand,Präsentationstafel,Schreibtafel"," Für Präsentationen, Besprechungen und Moderation das ideale Hilfsmittel für einen effizienten Verlauf. Rückplatte magnethaftend, BxH 700 x 1000 mm. Höhenverstellbar mit Teleskopbeinen bis 1900 mm. Ablageleiste. Schraubbarer Blockhalter. "," Für Präsentationen, Besprechungen und Moderation das ideale Hilfsmittel für einen effizienten Verlauf. Rückplatte magnethaftend, BxH 700 x 1000 mm. Höhenverstellbar mit Teleskopbeinen bis 1900 mm. Ablageleiste. Schraubbarer Blockhalter. ",0,ausfuehrung,magnethaftend,ausfuehrung,magnethaftend,ausfuehrung,magnethaftend,ablageleiste,Ja,ablageleiste,Ja,ablageleiste,Ja,preiseinheit,Stück,preiseinheit,Stück,preiseinheit,Stück,gestellausfuehrung,Teleskopbeine,gestellausfuehrung,Teleskopbeine,gestellausfuehrung,Teleskopbeine,,,,,,,,,,,,,,,
