abstract_sku,old_sku,concrete_sku,name.de_DE,name.en_US,description.de_DE,description.en_US,is_searchable.de_DE,is_searchable.en_US,bundled,is_quantity_splittable,attribute_key_1,value_1,attribute_key_1.de_DE,value_1.de_DE,attribute_key_1.en_US,value_1.en_US
M23457,,424453,"Schneider Kugelschreiber HAPTIFY 135323 M 0,5mm dunkelblau/hellblau","Schneider Kugelschreiber HAPTIFY 135323 M 0,5mm dunkelblau/hellblau","Für eine ideale Haltung der Hand. Sein modernes Design hebt sich vom Durchschnitt ab. Mit revolutionärer ViscoGlide®-Technology.<p>* Strichstärke: 0,5 mm * Typbezeichnung der Strichstärke: M * Schreibfarbe: blau * Typbezeichnung der Mine: Slider 757 * Mine auswechselbar * Druckmechanik * dokumentenecht * Ausführung der Griffzone: ergonomisch, dreikant, gummiert * Material der Spitze: Edelstahl","Für eine ideale Haltung der Hand. Sein modernes Design hebt sich vom Durchschnitt ab. Mit revolutionärer ViscoGlide®-Technology.<p>* Strichstärke: 0,5 mm * Typbezeichnung der Strichstärke: M * Schreibfarbe: blau * Typbezeichnung der Mine: Slider 757 * Mine auswechselbar * Druckmechanik * dokumentenecht * Ausführung der Griffzone: ergonomisch, dreikant, gummiert * Material der Spitze: Edelstahl",1,1,,,,,,,,
C2235,,1001454,"Schomburg Stehpult - HxBxT 1094 x 600 x 500 mm, Buche ","Schomburg Stehpult - HxBxT 1094 x 600 x 500 mm, Buche ","<p>Das Stehpult von Schomburg ist im ganzen Büro einsetzbar. Dank der vier Doppelrollen, wovon zwei Stück <b>feststellbar</b> sind, kann das Pult problemlos im gesamten Büro bewegt werden. Die Schreibplatte ist in <b>vier Stufen höhenverstellbar</b> und kann somit an den Benutzer angepasst werden. Die Seitenteile, die Einlegeböden und die Rückwand sind aus 16 mm dickem Material. Die obere Platte sowie der Unterboden sind <b>22 mm stark</b>, um Stabilität zu gewährleisten und die Schnittkanten sind mit einer <b>ABS Dickkante</b> versehen worden. Der Schubkasten läuft auf Kugelauszügen aus Metall und wurde mit einem schicken Metallgriff in <b>Edelstahl-Optik</b> ausgestattet. Alle Oberflächen wurden mit <b>Melaminharz beschichtet</b>, um eine einheitlichem, widerstandsfähige Gestalt zu schaffen. </p><p>Das Stehpult wird zerlegt geliefert und kann einfach montiert werden.</p><ul><li>Feststellbare Rollen</li><li>Stehpult mit höhenverstellbarer Schreibplatte</li><li>ABS Dickkante</li><li> Metallgriff in Edelstahl-Optik</li><li>Melaminharzbeschichtung</li></ul>","<p>Das Stehpult von Schomburg ist im ganzen Büro einsetzbar. Dank der vier Doppelrollen, wovon zwei Stück <b>feststellbar</b> sind, kann das Pult problemlos im gesamten Büro bewegt werden. Die Schreibplatte ist in <b>vier Stufen höhenverstellbar</b> und kann somit an den Benutzer angepasst werden. Die Seitenteile, die Einlegeböden und die Rückwand sind aus 16 mm dickem Material. Die obere Platte sowie der Unterboden sind <b>22 mm stark</b>, um Stabilität zu gewährleisten und die Schnittkanten sind mit einer <b>ABS Dickkante</b> versehen worden. Der Schubkasten läuft auf Kugelauszügen aus Metall und wurde mit einem schicken Metallgriff in <b>Edelstahl-Optik</b> ausgestattet. Alle Oberflächen wurden mit <b>Melaminharz beschichtet</b>, um eine einheitlichem, widerstandsfähige Gestalt zu schaffen. </p><p>Das Stehpult wird zerlegt geliefert und kann einfach montiert werden.</p><ul><li>Feststellbare Rollen</li><li>Stehpult mit höhenverstellbarer Schreibplatte</li><li>ABS Dickkante</li><li> Metallgriff in Edelstahl-Optik</li><li>Melaminharzbeschichtung</li></ul>",1,1,,,,,,,,
M526,,104937,"Dauphin Bandscheiben-Drehstuhl, Synchronmechanik - Rückenlehnenhöhe 400 mm - Bezug blau, Gestell schwarz","Dauphin Bandscheiben-Drehstuhl, Synchronmechanik - Rückenlehnenhöhe 400 mm - Bezug blau, Gestell schwarz",,,1,1,,,bezugsfarbe,blau,bezugsfarbe,blau,bezugsfarbe,blau
M528,,104939,"Dauphin Bandscheiben-Drehstuhl, Synchronmechanik - ohne Armlehnen, Rückenlehnenhöhe 580 mm - Bezug blau, Gestell schwarz","Dauphin Bandscheiben-Drehstuhl, Synchronmechanik - ohne Armlehnen, Rückenlehnenhöhe 580 mm - Bezug blau, Gestell schwarz",,,1,1,,,bezugsfarbe,blau,bezugsfarbe,blau,bezugsfarbe,blau
M11542,,104517,"Holz-Schalenstuhl - 4-Fuß-Gestell, Sitz gepolstert - Bezug anthrazit, Gestell beschichtet","Holz-Schalenstuhl - 4-Fuß-Gestell, Sitz gepolstert - Bezug anthrazit, Gestell beschichtet",,,1,1,,,gestellfarbe,schwarzgrau RAL 7021,gestellfarbe,schwarzgrau RAL 7021,gestellfarbe,schwarzgrau RAL 7021
M74974,,101865,"HSM Aktenvernichter SECURIO - für Mehrpersonen-Büro, 82 l - Streifen, 19 – 21 Blatt","HSM Aktenvernichter SECURIO - für Mehrpersonen-Büro, 82 l - Streifen, 19 – 21 Blatt"," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste für Start, Stopp, Kurzzeit und Permanent-Modus<br/>– Bei Papierstau startet der automatische Rücklauf<br/>– Herausnehmbarer Auffangbehälter mit Sichtfenster zur Füllstandsanzeige "," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste für Start, Stopp, Kurzzeit und Permanent-Modus<br/>– Bei Papierstau startet der automatische Rücklauf<br/>– Herausnehmbarer Auffangbehälter mit Sichtfenster zur Füllstandsanzeige ",1,1,,,zerkleinerungsart,Streifen,zerkleinerungsart,Streifen,zerkleinerungsart,Streifen
M1000786,,212440,"HSM Aktenvernichter SECURIO - für Schreibtisch, 25 l, 300 Watt - Streifen, 12 – 14 Blatt","HSM Aktenvernichter SECURIO - für Schreibtisch, 25 l, 300 Watt - Streifen, 12 – 14 Blatt"," HSM Securio in Verkehrsweiß RAL 9016. – Automatische Start-/Stopp-Funktion<br/>– Multifunktionsbedientaste<br/>– Auto-Reversierung bei Papierstau<br/>– Auffangbehälter mit Sichtfenster zur Füllstandsanzeige<br/>Mit ZES (Zero Energy Stand-by), Null-Stromverbrauch im Stand-by-Betrieb.<br/>Abnehmbares Oberteil zum Entleeren. "," HSM Securio in Verkehrsweiß RAL 9016. – Automatische Start-/Stopp-Funktion<br/>– Multifunktionsbedientaste<br/>– Auto-Reversierung bei Papierstau<br/>– Auffangbehälter mit Sichtfenster zur Füllstandsanzeige<br/>Mit ZES (Zero Energy Stand-by), Null-Stromverbrauch im Stand-by-Betrieb.<br/>Abnehmbares Oberteil zum Entleeren. ",1,1,,,zerkleinerungsart,Streifen,zerkleinerungsart,Streifen,zerkleinerungsart,Streifen
M1000838,,212442,"HSM Aktenvernichter SECURIO - für Großraumbüro, 145 l, 1800 Watt - Streifen, 31 – 33 Blatt","HSM Aktenvernichter SECURIO - für Großraumbüro, 145 l, 1800 Watt - Streifen, 31 – 33 Blatt"," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste, Reversiertaste und eingebaute Tastensperre<br/>– Auto-Reversierung bei Papierstau<br/>– Füllstandsanzeige durch Sichtfenster<br/>– Automatischer Öler für die Schneidwerke bei Partikelschnittgeräten<br/>– Auf Rollen fahrbar<br/><B>Mit EMCS (Energy Management Control System)</B><br/>Bis zu 90% Energie sparen gegenüber herkömmlicher Stand-by-Schaltung.<br/><B>Abschalten in zwei Stufen:</B><br/>– 2 Minuten nach Gebrauch schaltet das Gerät automatisch in den energiesparenden Schlafmodus<br/>– 1 Stunde nach Gebrauch schaltet das Gerät automatisch komplett aus<br/>Über Nacht und an Wochenenden wird somit kein Strom verbraucht. "," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste, Reversiertaste und eingebaute Tastensperre<br/>– Auto-Reversierung bei Papierstau<br/>– Füllstandsanzeige durch Sichtfenster<br/>– Automatischer Öler für die Schneidwerke bei Partikelschnittgeräten<br/>– Auf Rollen fahrbar<br/><B>Mit EMCS (Energy Management Control System)</B><br/>Bis zu 90% Energie sparen gegenüber herkömmlicher Stand-by-Schaltung.<br/><B>Abschalten in zwei Stufen:</B><br/>– 2 Minuten nach Gebrauch schaltet das Gerät automatisch in den energiesparenden Schlafmodus<br/>– 1 Stunde nach Gebrauch schaltet das Gerät automatisch komplett aus<br/>Über Nacht und an Wochenenden wird somit kein Strom verbraucht. ",1,1,,,zerkleinerungsart,Streifen,zerkleinerungsart,Streifen,zerkleinerungsart,Streifen
M302,,100682,"HSM Aktenvernichter CLASSIC - HxBxT 410 x 305 x 200 mm - grau, 5 – 7 Blatt, 225 mm Arbeitsbreite","HSM Aktenvernichter CLASSIC - HxBxT 410 x 305 x 200 mm - grau, 5 – 7 Blatt, 225 mm Arbeitsbreite", HSM Classic in Lichtgrau RAL 7035. – Start-/Stopp-Automatik und integrierte Rücklauffunktion<br/>– Null-Stromverbrauch im Stand-by-Betrieb , HSM Classic in Lichtgrau RAL 7035. – Start-/Stopp-Automatik und integrierte Rücklauffunktion<br/>– Null-Stromverbrauch im Stand-by-Betrieb ,1,1,,,zerkleinerungsart,Streifen,zerkleinerungsart,Streifen,zerkleinerungsart,Streifen
M26831,,104074,"HSM Aktenvernichter CLASSIC - 125.2, Auffangvolumen 76 l, 17 - 19 Blatt","HSM Aktenvernichter CLASSIC - 125.2, Auffangvolumen 76 l, 17 - 19 Blatt"," Aktenvernichter CLASSIC, 125.2, Auffangvolumen 76 l, Streifen, 17 - 19 Blatt. Zentralgerät für Mehrpersonen-Büros. Qualität Made in Germany. Hohe Schnittleistung. Spezialgehärtete Vollstahl-Schneidwellen, unempfindlich gegen Heft- und Büroklammern. Geringer Stromverbrauch. Anschlussspannung 230 V / 50 Hz. HSM CLASSIC in Lichtgrau RAL 7035. - Kraftvoller Antrieb für längere Einsatzzeiten - Bequem auf Rollen fahrbar - Automatische Start/Stopp-Steuerung über Fotozelle - Automatische Abschaltung bei vollem Behälter und geöffneter Tür - Je nach Sicherheitsstufe Zuführschlitz für die Vernichtung von CDs  "," Aktenvernichter CLASSIC, 125.2, Auffangvolumen 76 l, Streifen, 17 - 19 Blatt. Zentralgerät für Mehrpersonen-Büros. Qualität Made in Germany. Hohe Schnittleistung. Spezialgehärtete Vollstahl-Schneidwellen, unempfindlich gegen Heft- und Büroklammern. Geringer Stromverbrauch. Anschlussspannung 230 V / 50 Hz. HSM CLASSIC in Lichtgrau RAL 7035. - Kraftvoller Antrieb für längere Einsatzzeiten - Bequem auf Rollen fahrbar - Automatische Start/Stopp-Steuerung über Fotozelle - Automatische Abschaltung bei vollem Behälter und geöffneter Tür - Je nach Sicherheitsstufe Zuführschlitz für die Vernichtung von CDs  ",1,1,,,sicherheitsstufe_nach_din_66399,P-2,sicherheitsstufe_nach_din_66399,P-2,sicherheitsstufe_nach_din_66399,P-2
