key,input_type,allow_input,is_multiple,values,key_translation.en_US,key_translation.de_DE,value_translations.en_US,value_translations.de_DE
farbe,text,yes,yes,"white, black, grey, silver, blue, yellow, purple, pink, platinum, copper, orange, gold, navy, green, red, brown",Color,Farbe,"white, black, grey, silver, blue, yellow, purple, pink, platinum, copper, orange, gold, navy, green, red, brown","weiß, schwarz, grau, silber, blau, gelb, lila, pink, platin, kupfer, orange, gold, marineblau, grün, rot, braun"
fahrbar,text,yes,no,,fahrbar,fahrbar,,
preiseinheit,text,yes,no,,preiseinheit,preiseinheit,,
brand,text,yes,no,,Brand,Marke,,
ausfuehrung,text,yes,no,,ausfuehrung,ausfuehrung,,
ablageleiste,text,yes,no,,ablageleiste,ablageleiste,,
gestellausfuehrung,text,yes,no,,gestellausfuehrung,gestellausfuehrung,,
material,text,yes,no,,Material,Material,,
utensilienschub,text,yes,no,,utensilienschub,utensilienschub,,
einzelauszugssperre,text,yes,no,,einzelauszugssperre,einzelauszugssperre,,
ausziehbare_mausplattev2,text,yes,no,,ausziehbare_mausplattev2,ausziehbare_mausplattev2,,
beschriftungsmoeglichkeit,text,yes,no,,beschriftungsmoeglichkeit,beschriftungsmoeglichkeit,,
anlieferung,text,yes,no,,anlieferung,anlieferung,,
oberflaeche,text,yes,no,,oberflaeche,oberflaeche,,
konstruktion,text,yes,no,,konstruktion,konstruktion,,
ausfuehrung_spindgestell,text,yes,no,,ausfuehrung_spindgestell,ausfuehrung_spindgestell,,
tuermaterial,text,yes,no,,tuermaterial,tuermaterial,,
verriegelung,text,yes,no,,verriegelung,verriegelung,,
korpusmaterial,text,yes,no,,korpusmaterial,korpusmaterial,,
norm,text,yes,no,,norm,norm,,
stapelbar,text,yes,no,,stapelbar,stapelbar,,
reihenverbinder,text,yes,no,,reihenverbinder,reihenverbinder,,
rollenausfuehrung,text,yes,no,,rollenausfuehrung,rollenausfuehrung,,
lendenwirbelstuetze,text,yes,no,,lendenwirbelstuetze,lendenwirbelstuetze,,
sitzschalenform,text,yes,no,,sitzschalenform,sitzschalenform,,
armlehnenausfuhrung,text,yes,no,,armlehnenausfuhrung,armlehnenausfuhrung,,
bezugsmaterial,text,yes,no,,bezugsmaterial,bezugsmaterial,,
gegendruckeistellung,text,yes,no,,gegendruckeistellung,gegendruckeistellung,,
gestellausfuhrung,text,yes,no,,gestellausfuhrung,gestellausfuhrung,,
gestellfarbe,text,yes,no,,gestellfarbe,gestellfarbe,,
hohenverstellbereich_mm,text,yes,no,,hohenverstellbereich_mm,hohenverstellbereich_mm,,
gegendruckeinstellung,text,yes,no,,gegendruckeinstellung,gegendruckeinstellung,,
ausfuehrung_sitzschale,text,yes,no,,ausfuehrung_sitzschale,ausfuehrung_sitzschale,,
unterbau,text,yes,no,,unterbau,unterbau,,
gestellmaterial,text,yes,no,,gestellmaterial,gestellmaterial,,
hoehenverstellung,text,yes,no,,hoehenverstellung,hoehenverstellung,,
elektrifizierungv2,text,yes,no,,elektrifizierungv2,elektrifizierungv2,,
plattenform,text,yes,no,,plattenform,plattenform,,
radlagerung,text,yes,no,,radlagerung,radlagerung,,
klappbar,text,yes,no,,klappbar,klappbar,,
gelaender,text,yes,no,,gelaender,gelaender,,
ausfuehrung_waage,text,yes,no,,ausfuehrung_waage,ausfuehrung_waage,,
kurzbezeichnung_moebel,text,yes,no,,kurzbezeichnung_moebel,kurzbezeichnung_moebel,,
gabellange_mm,text,yes,no,,gabellange_mm,gabellange_mm,,
lastrollenausfuhrung,text,yes,no,,lastrollenausfuhrung,lastrollenausfuhrung,,
lastrollenmaterial,text,yes,no,,lastrollenmaterial,lastrollenmaterial,,
lenkraddurchmesser_mm,text,yes,no,,lenkraddurchmesser_mm,lenkraddurchmesser_mm,,
lenkradmaterial,text,yes,no,,lenkradmaterial,lenkradmaterial,,
gabelbreite_mm,text,yes,no,,gabelbreite_mm,gabelbreite_mm,,
gesamtlange_mm,text,yes,no,,gesamtlange_mm,gesamtlange_mm,,
hubbereich_mm,text,yes,no,,hubbereich_mm,hubbereich_mm,,
ausstattung_waagen,text,yes,no,,ausstattung_waagen,ausstattung_waagen,,
gewicht_kg,text,yes,no,,gewicht_kg,gewicht_kg,,
tafelmaterial,text,yes,no,,tafelmaterial,tafelmaterial,,
radausstattung,text,yes,no,,radausstattung,radausstattung,,
selbstkleben,text,yes,no,,selbstkleben,selbstkleben,,
stapelverarbeitbar,text,yes,no,,stapelverarbeitbar,stapelverarbeitbar,,
innendruck_vorhanden,text,yes,no,,innendruck_vorhanden,innendruck_vorhanden,,
seitenzahl_vorhanden,text,yes,no,,seitenzahl_vorhanden,seitenzahl_vorhanden,,
beidseitig_bedruckbar,text,yes,no,,beidseitig_bedruckbar,beidseitig_bedruckbar,,
mit_beschriftungsfeld,text,yes,no,,mit_beschriftungsfeld,mit_beschriftungsfeld,,
batterie,text,yes,no,,batterie,batterie,,
bedruckbar,text,yes,no,,bedruckbar,bedruckbar,,
rutschfest,text,yes,no,,rutschfest,rutschfest,,
clip_vorhanden,text,yes,no,,clip_vorhanden,clip_vorhanden,,
griff_vorhanden,text,yes,no,,griff_vorhanden,griff_vorhanden,,
papierausfuehrung,text,yes,no,,papierausfuehrung,papierausfuehrung,,
wischfest,text,yes,no,,wischfest,wischfest,,
abwischbar,text,yes,no,,abwischbar,abwischbar,,
wasserfest,text,yes,no,,wasserfest,wasserfest,,
nachfuellbar,text,yes,no,,nachfuellbar,nachfuellbar,,
schreibfarbe,text,yes,no,,schreibfarbe,schreibfarbe,,
werkstoff,text,yes,no,,werkstoff,werkstoff,,
einstecktaschen,text,yes,no,,einstecktaschen,einstecktaschen,,
material_des_einbandes,text,yes,no,,material_des_einbandes,material_des_einbandes,,
ausfuehrung_der_bindung,text,yes,no,,ausfuehrung_der_bindung,ausfuehrung_der_bindung,,
greifausschnitt_vorhanden,text,yes,no,,greifausschnitt_vorhanden,greifausschnitt_vorhanden,,
beschriftungsschild_vorhanden,text,yes,no,,beschriftungsschild_vorhanden,beschriftungsschild_vorhanden,,
dokumentenecht,text,yes,no,,dokumentenecht,dokumentenecht,,
kombiradierer,text,yes,no,,kombiradierer,kombiradierer,,
minenbuechse_vorhanden,text,yes,no,,minenbuechse_vorhanden,minenbuechse_vorhanden,,
aufhaengeloch_vorhanden,text,yes,no,,aufhaengeloch_vorhanden,aufhaengeloch_vorhanden,,
millimeterfacette_vorhanden,text,yes,no,,millimeterfacette_vorhanden,millimeterfacette_vorhanden,,
farbig_hinterlegte_winkelgrade_vorhanden,text,yes,no,,farbig_hinterlegte_winkelgrade_vorhanden,farbig_hinterlegte_winkelgrade_vorhanden,,
deckel,text,yes,no,,deckel,deckel,,
gefuellt,text,yes,no,,gefuellt,gefuellt,,
auszugsperre,text,yes,no,,auszugsperre,auszugsperre,,
aao963,text,yes,no,,aao963,aao963,,
baa351,text,yes,no,,baa351,baa351,,
baf505,text,yes,no,,baf505,baf505,,
verpackung,text,yes,no,,verpackung,verpackung,,
ablagebrett,text,yes,no,,ablagebrett,ablagebrett,,
magnethaftend,text,yes,no,,magnethaftend,magnethaftend,,
hoehenverstellbar,text,yes,no,,hoehenverstellbar,hoehenverstellbar,,
ausfuehrung_fuss,text,yes,no,,ausfuehrung_fuss,ausfuehrung_fuss,,
aaf631,text,yes,no,,aaf631,aaf631,,
aao847,text,yes,no,,aao847,aao847,,
art_der_betaetigung,text,yes,no,,art_der_betaetigung,art_der_betaetigung,,
verwendbares_schnittgut,text,yes,no,,verwendbares_schnittgut,verwendbares_schnittgut,,
