sales_unit_key,concrete_sku,code,conversion,precision,is_displayed,is_default
sales_unit_fish-item,fish-1-1,ITEM,37.44,100,1,1
sales_unit_fish-kilo,fish-1-1,KILO,1,1000,0,0
sales_unit_potato-kilo,potato-1-1,KILO,1,1000,1,1
sales_unit_hdmi-cable-ring,cable-hdmi-1-1,ITEM,1.5,100,1,1
sales_unit_hdmi-cable-meter-1,cable-hdmi-1-1,METR,1,100,1,0
sales_unit_hdmi-cable-meter-2,cable-hdmi-1-2,METR,1,100,1,1
sales_unit_hdmi-cable-centi,cable-hdmi-1-2,CMET,0.01,10,1,0
sales_unit_vga-cable-ring,cable-vga-1-1,ITEM,1.5,100,1,1
sales_unit_vga-cable-meter-1,cable-vga-1-1,METR,1,100,1,0
sales_unit_vga-cable-meter-2,cable-vga-1-2,METR,1,100,1,1
sales_unit_vga-cable-centi,cable-vga-1-2,CMET,0.01,10,1,0
