abstract_sku,concrete_sku,price_type,store,currency,value_net,value_gross
M61240,,DEFAULT,DE,EUR,16695,19867
M61240,,DEFAULT,DE,CHF,19032,22648
M61240,,ORIGINAL,DE,EUR,18550,22074
M61240,,ORIGINAL,DE,CHF,21146,25164
,100107,DEFAULT,DE,EUR,16695,19867
,100107,DEFAULT,DE,CHF,19032,22648
,100107,ORIGINAL,DE,EUR,18550,22074
,100107,ORIGINAL,DE,CHF,21146,25164
C2235,,DEFAULT,DE,EUR,9359,11137
C2235,,DEFAULT,DE,CHF,10669,12696
C2235,,ORIGINAL,DE,EUR,10398,12374
C2235,,ORIGINAL,DE,CHF,11854,14106
,1001454,DEFAULT,DE,EUR,9359,11137
,1001454,DEFAULT,DE,CHF,10669,12696
,1001454,ORIGINAL,DE,EUR,10398,12374
,1001454,ORIGINAL,DE,CHF,11854,14106
M716,,DEFAULT,DE,EUR,17595,20938
M716,,DEFAULT,DE,CHF,20058,23869
M716,,ORIGINAL,DE,EUR,19550,23264
M716,,ORIGINAL,DE,CHF,22286,26521
,100223,DEFAULT,DE,EUR,17595,20938
,100223,DEFAULT,DE,CHF,20058,23869
,100223,ORIGINAL,DE,EUR,19550,23264
,100223,ORIGINAL,DE,CHF,22286,26521
M770,,DEFAULT,DE,EUR,24615,29292
M770,,DEFAULT,DE,CHF,28061,33392
M770,,ORIGINAL,DE,EUR,27350,32546
M770,,ORIGINAL,DE,CHF,31178,37102
,100266,DEFAULT,DE,EUR,24615,29292
,100266,DEFAULT,DE,CHF,28061,33392
,100266,ORIGINAL,DE,EUR,27350,32546
,100266,ORIGINAL,DE,CHF,31178,37102
M634,,DEFAULT,DE,EUR,139326,165799
M634,,DEFAULT,DE,CHF,158831,189010
M634,,ORIGINAL,DE,EUR,154806,184221
M634,,ORIGINAL,DE,CHF,176478,210011
,100288,DEFAULT,DE,EUR,139326,165799
,100288,DEFAULT,DE,CHF,158831,189010
,100288,ORIGINAL,DE,EUR,154806,184221
,100288,ORIGINAL,DE,CHF,176478,210011
M10569,,DEFAULT,DE,EUR,26377,31388
M10569,,DEFAULT,DE,CHF,30069,35782
M10569,,ORIGINAL,DE,EUR,29307,34875
M10569,,ORIGINAL,DE,CHF,33410,39757
,100414,DEFAULT,DE,EUR,26377,31388
,100414,DEFAULT,DE,CHF,30069,35782
,100414,ORIGINAL,DE,EUR,29307,34875
,100414,ORIGINAL,DE,CHF,33410,39757
M39654,,DEFAULT,DE,EUR,6610,7866
M39654,,DEFAULT,DE,CHF,7535,8967
M39654,,ORIGINAL,DE,EUR,7344,8740
M39654,,ORIGINAL,DE,CHF,8372,9963
,100429,DEFAULT,DE,EUR,6610,7866
,100429,DEFAULT,DE,CHF,7535,8967
,100429,ORIGINAL,DE,EUR,7344,8740
,100429,ORIGINAL,DE,CHF,8372,9963
M11222,,DEFAULT,DE,EUR,11845,14095
M11222,,DEFAULT,DE,CHF,13503,16068
