abstract_sku,concrete_sku,price_type,store,currency,value_net,value_gross,from_included,to_included
B0001,,DEFAULT,DE,CHF,9832,10924,2019-01-01T00:00:00-00:00,2019-12-31T23:59:59-00:00
B0001,,DEFAULT,DE,CHF,7762,8624,2019-05-01T00:00:00-00:00,2019-06-30T23:59:59-00:00
B0001,,DEFAULT,DE,CHF,3881,4312,2019-06-23T00:00:00-00:00,2019-07-19T23:59:59-00:00
B0001,,DEFAULT,DE,EUR,8549,9499,2019-01-01T00:00:00-00:00,2019-12-31T23:59:59-00:00
B0001,,DEFAULT,DE,EUR,6749,7499,2019-05-01T00:00:00-00:00,2019-06-30T23:59:59-00:00
B0001,,DEFAULT,DE,EUR,3375,3750,2019-06-23T00:00:00-00:00,2019-07-19T23:59:59-00:00
B0002,,DEFAULT,DE,CHF,9832,10924,2019-01-01T00:00:00-00:00,2019-12-31T23:59:59-00:00
B0002,,DEFAULT,DE,CHF,7762,8624,2019-05-01T00:00:00-00:00,2019-06-30T23:59:59-00:00
B0002,,DEFAULT,DE,CHF,3881,4312,2019-06-23T00:00:00-00:00,2019-07-19T23:59:59-00:00
B0002,,DEFAULT,DE,EUR,8549,9499,2019-01-01T00:00:00-00:00,2019-12-31T23:59:59-00:00
B0002,,DEFAULT,DE,EUR,6749,7499,2019-05-01T00:00:00-00:00,2019-06-30T23:59:59-00:00
B0002,,DEFAULT,DE,EUR,3375,3750,2019-06-23T00:00:00-00:00,2019-07-19T23:59:59-00:00
C2235,,DEFAULT,AT,EUR,4446,4940,2019-01-01T00:00:00-00:00,2019-12-31T23:59:59-00:00
C2235,,DEFAULT,AT,EUR,3510,3900,2019-05-01T00:00:00-00:00,2019-06-30T23:59:59-00:00
C2235,,DEFAULT,AT,EUR,1755,1950,2019-06-23T00:00:00-00:00,2019-07-19T23:59:59-00:00
C2235,,DEFAULT,DE,CHF,6392,7101,2019-01-01T00:00:00-00:00,2019-12-31T23:59:59-00:00
C2235,,DEFAULT,DE,CHF,5046,5606,2019-05-01T00:00:00-00:00,2019-06-30T23:59:59-00:00
C2235,,DEFAULT,DE,CHF,2523,2803,2019-06-23T00:00:00-00:00,2019-07-19T23:59:59-00:00
C2235,,DEFAULT,DE,EUR,5558,6175,2019-01-01T00:00:00-00:00,2019-12-31T23:59:59-00:00
C2235,,DEFAULT,DE,EUR,4388,4875,2019-05-01T00:00:00-00:00,2019-06-30T23:59:59-00:00
C2235,,DEFAULT,DE,EUR,2194,2438,2019-06-23T00:00:00-00:00,2019-07-19T23:59:59-00:00
M1000785,,DEFAULT,AT,CHF,5506,6118,2019-01-01T00:00:00-00:00,2019-12-31T23:59:59-00:00
M1000785,,DEFAULT,AT,CHF,4347,4830,2019-05-01T00:00:00-00:00,2019-06-30T23:59:59-00:00
M1000785,,DEFAULT,AT,CHF,2174,2415,2019-06-23T00:00:00-00:00,2019-07-19T23:59:59-00:00
M1000785,,DEFAULT,AT,EUR,4788,5320,2019-01-01T00:00:00-00:00,2019-12-31T23:59:59-00:00
M1000785,,DEFAULT,AT,EUR,3780,4200,2019-05-01T00:00:00-00:00,2019-06-30T23:59:59-00:00
M1000785,,DEFAULT,AT,EUR,1890,2100,2019-06-23T00:00:00-00:00,2019-07-19T23:59:59-00:00
