shopping_list_key,product_sku,quantity
Newcomers,134_29759322,1
Newcomers,136_24425591,1
Newcomers,135_29836399,3
Newcomers,138_30657838,1
Newcomers,139_24699831,1
Newcomers,141_29380410,1
Newcomers,145_29885473,1
Newcomers,152_27104941,1
Newcomers,137_29283479,1
Newcomers,142_30943081,1
Newcomers,140_22766487,1
Weekly_office,013_25904584,1
Weekly_office,184_17365820,1
Weekly_office,035_17360369,1
Weekly_office,017_21748906,1
Weekly_office,185_25904533,1
Weekly_office,187_26306352,1
Weekly_office,015_25904009,5
Weekly_office,001_25904006,1
Weekly_office,198_19692589,5
Weekly_office,027_26976107,2
Weekly_office,186_25904506,1
Weekly_office,033_32125568,1
Monthly_office,115_27295368,1
Monthly_office,118_29804739,1
Monthly_office,124_31623088,1
Monthly_office,126_26280142,1
Monthly_office,119_29804808,1
Monthly_office,128_29955336,1
Monthly_office,127_20723326,1
Monthly_office,122_22308524,1
Monthly_office,117_30585828,1
Monthly_office,129_30706500,1
Monthly_office,131_24872891,1
