"Architecture Sniffers","Architecture Sniffers"
Catalog,Katalog
"Collector: Drop Search Timestamps","Collector: Drop Search Timestamps"
"Collector: Drop Storage Timestamps","Collector: Drop Storage Timestamps"
Content,Inhalt
"Global Threshold","Allgemeiner Grenzwert"
Marketplace,Marktplatz
"Merchant Relationships Threshold","Händlerbeziehungen-Grenzwert"
"MIME Type Settings","MIME-Type Einstellungen"
"Module Overview",Modulübersicht
"Sync Permissions","Berechtigungen Synchronisieren"
"User Groups",Gruppen
"User Roles",Rollen
Users,Benutzer
