"Architecture Sniffers","Architecture Sniffers"
Catalog,Catalog
"Collector: Drop Search Timestamps","Collector: Drop Search Timestamps"
"Collector: Drop Storage Timestamps","Collector: Drop Storage Timestamps"
Content,Content
"Global Threshold","Global Threshold"
Marketplace,Marketplace
"Merchant Relationships Threshold","Merchant Relationships Threshold"
"MIME Type Settings","MIME Type Settings"
"Module Overview",Module Overview
"Sync Permissions","Sync Permissions"
"User Groups","User Groups"
"User Roles","User Roles"
Users,"Users"
